GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|411116154|ref|NZ_JH556657.1|:196093-197025|35830|g__Acetivibrio.s__Acetivibrio_cellulolyticus|UniRef90_K4L592|UniRef50_H6LFX7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,933,1,0.0.0.0,1.0718113612004287
gi|351000274|ref|NZ_AFBG01000003.1|:c171188-169161|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,2028,1,3.6.1.1,0.4930966469428008
gi|351000279|ref|NZ_AFBG01000008.1|:c26805-25726|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_A1TQ53,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1080,1,2.8.1.6,0.9259259259259258
gi|351000292|ref|NZ_AFBG01000021.1|:65344-66342|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_A1TVY7|UniRef50_I1EHK4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Hydrogenophaga;s_Hydrogenophaga sp. RAC07,999,2,1.2.1.12,2.002002002002002
gi|121592436|ref|NC_008782.1|:2116689-2117303|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W7G6|UniRef50_A1WEJ8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,615,1,0.0.0.0,1.6260162601626016
gi|121592436|ref|NC_008782.1|:c3649641-3649189|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WBE4|UniRef50_A1WBE4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,453,1,0.0.0.0,2.2075055187637966
gi|121592436|ref|NC_008782.1|:c2200511-2198316|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_B9MIW4|UniRef50_Q7NR81,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,2196,1,6.5.1.2,0.4553734061930783
gi|121592436|ref|NC_008782.1|:c1115056-1114205|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_B9MF94|UniRef50_P0AFM3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,852,1,0.0.0.0,1.1737089201877935
gi|121592436|ref|NC_008782.1|:c1761753-1760620|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W6K9|UniRef50_A1W6K9,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1134,2,0.0.0.0,1.7636684303350971
gi|121592436|ref|NC_008782.1|:1914152-1915351|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W6Z7|UniRef50_B1Y1P8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1200,1,0.0.0.0,0.8333333333333334
gi|407936729|ref|NC_018708.1|:2309569-2311938|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_unknown|UniRef50_Q21VK3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Yersiniaceae;g_Serratia,2370,3,0.0.0.0,1.2658227848101264
gi|407936729|ref|NC_018708.1|:2309569-2311938|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_unknown|UniRef50_Q21VK3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Limnohabitans;s_Limnohabitans sp. 63ED37-2,2370,1,0.0.0.0,0.42194092827004215
gi|407936729|ref|NC_018708.1|:c2620172-2619129|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HT35|UniRef50_Q5F8G2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1044,3,2.8.1.6,2.8735632183908044
gi|505485000|ref|NZ_BANP01000030.1|:2583-2855|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_A0A030WEG7|UniRef50_A6V7P8,root;k_Bacteria;p_Proteobacteria,273,1,0.0.0.0,3.663003663003663
gi|505485000|ref|NZ_BANP01000030.1|:2583-2855|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_A0A030WEG7|UniRef50_A6V7P8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas aeruginosa,273,1,0.0.0.0,3.663003663003663
gi|365095425|ref|NZ_AGTS01000130.1|:1-400|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_H0C2G6|UniRef50_A8DVS9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae,400,1,0.0.0.0,2.5
gi|523529121|ref|NC_021733.1|:c733290-732955|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_S5CLP4|UniRef50_S5CLP4,root;k_Bacteria,336,1,0.0.0.0,2.976190476190476
gi|523525298|ref|NC_021729.1|:c1418445-1418329|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_A7FB75|UniRef50_A7FB75,root;k_Bacteria;p_Proteobacteria,117,1,0.0.0.0,8.547008547008547
gi|523525298|ref|NC_021729.1|:c1418445-1418329|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_A7FB75|UniRef50_A7FB75,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,117,1,0.0.0.0,8.547008547008547
gi|489201740|ref|NZ_APAW01000141.1|:c8384-8103|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_M8EPJ5|UniRef50_M8EPJ5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,282,4,0.0.0.0,14.184397163120568
gi|489201740|ref|NZ_APAW01000141.1|:c8384-8103|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_M8EPJ5|UniRef50_M8EPJ5,root;k_Bacteria;p_Proteobacteria,282,1,0.0.0.0,3.546099290780142
gi|333070326|ref|NZ_GL891817.1|:306-440|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_U3T4U4|UniRef50_U3T4U4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,135,1,0.0.0.0,7.4074074074074066
gi|427424795|ref|NZ_AMST01000070.1|:116076-119909|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_unknown|UniRef50_Q7MN70,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter pittii,3834,1,6.3.5.3,0.2608242044861763
gi|491153966|ref|NZ_KB849728.1|:171217-171585|202951|g__Acinetobacter.s__Acinetobacter_bouvetii|UniRef90_S5D3A1|UniRef50_S5D3A1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Mageeibacillus;s_Mageeibacillus indolicus,369,1,0.0.0.0,2.710027100271003
gi|491229918|ref|NZ_KB849813.1|:95608-96798|29430|g__Acinetobacter.s__Acinetobacter_haemolyticus|UniRef90_B7H1K5|UniRef50_P02992,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1191,2,0.0.0.0,1.6792611251049538
gi|485067657|ref|NZ_AMJD01000088.1|:74578-75492|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N8NXM6|UniRef50_Q21E72,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,915,4,3.6.3.27,4.371584699453551
gi|490832953|ref|NZ_KB849235.1|:436402-436860|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_R9AY38|UniRef50_Q6F9A1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,459,1,0.0.0.0,2.178649237472767
gi|483371750|ref|NZ_AMJE01000046.1|:c2254-761|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9BLG3|UniRef50_Q9S358,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter sp. 423D,1494,6,4.1.3.27,4.016064257028113
gi|483378476|ref|NZ_AMJF01000092.1|:c36615-35815|40215|g__Acinetobacter.s__Acinetobacter_junii|UniRef90_D0SKQ9|UniRef50_Q1QCB8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter pittii,801,1,0.0.0.0,1.2484394506866416
gi|377684864|ref|NZ_CM001194.1|:734653-735843|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_B7H1K5|UniRef50_P02992,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1191,2,0.0.0.0,1.6792611251049538
gi|377684864|ref|NZ_CM001194.1|:c2642334-2641600|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N8RZK9|UniRef50_R9B6B2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,735,3,0.0.0.0,4.081632653061225
gi|377684864|ref|NZ_CM001194.1|:2735603-2736538|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_D0SB40|UniRef50_Q4FQ57,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,936,1,0.0.0.0,1.0683760683760684
gi|490850255|ref|NZ_KB849239.1|:c3772821-3772697|106654|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis|UniRef90_N8SHV2|UniRef50_L9V4L1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,125,1,0.0.0.0,8.0
gi|237642107|ref|NZ_GG665982.1|:1-1179|525244|g__Acinetobacter.s__Acinetobacter_sp_ATCC_27244|UniRef90_B7H1K5|UniRef50_P02992,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1179,3,0.0.0.0,2.544529262086514
gi|505759103|gb|AQFM01000047.1|:c55311-54487|202954|g__Acinetobacter.s__Acinetobacter_tandoii|UniRef90_Q6F7R5|UniRef50_B1ZNE5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,825,6,0.0.0.0,7.272727272727273
gi|555539951|ref|NZ_AYEV01000049.1|:75-299|202955|g__Acinetobacter.s__Acinetobacter_tjernbergiae|UniRef90_V2UFC8|UniRef50_V2UFC8,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfobacterales;f_Desulfobacteraceae;g_Desulfatibacillum;s_Desulfatibacillum alkenivorans,225,1,0.0.0.0,4.444444444444445
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,270,1,0.0.0.0,3.7037037037037033
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria,270,1,0.0.0.0,3.7037037037037033
gi|324997006|ref|NZ_BABV01000691.1|:40339-41313|544580|g__Actinomyces.s__Actinomyces_oris|UniRef90_F3PAL6|UniRef50_A0LTX3,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,975,1,0.0.0.0,1.0256410256410258
gi|320534896|ref|NZ_GL637690.1|:38646-39620|706438|g__Actinomyces.s__Actinomyces_sp_oral_taxon_171|UniRef90_F3PAL6|UniRef50_A0LTX3,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,975,1,0.0.0.0,1.0256410256410258
gi|365829570|ref|NZ_JH470351.1|:c348755-347988|653385|g__Actinomyces.s__Actinomyces_sp_oral_taxon_849|UniRef90_G9PMB9|UniRef50_G9PMB9,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium HF0770_08F21,768,1,0.0.0.0,1.3020833333333333
gi|410591398|ref|NZ_BAFL01000024.1|:49284-49697|196024|g__Aeromonas.s__Aeromonas_aquariorum|UniRef90_F4DH87|UniRef50_F0LFU2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas,414,3,0.0.0.0,7.246376811594203
gi|410591400|ref|NZ_BAFL01000026.1|:134538-136373|196024|g__Aeromonas.s__Aeromonas_aquariorum|UniRef90_F4DFN1|UniRef50_F4DFN1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas hydrophila,1836,1,3.6.4.12,0.5446623093681917
gi|334363923|ref|NZ_CACP01000112.1|:c101663-99828|648|g__Aeromonas.s__Aeromonas_caviae|UniRef90_F4DFN1|UniRef50_F4DFN1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas hydrophila,1836,1,3.6.4.12,0.5446623093681917
gi|423195385|ref|NZ_JH815591.1|:c3910016-3909762|644|g__Aeromonas.s__Aeromonas_hydrophila|UniRef90_K1JJS6|UniRef50_F7Z169,root,255,1,0.0.0.0,3.9215686274509802
gi|423195385|ref|NZ_JH815591.1|:c3910016-3909762|644|g__Aeromonas.s__Aeromonas_hydrophila|UniRef90_K1JJS6|UniRef50_F7Z169,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,255,1,0.0.0.0,3.9215686274509802
gi|484037126|ref|NZ_CAJQ01000045.1|:10468-11355|151414|g__Afipia.s__Afipia_birgiae|UniRef90_B0SV69|UniRef50_Q98P54,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria,888,2,0.0.0.0,2.2522522522522523
gi|448879099|ref|NZ_KB375283.1|:c1442359-1441586|56946|g__Afipia.s__Afipia_broomeae|UniRef90_K8P7J4|UniRef50_B0SV59,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Devosia;s_Devosia sp. H5989,774,1,0.0.0.0,1.2919896640826873
gi|448879100|ref|NZ_KB375284.1|:c552772-549578|56946|g__Afipia.s__Afipia_broomeae|UniRef90_unknown|UniRef50_C4K9B6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. CCGE-LA001,3195,11,0.0.0.0,3.4428794992175273
gi|448879100|ref|NZ_KB375284.1|:c552772-549578|56946|g__Afipia.s__Afipia_broomeae|UniRef90_unknown|UniRef50_C4K9B6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Rhodopseudomonas;s_Rhodopseudomonas palustris,3195,2,0.0.0.0,0.6259780907668232
gi|448879104|ref|NZ_KB375271.1|:6952-12048|1035|g__Afipia.s__Afipia_felis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bosea;s_Bosea vaviloviae,5097,1,0.0.0.0,0.19619383951343927
gi|261188148|ref|XM_002620445.1||5039|g__Ajellomyces.s__Ajellomyces_dermatitidis|UniRef90_unknown|UniRef50_unknown,root;k_Viruses;p_;c_;o_Caudovirales;f_Siphoviridae;g_;s_Brevibacillus phage Sundance,1525,5,0.0.0.0,3.278688524590164
gi|393759691|ref|NZ_AKMR01000013.1|:241081-242097|511|g__Alcaligenes.s__Alcaligenes_faecalis|UniRef90_E7DDG5|UniRef50_A1TQ53,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Alcaligenes;s_Alcaligenes faecalis,1017,1,2.8.1.6,0.9832841691248771
gi|330822653|ref|NC_015422.1|:808165-809115|179636|g__Alicycliphilus.s__Alicycliphilus_denitrificans|UniRef90_B9MDC2|UniRef50_C5B7L0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,951,8,2.2.1.2,8.412197686645637
gi|485047384|ref|NZ_ALEE01000289.1|:c2668-1121|1200791|g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,1548,1,0.0.0.0,0.6459948320413437
gi|484006746|ref|NZ_KB894552.1|:c50163-48076|328813|g__Alistipes.s__Alistipes_onderdonkii|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria,2088,1,5.99.1.2,0.4789272030651341
gi|224021130|ref|NZ_DS499580.1|:c152995-152573|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_K5ZHZ5|UniRef50_F0R8I8,root,423,2,0.0.0.0,4.7281323877068555
gi|224021130|ref|NZ_DS499580.1|:c144710-144117|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_R5ND35,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,594,28,0.0.0.0,47.13804713804714
gi|150387853|ref|NC_009633.1|:c3530071-3528809|208226|g__Alkaliphilus.s__Alkaliphilus_metalliredigens|UniRef90_A6TTR7|UniRef50_O67078,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1263,1,4.2.1.33,0.7917656373713381
gi|258612386|ref|NZ_GG700643.1|:405520-406935|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_unknown|UniRef50_A6L6L6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,1416,22,0.0.0.0,15.536723163841808
gi|268308382|ref|NZ_GG705294.1|:377755-378231|649746|g__Anaerobaculum.s__Anaerobaculum_hydrogeniformans|UniRef90_I4BXF7|UniRef50_R6S3R3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,477,1,0.0.0.0,2.0964360587002098
gi|224021138|ref|NZ_DS499725.1|:c3194-2895|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK1|UniRef50_B0MGK1,root,300,7,0.0.0.0,23.333333333333336
gi|224021146|ref|NZ_DS499733.1|:256829-257485|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_R6QL93|UniRef50_R6QL93,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,657,2,0.0.0.0,3.0441400304414
gi|224021139|ref|NZ_DS499726.1|:4788-4928|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI64|UniRef50_B0MI64,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,141,3,0.0.0.0,21.276595744680854
gi|224021139|ref|NZ_DS499726.1|:4788-4928|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI64|UniRef50_B0MI64,root,141,1,0.0.0.0,7.092198581560284
gi|224021136|ref|NZ_DS499723.1|:414-563|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_unknown|UniRef50_A8STH6,root,150,10,0.0.0.0,66.66666666666667
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria,393,4,0.0.0.0,10.178117048346056
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,393,2,0.0.0.0,5.089058524173028
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. SY8519,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root,393,2,0.0.0.0,5.089058524173028
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,375,121,0.0.0.0,322.6666666666667
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root,375,102,0.0.0.0,272.0
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria,375,1,0.0.0.0,2.6666666666666665
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,403,59,0.0.0.0,146.40198511166253
