Pathway,num_Ecs,tally,coverage,who
Metabolic pathways,1650,153,9.272727273,mpro
Metabolic pathways,1650,19,1.151515152,humann2
Metabolic pathways,1650,136,8.242424242,both
Metabolism of xenobiotics by cytochrome P450,10,1,10,mpro
Methane metabolism,87,4,4.597701149,mpro
Methane metabolism,87,8,9.195402299,both
Microbial metabolism in diverse environments,668,30,4.491017964,both
Microbial metabolism in diverse environments,668,53,7.934131737,mpro
Microbial metabolism in diverse environments,668,6,0.898203593,humann2
Monobactam biosynthesis,10,2,20,humann2
Monobactam biosynthesis,10,3,30,both
Naphthalene degradation,9,1,11.11111111,mpro
Nicotinate and nicotinamide metabolism,59,1,1.694915254,both
Nicotinate and nicotinamide metabolism,59,2,3.389830508,humann2
Nicotinate and nicotinamide metabolism,59,6,10.16949153,mpro
Nitrogen metabolism,37,3,8.108108108,mpro
Nitrogen metabolism,37,1,2.702702703,both
Nitrogen metabolism,37,1,2.702702703,humann2
Nitrotoluene degradation,7,1,14.28571429,mpro
Novobiocin biosynthesis,16,1,6.25,mpro
Novobiocin biosynthesis,16,1,6.25,both
One carbon pool by folate,24,6,25,both
One carbon pool by folate,24,5,20.83333333,mpro
Other glycan degradation,9,3,33.33333333,mpro
Oxidative phosphorylation,11,3,27.27272727,both
Oxidative phosphorylation,11,4,36.36363636,mpro
Oxidative phosphorylation,11,1,9.090909091,humann2
PI3K-Akt signaling pathway,2,1,50,mpro
Pantothenate and CoA biosynthesis,31,9,29.03225806,both
Pantothenate and CoA biosynthesis,31,3,9.677419355,mpro
Pantothenate and CoA biosynthesis,31,1,3.225806452,humann2
Pentose and glucuronate interconversions,67,7,10.44776119,mpro
Pentose and glucuronate interconversions,67,6,8.955223881,both
Pentose phosphate pathway,55,8,14.54545455,both
Pentose phosphate pathway,55,8,14.54545455,mpro
Peptidoglycan biosynthesis,19,7,36.84210526,both
Peptidoglycan biosynthesis,19,1,5.263157895,humann2
Peptidoglycan biosynthesis,19,4,21.05263158,mpro
Phenazine biosynthesis,13,1,7.692307692,mpro
Phenylalanine metabolism,67,2,2.985074627,mpro
Phenylalanine metabolism,67,1,1.492537313,both
Phenylalanine metabolism,67,1,1.492537313,humann2
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,6,15.38461538,mpro
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,5,12.82051282,both
Phenylpropanoid biosynthesis,30,1,3.333333333,mpro
Phosphatidylinositol signaling system,29,1,3.448275862,mpro
Phosphonate and phosphinate metabolism,29,1,3.448275862,mpro
Photosynthesis,3,1,33.33333333,both
Polyketide sugar unit biosynthesis,27,1,3.703703704,mpro
Polyketide sugar unit biosynthesis,27,2,7.407407407,both
Porphyrin and chlorophyll metabolism,106,2,1.886792453,both
Porphyrin and chlorophyll metabolism,106,1,0.943396226,humann2
Porphyrin and chlorophyll metabolism,106,11,10.37735849,mpro
Propanoate metabolism,55,3,5.454545455,both
Propanoate metabolism,55,6,10.90909091,mpro
Propanoate metabolism,55,3,5.454545455,humann2
Purine metabolism,110,17,15.45454545,both
Purine metabolism,110,11,10,mpro
Pyrimidine metabolism,65,14,21.53846154,both
Pyrimidine metabolism,65,5,7.692307692,mpro
Pyruvate metabolism,67,6,8.955223881,both
Pyruvate metabolism,67,12,17.91044776,mpro
Pyruvate metabolism,67,1,1.492537313,humann2
Relaxin signaling pathway,1,1,100,mpro
Retinol metabolism,14,1,7.142857143,mpro
Riboflavin metabolism,28,1,3.571428571,both
Riboflavin metabolism,28,1,3.571428571,humann2
Riboflavin metabolism,28,5,17.85714286,mpro
Selenocompound metabolism,18,2,11.11111111,both
Selenocompound metabolism,18,1,5.555555556,mpro
Sphingolipid metabolism,27,4,14.81481481,mpro
Starch and sucrose metabolism,76,10,13.15789474,mpro
Starch and sucrose metabolism,76,2,2.631578947,both
Steroid hormone biosynthesis,36,1,2.777777778,mpro
Streptomycin biosynthesis,18,4,22.22222222,mpro
Streptomycin biosynthesis,18,2,11.11111111,both
Styrene degradation,19,1,5.263157895,mpro
Sulfur metabolism,50,2,4,both
Sulfur metabolism,50,1,2,mpro
Sulfur metabolism,50,1,2,humann2
Synthesis and degradation of ketone bodies,6,1,16.66666667,mpro
T cell receptor signaling pathway,2,1,50,mpro
Taurine and hypotaurine metabolism,19,3,15.78947368,both
Taurine and hypotaurine metabolism,19,2,10.52631579,mpro
Terpenoid backbone biosynthesis,51,6,11.76470588,mpro
Terpenoid backbone biosynthesis,51,3,5.882352941,both
Th1 and Th2 cell differentiation,1,1,100,mpro
Thermogenesis,1,1,100,mpro
Thiamine metabolism,26,3,11.53846154,mpro
Thiamine metabolism,26,5,19.23076923,both
Toluene degradation,26,1,3.846153846,mpro
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,1,3.703703704,both
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,1,3.703703704,mpro
Tryptophan metabolism,60,1,1.666666667,both
Tryptophan metabolism,60,3,5,mpro
Tyrosine metabolism,64,2,3.125,mpro
Tyrosine metabolism,64,1,1.5625,both
Ubiquinone and other terpenoid-quinone biosynthesis,40,3,7.5,both
Ubiquinone and other terpenoid-quinone biosynthesis,40,1,2.5,humann2
"Valine, leucine and isoleucine biosynthesis",14,6,42.85714286,both
"Valine, leucine and isoleucine biosynthesis",14,3,21.42857143,mpro
"Valine, leucine and isoleucine degradation",36,5,13.88888889,mpro
"Valine, leucine and isoleucine degradation",36,1,2.777777778,humann2
Various types of N-glycan biosynthesis,23,1,4.347826087,mpro
Vitamin B6 metabolism,26,2,7.692307692,both
Vitamin B6 metabolism,26,1,3.846153846,mpro
Vitamin B6 metabolism,26,2,7.692307692,humann2
Zeatin biosynthesis,10,1,10,both
alpha-Linolenic acid metabolism,12,1,8.333333333,mpro
beta-Alanine metabolism,37,3,8.108108108,both
mTOR signaling pathway,5,1,20,mpro
