Pathway,num_Ecs,tally,coverage,who
"Valine, leucine and isoleucine biosynthesis",14,7,50,both
"Valine, leucine and isoleucine biosynthesis",14,2,14.28571429,mpro
"Valine, leucine and isoleucine degradation",36,1,2.777777778,both
"Valine, leucine and isoleucine degradation",36,1,2.777777778,humann2
"Valine, leucine and isoleucine degradation",36,9,25,mpro
Various types of N-glycan biosynthesis,23,1,4.347826087,both
Vitamin B6 metabolism,26,1,3.846153846,humann2
Vitamin B6 metabolism,26,1,3.846153846,mpro
Vitamin B6 metabolism,26,6,23.07692308,both
Xylene degradation,21,2,9.523809524,both
Zeatin biosynthesis,10,1,10,both
alpha-Linolenic acid metabolism,12,2,16.66666667,mpro
alpha-Linolenic acid metabolism,12,1,8.333333333,both
beta-Alanine metabolism,37,3,8.108108108,both
beta-Alanine metabolism,37,5,13.51351351,mpro
beta-Lactam resistance,1,1,100,both
mTOR signaling pathway,5,1,20,both
