UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_A6LG11,ec:3.6.4.12
UniRef90_R7JAB6,ec:6.1.1.14
UniRef90_R6WPT3,ec:6.2.1.30
UniRef90_R7JA67,ec:2.3.1.179
UniRef90_R6WRT3,ec:3.4.11.18
UniRef90_R7JIK5,ec:6.1.1.2
UniRef90_K5ZE89,ec:1.3.99.22
UniRef90_K5ZTE2,ec:2.4.99.17
UniRef90_K5Z6Q1,ec:2.5.1.74
UniRef90_K5ZP07,ec:3.4.11.18
UniRef90_A6LA92,ec:6.1.1.20
UniRef90_K6AWG0,ec:3.4.21.89
UniRef90_K5YW01,ec:5.4.99.12
UniRef90_A6LAP3,ec:6.1.1.15
UniRef90_K5ZRS8,ec:1.16.3.2
UniRef90_K6A9B9,ec:2.8.4.3
UniRef90_K6A227,ec:3.4.21.89
UniRef90_P03631,ec:6.5.1.1
UniRef90_Q57HW1,ec:3.6.3.17
UniRef90_R6WQT3,ec:1.6.5.8
UniRef90_K5ZGJ4,ec:6.1.1.22
UniRef90_K5ZL03,ec:1.15.1.1
UniRef90_R6VKN6,ec:1.1.1.369
UniRef90_C3QQ70,ec:5.99.1.2
UniRef90_K5ZHQ3,ec:1.6.5.8
UniRef90_R5DNU5,ec:2.1.1.198
UniRef90_R6X1Y5,ec:4.2.99.18
UniRef90_K5ZTJ0,ec:2.1.1.297
UniRef90_K6ALW4,ec:3.5.4.31
UniRef90_A6LEN1,ec:3.6.3.27
UniRef90_K5ZKY1,ec:2.8.4.4
UniRef90_N1Z1V4,ec:3.4.21.89
UniRef90_K5Z0T9,ec:5.4.99.25
UniRef90_N1Z9D3,ec:2.3.1.234
UniRef90_N1ZJH2,ec:3.6.3.17
UniRef90_R6WRB5,ec:2.1.1.33
UniRef90_R6WQT9,ec:1.6.5.8
UniRef90_A6LGR4,ec:5.4.99.18
UniRef90_D6D1R4,ec:3.2.1.17
UniRef90_K5Z755,ec:2.1.1.223
UniRef90_K6AUM0,ec:3.1.26.11
UniRef90_N1ZTH6,ec:1.97.1.4
UniRef90_V2QDI6,ec:2.3.1.n2
UniRef90_N1ZI69,ec:2.1.1.228
UniRef90_N1ZMS2,ec:2.7.3.9
UniRef90_K5ZTX4,ec:2.1.1.182
UniRef90_N1ZC43,ec:2.4.2.29
UniRef90_Q8XD89,ec:6.5.1.2
UniRef90_V2QD81,ec:3.4.21.89
UniRef90_K5ZNC5,ec:2.4.1.281
UniRef90_N1ZDZ7,ec:2.8.4.4
UniRef90_K6A3Z7,ec:3.1.1.96
UniRef90_N1Z425,ec:5.99.1.2
UniRef90_N1ZNI9,ec:3.6.4.12
UniRef90_V2PZ36,ec:6.1.1.20
UniRef90_K5YTK3,ec:5.2.1.8
UniRef90_K6A4N7,ec:3.5.1.88
UniRef90_N1Z5A5,ec:6.1.1.20
UniRef90_K5YK37,ec:3.1.26.4
UniRef90_K6AH91,ec:4.2.3.3
UniRef90_K6A7D9,ec:3.6.4.12
UniRef90_K6APX5,ec:1.17.1.8
UniRef90_K6A2B5,ec:3.4.21.89
UniRef90_N1ZM97,ec:2.3.1.51
UniRef90_V2RLC0,ec:5.4.99.12
UniRef90_K5YG13,ec:5.2.1.8
UniRef90_N1ZCW4,ec:3.6.4.12
UniRef90_V2QFT7,ec:3.6.4.12
UniRef90_R6X635,ec:1.6.5.8
UniRef90_K5Z605,ec:1.6.5.8
UniRef90_K5ZTG9,ec:3.2.2.27
UniRef90_N1ZSH0,ec:3.6.4.12
UniRef90_Q8X505,ec:1.1.1.381
UniRef90_R5DJ85,ec:5.2.1.8
UniRef90_V2QBY1,ec:3.6.5.n1
UniRef90_K5YYR5,ec:2.1.1.199
UniRef90_V2PZ17,ec:3.6.4.12
UniRef90_K6A6F9,ec:3.5.4.33
UniRef90_N1Z9K5,ec:2.1.1.192
UniRef90_N1ZFJ2,ec:6.1.1.6
UniRef90_N1ZI09,ec:3.1.26.11
UniRef90_V2QI89,ec:6.1.1.5
UniRef90_N1ZFX7,ec:5.99.1.2
UniRef90_N1ZIZ0,ec:3.1.26.3
UniRef90_N1ZJA9,ec:4.2.1.44
UniRef90_V2PZJ5,ec:6.1.1.15
UniRef90_K5ZGI0,ec:1.8.4.12
UniRef90_N1ZMS4,ec:6.1.1.3
UniRef90_V2Q1M0,ec:2.4.2.29
UniRef90_V2QI70,ec:6.1.1.19
UniRef90_N1ZFU5,ec:1.17.1.2
UniRef90_P0AE84,ec:2.7.13.3
UniRef90_V2QAG2,ec:3.1.13.1
UniRef90_V2QDI8,ec:5.99.1.3
UniRef90_V2QEM1,ec:5.4.99.25
UniRef90_V2RP76,ec:2.7.13.3
UniRef90_A6LIH3,ec:3.1.22.4
UniRef90_K5ZZ56,ec:1.8.4.11
UniRef90_N1ZI85,ec:3.5.1.88
UniRef90_N1ZNP4,ec:2.1.1.297
UniRef90_P39346,ec:1.1.1.264
UniRef90_K5ZPX5,ec:3.1.26.3
UniRef90_N1Z5V9,ec:6.1.1.14
UniRef90_N1ZEF3,ec:6.1.1.18
UniRef90_N1ZEQ5,ec:3.4.11.18
UniRef90_N1ZEV6,ec:2.7.1.144
UniRef90_N1ZI42,ec:3.4.24.78
UniRef90_N1ZL32,ec:6.1.1.16
UniRef90_N1ZLN1,ec:3.1.11.6
UniRef90_N1ZN47,ec:3.6.4.12
UniRef90_P00914,ec:4.1.99.3
UniRef90_Q0TBX9,ec:3.6.3.24
UniRef90_A6LDQ1,ec:2.1.1.177
UniRef90_V2Q985,ec:6.1.1.1
UniRef90_V2QFF0,ec:2.1.1.166
UniRef90_V2QH17,ec:2.4.99.17
UniRef90_N1Z771,ec:4.2.1.51
UniRef90_N1ZAR6,ec:4.2.99.18
UniRef90_N1ZCK4,ec:6.1.1.21
UniRef90_N1ZDI6,ec:2.6.1.11
UniRef90_N1ZF14,ec:5.99.1.2
UniRef90_N1ZGP8,ec:5.2.1.8
UniRef90_N1ZR65,ec:5.1.3.21
UniRef90_N1ZRI4,ec:6.3.4.19
UniRef90_P37646,ec:3.1.4.52
UniRef90_V2Q0F2,ec:2.1.1.33
UniRef90_V2QAH3,ec:6.1.1.20
UniRef90_V2RIP0,ec:2.1.1.182
UniRef90_V2RJ37,ec:6.1.1.9
UniRef90_K5YVN3,ec:3.1.26.5
UniRef90_N1ZB38,ec:2.4.99.17
UniRef90_N1ZB52,ec:6.1.1.2
UniRef90_N1ZHS8,ec:3.6.4.12
UniRef90_N1ZI75,ec:6.3.5.11
UniRef90_N1ZJX8,ec:6.1.1.22
UniRef90_N1ZRQ6,ec:6.1.1.15
UniRef90_V2QE36,ec:6.1.1.4
UniRef90_V2QGX6,ec:3.4.21.53
UniRef90_V2QKJ4,ec:3.5.1.88
UniRef90_N1ZC03,ec:5.2.1.8
UniRef90_N1ZIB2,ec:2.3.1.n2
UniRef90_N1ZMQ3,ec:6.3.5.7
UniRef90_N1ZPW2,ec:2.7.3.9
UniRef90_P31434,ec:3.2.1.177
UniRef90_V2QC92,ec:5.99.1.3
UniRef90_V2QDB8,ec:3.6.4.12
UniRef90_V2QDI2,ec:3.1.26.3
UniRef90_V2QIM2,ec:2.6.1.11
UniRef90_X5NU12,ec:1.6.5.5
UniRef90_N1ZDA6,ec:6.1.1.19
UniRef90_P04995,ec:3.1.11.1
UniRef90_P77510,ec:2.7.13.3
UniRef90_V2Q8T3,ec:4.2.3.3
UniRef90_V2Q9S6,ec:2.1.1.198
UniRef90_V2QFS8,ec:3.1.26.5
UniRef90_V2RHW5,ec:2.1.1.199
UniRef90_V2RQ59,ec:3.1.22.4
UniRef90_K6AP66,ec:5.2.1.8
UniRef90_N1Z1P0,ec:6.1.1.20
UniRef90_N1Z948,ec:2.1.1.199
UniRef90_N1ZDX8,ec:2.3.1.179
UniRef90_N1ZJQ8,ec:3.1.1.61
UniRef90_N1ZMN8,ec:6.5.1.2
UniRef90_N1ZTX2,ec:4.3.3.7
UniRef90_P15043,ec:3.6.4.12
UniRef90_P16692,ec:3.1.4.55
UniRef90_V2QED2,ec:6.1.1.11
UniRef90_V2QHD7,ec:1.17.1.2
UniRef90_A6LFF6,ec:3.1.11.6
UniRef90_A8AP21,ec:2.1.1.186
UniRef90_B1XB33,ec:4.2.2.n1
UniRef90_N1ZAD5,ec:6.3.4.19
UniRef90_N1ZC85,ec:2.7.7.87
UniRef90_N1ZFP8,ec:5.4.99.18
UniRef90_N1ZKH0,ec:3.6.5.n1
UniRef90_N1ZKR5,ec:5.4.99.12
UniRef90_N1ZMY9,ec:5.99.1.2
UniRef90_P07464,ec:2.3.1.18
UniRef90_P0AEZ8,ec:4.2.2.n1
UniRef90_Q8X693,ec:4.2.1.79
UniRef90_V2PZA4,ec:6.1.1.14
UniRef90_V2Q227,ec:6.3.5.7
UniRef90_V2Q919,ec:3.4.11.18
UniRef90_V2QFM0,ec:5.99.1.2
UniRef90_V2RRF9,ec:6.1.1.7
UniRef90_B5Y0Y6,ec:2.4.2.29
UniRef90_N1ZAG7,ec:6.3.4.18
UniRef90_N1ZDP0,ec:5.4.99.25
UniRef90_N1ZH03,ec:2.7.7.2
UniRef90_N1ZJU1,ec:3.5.4.33
UniRef90_N1ZLT4,ec:2.1.1.33
UniRef90_N1ZNS1,ec:3.6.1.19
UniRef90_N1ZQP3,ec:3.2.1.89
UniRef90_P04993,ec:3.1.11.5
UniRef90_P0AAG7,ec:3.6.3.44
UniRef90_P0AGJ3,ec:2.1.1.34
UniRef90_P14407,ec:4.2.1.81
UniRef90_P78061,ec:6.3.1.11
UniRef90_V2Q0N5,ec:3.6.4.12
UniRef90_V2Q9T9,ec:4.2.1.151
UniRef90_V2QDG9,ec:5.2.1.8
UniRef90_V2QI94,ec:5.4.99.18
UniRef90_V2QIL7,ec:5.2.1.8
UniRef90_V2RMH7,ec:2.8.4.4
UniRef90_A7ZP75,ec:2.4.2.43
UniRef90_K5Z6Z5,ec:3.4.21.89
UniRef90_N1ZE19,ec:1.8.4.11
UniRef90_N1ZEW5,ec:2.1.1.207
UniRef90_N1ZJ54,ec:3.1.26.5
UniRef90_N1ZK17,ec:2.1.1.198
UniRef90_N1ZLC8,ec:5.4.99.12
UniRef90_N1ZLH6,ec:2.8.4.3
UniRef90_N1ZNL3,ec:5.99.1.2
UniRef90_N1ZPI6,ec:3.6.3.27
UniRef90_P0A9L1,ec:5.2.1.8
UniRef90_P0ABF3,ec:2.7.7.19
UniRef90_P0AEN3,ec:1.5.1.41
UniRef90_P65765,ec:5.2.1.8
UniRef90_Q821A5,ec:2.1.1.174
UniRef90_V2PX57,ec:5.2.1.8
UniRef90_V2PYV1,ec:6.1.1.16
UniRef90_V2Q0K8,ec:5.2.1.8
UniRef90_V2Q4D4,ec:4.3.3.7
UniRef90_V2Q928,ec:6.1.1.3
UniRef90_V2Q9D0,ec:3.1.11.6
UniRef90_V2QAC6,ec:2.7.3.9
UniRef90_V2QAY3,ec:3.1.21.2
UniRef90_V2QCY9,ec:3.5.1.88
UniRef90_V2QE10,ec:6.5.1.2
UniRef90_V2QH22,ec:5.2.1.8
UniRef90_A7ZHH3,ec:2.1.1.199
UniRef90_A7ZJT9,ec:4.1.2.5
UniRef90_A7ZSH1,ec:2.7.7.87
UniRef90_A7ZUB2,ec:5.1.3.32
UniRef90_A7ZUE7,ec:3.4.25.2
UniRef90_A8ARE4,ec:6.1.1.14
UniRef90_B2VCH0,ec:6.1.1.14
UniRef90_B5XTF9,ec:2.7.7.56
UniRef90_B5Y0K6,ec:6.1.1.16
UniRef90_B7UMK5,ec:2.1.1.170
UniRef90_N1Z2D2,ec:2.1.1.177
UniRef90_N1Z5G9,ec:5.2.1.8
UniRef90_N1ZA94,ec:3.4.11.4
UniRef90_N1ZAC4,ec:3.4.21.89
UniRef90_N1ZCI7,ec:2.3.1.51
UniRef90_N1ZD52,ec:4.2.3.3
UniRef90_N1ZDS8,ec:3.5.1.44
UniRef90_N1ZLW9,ec:3.6.4.12
UniRef90_N1ZMA8,ec:3.4.23.36
UniRef90_N1ZMC8,ec:3.5.4.31
UniRef90_N1ZND5,ec:5.2.1.8
UniRef90_N1ZQU8,ec:3.1.1.96
UniRef90_P0A9N6,ec:1.97.1.4
UniRef90_P0A9P7,ec:3.6.4.13
UniRef90_P0AEC9,ec:2.7.13.3
UniRef90_P0AET9,ec:1.1.1.159
UniRef90_P0AFV6,ec:3.4.17.13
UniRef90_P11349,ec:1.7.99.4
UniRef90_P21517,ec:3.2.1.20
UniRef90_P26458,ec:1.10.3.10
UniRef90_P27848,ec:3.1.3.74
UniRef90_P28904,ec:3.2.1.93
UniRef90_P30871,ec:3.6.1.25
UniRef90_P39199,ec:2.1.1.298
UniRef90_P42604,ec:4.2.1.7
UniRef90_P42904,ec:2.7.1.69
UniRef90_P68768,ec:3.4.11.10
UniRef90_P76251,ec:1.1.1.83
UniRef90_P77172,ec:3.1.4.52
UniRef90_P77265,ec:3.6.3.44
UniRef90_Q323P2,ec:2.1.1.189
UniRef90_Q57TL5,ec:6.1.1.5
UniRef90_Q8FB22,ec:3.6.4.12
UniRef90_Q8X4V7,ec:3.6.3.29
UniRef90_Q8X6U5,ec:3.6.3.20
UniRef90_Q8XA10,ec:5.4.99.29
UniRef90_Q8Z1V8,ec:2.7.11.5
UniRef90_V2Q0I0,ec:2.1.1.77
UniRef90_V2Q1P3,ec:2.7.7.2
UniRef90_V2Q4A4,ec:3.6.4.12
UniRef90_V2QCW5,ec:2.1.1.192
UniRef90_V2QE98,ec:2.8.4.3
UniRef90_V2QET5,ec:4.1.99.18
UniRef90_V2QGS0,ec:2.1.1.72
UniRef90_V2QIJ0,ec:4.2.99.18
UniRef90_V2RK92,ec:1.21.98.1
UniRef90_V2RKV1,ec:3.1.1.61
UniRef90_V2RL74,ec:2.1.1.72
UniRef90_A1AE69,ec:2.1.1.200
UniRef90_A1AEX2,ec:2.1.1.190
UniRef90_A6T6C3,ec:6.1.1.18
UniRef90_A7ZHV1,ec:3.1.26.4
UniRef90_A7ZJ95,ec:4.2.99.18
UniRef90_A7ZK67,ec:4.2.3.3
UniRef90_A7ZMA2,ec:2.7.1.170
UniRef90_A7ZML6,ec:2.6.1.81
UniRef90_A7ZN22,ec:2.4.1.15
UniRef90_A7ZN88,ec:4.2.1.130
UniRef90_A7ZPI2,ec:2.8.3.16
UniRef90_A7ZQ47,ec:2.1.1.228
UniRef90_A7ZT60,ec:3.2.1.28
UniRef90_A7ZTI6,ec:4.2.99.18
UniRef90_A7ZTZ8,ec:2.4.1.180
UniRef90_A8ADR1,ec:5.4.99.12
UniRef90_B3WW91,ec:3.6.3.17
UniRef90_B5XQ00,ec:6.1.1.12
UniRef90_B7L894,ec:5.4.99.62
UniRef90_B7L8J6,ec:2.4.2.52
UniRef90_B7MHZ0,ec:3.1.11.6
UniRef90_B7MNC1,ec:2.1.1.172
UniRef90_B7NEM8,ec:1.1.1.130
UniRef90_B7NMI8,ec:3.4.21.105
UniRef90_B7UNB1,ec:2.4.1.325
UniRef90_C3SEN7,ec:1.1.1.57
UniRef90_G8LLV9,ec:1.3.99.22
UniRef90_H4I3W8,ec:2.7.1.69
UniRef90_K5Y5U3,ec:5.2.1.8
UniRef90_K8WV93,ec:3.6.5.n1
UniRef90_N1Z1S2,ec:1.17.1.8
UniRef90_N1Z5E5,ec:4.3.3.7
UniRef90_N1ZAM4,ec:3.4.21.88
UniRef90_N1ZAV4,ec:3.6.4.12
UniRef90_N1ZB13,ec:3.5.1.88
UniRef90_N1ZB49,ec:2.1.1.193
UniRef90_N1ZJT9,ec:6.5.1.2
UniRef90_N1ZM82,ec:3.4.23.36
UniRef90_N1ZPZ0,ec:3.6.4.12
UniRef90_N1ZQ12,ec:3.6.4.12
UniRef90_N1ZTN5,ec:3.6.4.13
UniRef90_N1ZV95,ec:3.4.14.11
UniRef90_N1ZX31,ec:2.8.3.16
UniRef90_N1ZXI6,ec:3.4.21.88
UniRef90_N2A1G9,ec:2.7.4.27
UniRef90_P00551,ec:2.7.1.95
UniRef90_P00803,ec:3.4.21.89
UniRef90_P07363,ec:2.7.13.3
UniRef90_P07364,ec:2.1.1.80
UniRef90_P08401,ec:2.7.13.3
UniRef90_P09835,ec:2.7.13.3
UniRef90_P0A436,ec:2.7.1.69
UniRef90_P0A6C2,ec:3.1.21.2
UniRef90_P0A9V8,ec:1.1.1.373
UniRef90_P0AA45,ec:5.4.99.19
UniRef90_P0AB86,ec:2.7.1.180
UniRef90_P0AC77,ec:2.4.99.13
UniRef90_P0ACZ3,ec:3.1.3.48
UniRef90_P0ADI5,ec:6.3.2.14
UniRef90_P0AFA3,ec:2.7.13.3
UniRef90_P15034,ec:3.4.11.9
UniRef90_P21338,ec:3.1.27.6
UniRef90_P21693,ec:3.6.4.13
UniRef90_P23524,ec:2.7.1.165
UniRef90_P23837,ec:2.7.13.3
UniRef90_P25397,ec:2.1.1.265
UniRef90_P25526,ec:1.2.1.79
UniRef90_P25736,ec:3.1.21.1
UniRef90_P26459,ec:1.10.3.10
UniRef90_P27896,ec:2.7.13.3
UniRef90_P32143,ec:2.7.1.184
UniRef90_P36548,ec:3.5.1.28
UniRef90_P37339,ec:1.1.3.15
UniRef90_P55799,ec:3.1.3.16
UniRef90_P66901,ec:4.3.1.15
UniRef90_P68188,ec:3.6.3.19
UniRef90_P75820,ec:3.5.1.28
UniRef90_P76149,ec:1.2.1.16
UniRef90_P76270,ec:1.8.4.14
UniRef90_P77390,ec:6.2.1.22
UniRef90_Q06067,ec:2.7.13.3
UniRef90_Q1WUE6,ec:3.6.5.n1
UniRef90_Q46891,ec:5.3.1.22
UniRef90_Q7UBD3,ec:2.1.1.176
UniRef90_Q8FAT5,ec:6.1.1.6
UniRef90_Q8FBQ3,ec:2.3.1.210
UniRef90_Q8X5X6,ec:2.8.3.8
UniRef90_Q8X7X9,ec:3.6.4.12
UniRef90_Q8X8H9,ec:2.7.11.1
UniRef90_Q8XAS7,ec:2.7.8.33
UniRef90_Q8XBY4,ec:2.7.13.3
UniRef90_Q8XCU5,ec:3.6.1.19
UniRef90_Q8XD57,ec:6.1.1.6
UniRef90_Q8XDS0,ec:4.3.1.1
UniRef90_V2PXA2,ec:2.1.1.177
UniRef90_V2Q962,ec:6.1.1.6
UniRef90_V2QA87,ec:3.1.1.96
UniRef90_V2QE67,ec:2.3.1.234
UniRef90_V2QEC4,ec:3.6.3.31
UniRef90_V2QEI4,ec:3.4.21.88
UniRef90_V2QFX7,ec:1.17.1.8
UniRef90_V2QH21,ec:3.4.23.36
UniRef90_V2RHI7,ec:5.2.1.8
UniRef90_V2RHK2,ec:2.7.13.3
UniRef90_V2RIA0,ec:2.3.1.51
