UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_A6L9R4,ec:4.2.1.47
UniRef90_A6LG11,ec:3.6.4.12
UniRef90_A6LIH3,ec:3.1.22.4
UniRef90_K5YXD3,ec:5.2.1.8
UniRef90_K5ZL69,ec:1.1.1.169
UniRef90_K5ZPX5,ec:3.1.26.3
UniRef90_K6A6F9,ec:3.5.4.33
UniRef90_K6A705,ec:2.7.7.2
UniRef90_K6APX5,ec:1.17.1.8
UniRef90_R6X635,ec:1.6.5.8
UniRef90_V2PZ17,ec:3.6.4.12
UniRef90_V2QFM0,ec:5.99.1.2
UniRef90_V2QIL7,ec:5.2.1.8
UniRef90_V2RJZ1,ec:2.1.1.74
UniRef90_A6LHY5,ec:6.1.1.19
UniRef90_I6G9L7,ec:2.7.7.59
UniRef90_K5YLX2,ec:3.4.13.22
UniRef90_K5ZMZ0,ec:6.3.3.2
UniRef90_K5ZTJ0,ec:2.1.1.297
UniRef90_K6A3Z7,ec:3.1.1.96
UniRef90_K6AP66,ec:5.2.1.8
UniRef90_R5DNU5,ec:2.1.1.198
UniRef90_V2PZ36,ec:6.1.1.20
UniRef90_V2Q985,ec:6.1.1.1
UniRef90_V2Q9T9,ec:4.2.1.151
UniRef90_V2QAF8,ec:2.1.1.207
UniRef90_V2QCW5,ec:2.1.1.192
UniRef90_V2QE36,ec:6.1.1.4
UniRef90_V2QET5,ec:4.1.99.18
UniRef90_V2QGW5,ec:1.1.1.169
UniRef90_V2RHW5,ec:2.1.1.199
UniRef90_V2RKV1,ec:3.1.1.61
UniRef90_V2RRF9,ec:6.1.1.7
UniRef90_W0AWV8,ec:3.4.23.43
