taxa_id,name,reads,genes
superkingdom,Acidobacteria bacterium RBG_13_68_16,26,1
superkingdom,Acidobacteria bacterium SCN 69-37,2,1
superkingdom,Acidobacteria bacterium Mor1,2,1
superkingdom,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_67_21,2,1
superkingdom,uncultured Acidobacteria bacterium HF4000_26D02,1,1
superkingdom,uncultured Acidobacteria bacterium,1,1
superkingdom,Haloplasma contractile,1,1
superkingdom,Thermoanaerobaculum aquaticum,1,1
superkingdom,Acidobacteriaceae bacterium KBS 83,1,1
superkingdom,Acidobacterium capsulatum,1,1
superkingdom,Acidobacteria bacterium KBS 146,4,1
superkingdom,Acidobacteriaceae bacterium TAA166,2,1
superkingdom,Acidobacteria bacterium RIFCSPLOWO2_02_FULL_65_29,1,1
superkingdom,Edaphobacter aggregans,1,1
superkingdom,Bryocella elongata,3,1
superkingdom,Acidobacteria,7,1
superkingdom,Acidobacteriaceae,3,1
superkingdom,uncultured bacterium,10762,1
superkingdom,Granulicella tundricola,1,1
superkingdom,Candidatus Solibacter usitatus,3,1
superkingdom,Actinobacteria bacterium RBG_13_35_12,1,1
superkingdom,Acidobacteriaceae bacterium URHE0068,2,1
superkingdom,Candidatus Koribacter versatilis,2,1
superkingdom,Acidobacteriaceae bacterium KBS 96,8,1
superkingdom,Chloracidobacterium thermophilum,3,1
superkingdom,Granulicella pectinivorans,1,1
superkingdom,Geothrix fermentans,2,1
superkingdom,Silvibacterium bohemicum,3,1
superkingdom,Granulicella mallensis,1,1
superkingdom,Actinobacteria bacterium RBG_16_68_21,1,1
superkingdom,Actinobacteria bacterium RBG_19FT_COMBO_70_19,1,1
superkingdom,Actinobacteria bacterium RBG_16_70_17,1,1
superkingdom,Acidimicrobiia bacterium BACL6 MAG-120910-bin40,1,1
superkingdom,Acidimicrobium sp. BACL17 MAG-120823-bin42,1,1
superkingdom,Terriglobus saanensis,2,1
superkingdom,Acidimicrobiia,1,1
superkingdom,Acidithrix ferrooxidans,3,1
superkingdom,Actinobacteria,1143,1
superkingdom,Ilumatobacter nonamiensis,8,1
superkingdom,Candidatus Microthrix parvicella,5,1
superkingdom,Ilumatobacter coccineus,24,1
superkingdom,Actinobacteria bacterium OK074,1,1
superkingdom,Acidimicrobium sp. BACL27 MAG-120823-bin4,2,1
superkingdom,Actinobacteria bacterium DSM 45722,1,1
superkingdom,Acidimicrobium ferrooxidans,2,1
superkingdom,actinobacterium acAcidi,2,1
superkingdom,Actinobacteria bacterium IMCC26256,12,1
superkingdom,marine actinobacterium MedAcidi-G3,4,1
superkingdom,actinobacterium acMicro-4,1,1
superkingdom,Actinobaculum suis,3,1
superkingdom,Actinobaculum sp. oral taxon 183,2,1
superkingdom,Actinomyces coleocanis,6,1
superkingdom,Actinomyces naeslundii,3,1
superkingdom,Thermobispora bispora,1,1
superkingdom,Actinomycetaceae,3,1
superkingdom,Actinomyces cardiffensis,1,1
superkingdom,Actinomyces europaeus,1,1
superkingdom,Actinomyces graevenitzii,3,1
superkingdom,Actinomyces odontolyticus,32,1
superkingdom,Actinomyces sp. oral taxon 170,3,1
superkingdom,Actinomyces sp. ICM47,1,1
superkingdom,Actinomyces nasicola,1,1
superkingdom,Actinomyces,3,1
superkingdom,Actinomyces sp. ICM58,2,1
superkingdom,Actinomyces oris,2,1
superkingdom,Actinomyces sp. oral taxon 172,1,1
superkingdom,Actinomyces sp. oral taxon 178,3,1
superkingdom,Actinomyces polynesiensis,1,1
superkingdom,Actinomyces sp. oral taxon 180,1,1
superkingdom,Actinomyces sp. oral taxon 171,1,1
superkingdom,Actinomyces sp. oral taxon 414,1,1
superkingdom,Actinomyces sp. VUL4_3,2,1
superkingdom,Actinomyces slackii,1,1
superkingdom,Actinomyces sp. oral taxon 849,4,1
superkingdom,Actinomyces turicensis,70,1
superkingdom,Actinomyces sp. ph3,1,1
superkingdom,Actinotignum schaalii,1,1
superkingdom,Arcanobacterium haemolyticum,2,1
superkingdom,Actinotignum urinale,1,1
superkingdom,Actinomyces timonensis,2,1
superkingdom,Actinomyces urogenitalis,3,1
superkingdom,Trueperella pyogenes,1,1
superkingdom,Arcanobacterium,1,1
superkingdom,Varibaculum,3,1
superkingdom,Actinopolyspora halophila,1,1
superkingdom,Alloscardovia omnicolens,1,1
superkingdom,Mobiluncus mulieris,1,1
superkingdom,Actinopolyspora erythraea,1,1
superkingdom,Bifidobacterium adolescentis,148,1
superkingdom,Varibaculum cambriense,1,1
superkingdom,Bifidobacterium breve,147,1
superkingdom,Alloscardovia criceti,1,1
superkingdom,Alloscardovia sp. HMSC034E08,19,1
superkingdom,Bifidobacterium animalis,1,1
superkingdom,Bifidobacterium boum,2,1
superkingdom,Bifidobacterium angulatum,1,1
superkingdom,Bifidobacterium bifidum,63,1
superkingdom,Bifidobacterium commune,1,1
superkingdom,Bifidobacterium magnum,1,1
superkingdom,Bifidobacteriaceae,1,1
superkingdom,Bifidobacterium dentium,1,1
superkingdom,Bifidobacterium psychraerophilum,1,1
superkingdom,Bifidobacterium mongoliense,3,1
superkingdom,Bifidobacterium minimum,73,1
superkingdom,Bifidobacterium thermacidophilum,2,1
superkingdom,Catenulispora acidiphila,1,1
superkingdom,Actinospica robiniae,1,1
superkingdom,Bifidobacterium,18,1
superkingdom,Bifidobacterium pseudocatenulatum,77,1
superkingdom,Bifidobacterium pullorum,2,1
superkingdom,Bifidobacterium thermophilum,137,1
superkingdom,Lawsonella clevelandensis,1,1
superkingdom,Bifidobacterium tsurumiense,1,1
superkingdom,Corynebacteriaceae,1,1
superkingdom,Bifidobacterium subtile,5,1
superkingdom,Tomitella biformata,1,1
superkingdom,Scardovia inopinata,8,1
superkingdom,Corynebacteriales,7,1
superkingdom,Corynebacterium-like bacterium B27,19,1
superkingdom,Gardnerella vaginalis,5,1
superkingdom,Corynebacterium amycolatum,3,1
superkingdom,Corynebacterium ammoniagenes,5,1
superkingdom,Corynebacterium atypicum,1,1
superkingdom,Corynebacterium accolens,10,1
superkingdom,Corynebacterium argentoratense,1,1
superkingdom,Corynebacterium capitovis,2,1
superkingdom,Corynebacterium aurimucosum,5,1
superkingdom,Corynebacterium casei,13,1
superkingdom,Corynebacterium epidermidicanis,1,1
superkingdom,Corynebacterium bovis,2,1
superkingdom,Corynebacterium callunae,202,1
superkingdom,Corynebacterium ciconiae,1,1
superkingdom,Corynebacterium lipophiloflavum,5,1
superkingdom,Corynebacterium crenatum,164,1
superkingdom,Corynebacterium,67,1
superkingdom,Bifidobacterium longum,28,1
superkingdom,Corynebacterium glucuronolyticum,1,1
superkingdom,Corynebacterium durum,3,1
superkingdom,Corynebacterium crudilactis,1,1
superkingdom,Corynebacterium falsenii,8,1
superkingdom,Corynebacterium genitalium,3,1
superkingdom,Corynebacterium lowii,1,1
superkingdom,Corynebacterium glutamicum,203,1
superkingdom,Corynebacterium efficiens,34,1
superkingdom,Corynebacterium jeddahense,1,1
superkingdom,Corynebacterium halotolerans,8,1
superkingdom,Corynebacterium doosanense,4,1
superkingdom,Corynebacterium diphtheriae,4,1
superkingdom,Corynebacterium jeikeium,5,1
superkingdom,Corynebacterium kroppenstedtii,2,1
superkingdom,Corynebacterium glyciniphilum,12,1
superkingdom,Corynebacterium massiliense,6,1
superkingdom,Corynebacterium propinquum,1,1
superkingdom,Corynebacterium provencense,1,1
superkingdom,Corynebacterium matruchotii,6,1
superkingdom,Corynebacterium mastitidis,4,1
superkingdom,Corynebacterium nuruki,7,1
superkingdom,Corynebacterium kutscheri,25,1
superkingdom,Corynebacterium lubricantis,3,1
superkingdom,Corynebacterium pilosum,2,1
superkingdom,Corynebacterium pseudogenitalium,4230,1
superkingdom,Corynebacterium maris,1,1
superkingdom,Corynebacterium sp. HFH0082,3,1
superkingdom,Corynebacterium sp. HMSC073H12,1,1
superkingdom,Corynebacterium pseudodiphtheriticum,1,1
superkingdom,Corynebacterium pseudotuberculosis,4,1
superkingdom,Corynebacterium pyruviciproducens,3,1
superkingdom,Corynebacterium sp. KPL1855,1,1
superkingdom,Corynebacterium resistens,3,1
superkingdom,Corynebacterium sp. KPL1859,1,1
superkingdom,Corynebacterium sp. KPL1995,1,1
superkingdom,Corynebacterium sputi,5,1
superkingdom,Corynebacterium sp. KPL1857,1,1
superkingdom,Corynebacterium sp. KPL1986,3,1
superkingdom,Corynebacterium sp. KPL1989,1,1
superkingdom,Corynebacterium striatum,8,1
superkingdom,Corynebacterium stationis,1,1
superkingdom,Corynebacterium sp. HMSC28B08,5,1
superkingdom,Corynebacterium variabile,23,1
superkingdom,Corynebacterium timonense,3,1
superkingdom,Corynebacterium tuberculostearicum,6,1
superkingdom,Corynebacterium ulcerans,3,1
superkingdom,Corynebacterium terpenotabidum,2,1
superkingdom,Turicella otitidis,1,1
superkingdom,Corynebacterium testudinoris,2,1
superkingdom,Corynebacterium ureicelerivorans,1,1
superkingdom,Corynebacterium urealyticum,6,1
superkingdom,Gordonia aichiensis,2,1
superkingdom,Corynebacterium ulceribovis,1,1
superkingdom,Corynebacterium vitaeruminis,26,1
superkingdom,Gordonia amicalis,1,1
superkingdom,Dietzia sp. UCD-THP,20,1
superkingdom,Dietzia alimentaria,9,1
superkingdom,Gordonia alkanivorans,4,1
superkingdom,Gordonia amarae,2,1
superkingdom,Gordonia hirsuta,2,1
superkingdom,Gordonia araii,3,1
superkingdom,Dietzia cinnamea,10,1
superkingdom,Dietzia,2,1
superkingdom,Gordonia effusa,1,1
superkingdom,Gordonia polyisoprenivorans,3,1
superkingdom,Gordonia phthalatica,1,1
superkingdom,Gordonia namibiensis,2,1
superkingdom,Gordonia neofelifaecis,1,1
superkingdom,Gordonia shandongensis,1,1
superkingdom,Mycobacteriaceae,16,1
superkingdom,Gordonia terrae,9,1
superkingdom,Gordonia,10,1
superkingdom,Gordonia rubripertincta,2,1
superkingdom,Mycobacterium gordonae,2,1
superkingdom,Gordonia malaquae,2,1
superkingdom,Millisia brevis,1,1
superkingdom,Gordonia paraffinivorans,1,1
superkingdom,Gordonia otitidis,1,1
superkingdom,Mycobacterium parascrofulaceum,1,1
superkingdom,Mycobacterium kansasii,1,1
superkingdom,Mycobacterium africanum,2,1
superkingdom,Mycobacterium sp. 360MFTsu5.1,4,1
superkingdom,Mycobacterium sp. 852002-51057_SCH5723018,24251,1
superkingdom,Mycobacterium sp. JS623,2,1
superkingdom,Mycobacterium sp. 1245111.1,1,1
superkingdom,Mycobacterium marinum,2,1
superkingdom,Mycobacterium triplex,11,1
superkingdom,Mycobacterium,11,1
superkingdom,Mycobacterium sp. 1274761.0,2,1
superkingdom,Mycobacterium sp. GA-2829,2,1
superkingdom,Mycobacterium sp. Root265,4,1
superkingdom,Mycobacterium sp. 852013-50091_SCH5140682,1,1
superkingdom,Mycobacterium sp. djl-10,1,1
superkingdom,Mycobacterium sp. GA-1199,1,1
superkingdom,Mycobacterium sp. IS-1590,1,1
superkingdom,Mycobacterium sp. YC-RL4,2,1
superkingdom,Mycolicibacter sinensis,1,1
superkingdom,Mycobacterium avium,18,1
superkingdom,Mycolicibacterium mageritense,1,1
superkingdom,Mycolicibacterium fortuitum,1,1
superkingdom,Mycobacterium sp. IS-1556,1,1
superkingdom,Mycobacterium sp. KMS,1,1
superkingdom,Mycolicibacterium gilvum,3,1
superkingdom,Mycolicibacterium rhodesiae,4,1
superkingdom,Mycolicibacterium vanbaalenii,3,1
superkingdom,Mycolicibacterium malmesburyense,1,1
superkingdom,Mycolicibacterium phlei,5,1
superkingdom,Mycolicibacterium hassiacum,2,1
superkingdom,Mycolicibacterium neworleansense,1,1
superkingdom,Mycobacterium szulgai,1,1
superkingdom,Nocardia cyriacigeorgica,108,1
superkingdom,Nocardia crassostreae,3,1
superkingdom,Mycobacteroides abscessus,2,1
superkingdom,Nocardia abscessus,64,1
superkingdom,Nocardia sp. 348MFTsu5.1,1,1
superkingdom,Mycolicibacterium smegmatis,1,1
superkingdom,Mycolicibacterium vaccae,1,1
superkingdom,Nocardia asteroides,44,1
superkingdom,Mycobacterium tuberculosis,7,1
superkingdom,Nocardia gamkensis,1,1
superkingdom,Nocardia pseudobrasiliensis,1,1
superkingdom,Nocardia sp. BMG111209,1,1
superkingdom,Nocardia vaccinii,1,1
superkingdom,Nocardia sp. NRRL S-836,1,1
superkingdom,Nocardia cerradoensis,1,1
superkingdom,Nocardiaceae,1,1
superkingdom,Nocardia sp. BMG51109,9,1
superkingdom,Mycolicibacterium,6,1
superkingdom,Nocardia vermiculata,1,1
superkingdom,Nocardia uniformis,1,1
superkingdom,Nocardia farcinica,3,1
phylum,Nocardia,423,1
superkingdom,Rhodococcus imtechensis,2,1
superkingdom,Nocardia terpenica,1,1
superkingdom,Rhodococcus qingshengii,64,1
superkingdom,Rhodococcus hoagii,4,1
superkingdom,Rhodococcus kyotonensis,1,1
superkingdom,Rhodococcus kunmingensis,1,1
superkingdom,Rhodococcus opacus,12,1
superkingdom,Rhodococcus erythropolis,62,1
superkingdom,Rhodococcus rhodochrous,1,1
superkingdom,Rhodococcus sp. 114MFTsu3.1,12,1
superkingdom,Rhodococcus sp. 29MFTsu3.1,3,1
superkingdom,Rhodococcus sp. 008,1,1
superkingdom,Rhodococcus sp. DK17,2,1
superkingdom,Rhodococcus pyridinivorans,3,1
superkingdom,Rhodococcus rhodnii,3,1
superkingdom,Rhodococcus sp. AW25M09,19,1
superkingdom,Rhodococcus,100,1
superkingdom,Tsukamurella sp. 1534,1,1
superkingdom,Rhodococcus sp. 311R,1,1
superkingdom,Rhodococcus triatomae,1,1
superkingdom,Segniliparus,1,1
superkingdom,Cryptosporangium arvum,6,1
superkingdom,Rhodococcus sp. PBTS 1,1,1
superkingdom,Rhodococcus sp. RD6.2,3,1
superkingdom,Segniliparus rugosus,1,1
superkingdom,Smaragdicoccus niigatensis,5,1
superkingdom,Frankia inefficax,1,1
superkingdom,Rhodococcus wratislaviensis,5,1
superkingdom,Williamsia sp. D3,1,1
superkingdom,Rhodococcus sp. JVH1,1,1
superkingdom,Frankia alni,1,1
superkingdom,Frankia sp. BMG5.36,2,1
superkingdom,Rhodococcus sp. P27,16,1
superkingdom,Frankia sp. Iso899,2,1
superkingdom,Frankia sp. EAN1pec,1,1
superkingdom,Blastococcus endophyticus,1,1
superkingdom,Blastococcus sp. DSM 46838,1,1
superkingdom,Quadrisphaera sp. DSM 44207,1,1
superkingdom,Glycomyces sp. NRRL B-16210,2,1
superkingdom,Modestobacter marinus,2,1
superkingdom,Sporichthya polymorpha,4,1
superkingdom,Jiangella gansuensis,10,1
superkingdom,Blastococcus saxobsidens,2,1
superkingdom,Frankia,9,1
superkingdom,uncultured Frankia sp.,1,1
superkingdom,Geodermatophilaceae,2,1
superkingdom,Glycomyces harbinensis,1,1
superkingdom,Geodermatophilus sp. DSM 44208,1,1
superkingdom,Beutenbergia cavernae,4,1
superkingdom,Glycomyces tenuis,1,1
superkingdom,Jiangella muralis,2,1
superkingdom,Kineococcus radiotolerans,15,1
superkingdom,Geodermatophilus obscurus,4,1
superkingdom,Timonella senegalensis,2,1
superkingdom,Brevibacterium epidermidis,1,1
superkingdom,Tropheryma whipplei,1,1
superkingdom,Brevibacterium casei,2,1
superkingdom,Micrococcales,77,1
superkingdom,Brevibacterium album,2,1
superkingdom,Brevibacterium mcbrellneri,4,1
superkingdom,Brevibacterium linens,9,1
superkingdom,Brevibacterium ravenspurgense,5,1
superkingdom,Brevibacterium sp. VCM10,2,1
superkingdom,Brevibacterium siliguriense,1,1
superkingdom,Cellulomonas carbonis,1,1
superkingdom,Cellulomonas bogoriensis,1,1
superkingdom,Brevibacterium,4,1
superkingdom,Cellulomonas flavigena,1,1
superkingdom,Brevibacterium senegalense,6,1
superkingdom,Cellulomonas marina,1,1
superkingdom,Cellulomonas gilvus,4,1
superkingdom,Cellulomonas massiliensis,3,1
superkingdom,Cellulomonas fimi,1,1
superkingdom,Brachybacterium muris,3,1
superkingdom,Cellulomonas sp. URHD0024,2,1
superkingdom,Lysinimicrobium luteum,2,1
superkingdom,Brachybacterium faecium,5,1
superkingdom,Dermacoccus sp. Ellin185,2,1
superkingdom,Dermabacteraceae,2,1
superkingdom,Brachybacterium paraconglomeratum,30,1
superkingdom,Brachybacterium sp. SW0106-09,2,1
superkingdom,Cellulomonas,1,1
superkingdom,Demetria terragena,1,1
superkingdom,Brachybacterium squillarum,8,1
superkingdom,Dermacoccus sp. PE3,1,1
superkingdom,Piscicoccus intestinalis,1,1
superkingdom,Brachybacterium,1,1
superkingdom,Dermabacter sp. HFH0086,7,1
superkingdom,Brachybacterium sp. sponge,1,1
superkingdom,Intrasporangiaceae,1,1
superkingdom,Arsenicicoccus,2,1
