UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_K5YLU6,ec:1.17.1.2
UniRef90_K5Z755,ec:2.1.1.223
UniRef90_K5ZKY1,ec:2.8.4.4
UniRef90_N1ZNI9,ec:3.6.4.12
UniRef90_K5Z605,ec:1.6.5.8
UniRef90_N1Z5V9,ec:6.1.1.14
UniRef90_N1ZDS8,ec:3.5.1.44
UniRef90_K5YG13,ec:5.2.1.8
UniRef90_N1ZIG6,ec:5.99.1.3
UniRef90_N1ZQH2,ec:3.4.11.18
UniRef90_R5DNU5,ec:2.1.1.198
UniRef90_N1ZDX8,ec:2.3.1.179
UniRef90_N1ZNL3,ec:5.99.1.2
UniRef90_A6LC32,ec:2.3.1.46
UniRef90_K5Z1B0,ec:2.1.1.193
UniRef90_K5ZTJ0,ec:2.1.1.297
UniRef90_N1ZMY9,ec:5.99.1.2
UniRef90_V2QF56,ec:4.3.1.1
UniRef90_A6LIH3,ec:3.1.22.4
UniRef90_K6A478,ec:3.6.1.19
UniRef90_N1ZL32,ec:6.1.1.16
UniRef90_N1ZGP8,ec:5.2.1.8
UniRef90_N1ZQN6,ec:2.7.1.144
UniRef90_V2Q202,ec:2.3.1.179
UniRef90_K5ZTG9,ec:3.2.2.27
UniRef90_N1ZCK4,ec:6.1.1.21
UniRef90_N1ZKH0,ec:3.6.5.n1
UniRef90_N1ZMN8,ec:6.5.1.2
UniRef90_N1ZCI7,ec:2.3.1.51
UniRef90_X5NU12,ec:1.6.5.5
UniRef90_K6AP66,ec:5.2.1.8
UniRef90_N1ZEF3,ec:6.1.1.18
UniRef90_N1ZIZ0,ec:3.1.26.3
UniRef90_A6LGR4,ec:5.4.99.18
UniRef90_N1Z3M1,ec:3.6.4.12
UniRef90_N1ZEQ5,ec:3.4.11.18
UniRef90_N1ZDI6,ec:2.6.1.11
UniRef90_N1ZN47,ec:3.6.4.12
UniRef90_N1ZTX2,ec:4.3.3.7
UniRef90_R6X635,ec:1.6.5.8
UniRef90_V2Q227,ec:6.3.5.7
UniRef90_K5ZMZ0,ec:6.3.3.2
UniRef90_K6A6F9,ec:3.5.4.33
UniRef90_N1ZMQ3,ec:6.3.5.7
UniRef90_N1ZRQ6,ec:6.1.1.15
UniRef90_K5YXD3,ec:5.2.1.8
UniRef90_K5ZGI0,ec:1.8.4.12
UniRef90_N1ZB38,ec:2.4.99.17
UniRef90_N1ZFJ2,ec:6.1.1.6
UniRef90_K5ZZ56,ec:1.8.4.11
UniRef90_N1ZA94,ec:3.4.11.4
UniRef90_N1ZAD5,ec:6.3.4.19
UniRef90_N1ZJH2,ec:3.6.3.17
UniRef90_R6WQT3,ec:1.6.5.8
UniRef90_K5ZL03,ec:1.15.1.1
UniRef90_K5ZP07,ec:3.4.11.18
UniRef90_V2QDB8,ec:3.6.4.12
UniRef90_K5YK37,ec:3.1.26.4
UniRef90_K5YVN3,ec:3.1.26.5
UniRef90_K6A4N7,ec:3.5.1.88
UniRef90_K6AWG0,ec:3.4.21.89
UniRef90_N1ZC85,ec:2.7.7.87
UniRef90_N1ZMC8,ec:3.5.4.31
UniRef90_V2QDI8,ec:5.99.1.3
UniRef90_N1ZC43,ec:2.4.2.29
UniRef90_N1ZEX7,ec:3.2.1.4
UniRef90_R5DJ85,ec:5.2.1.8
UniRef90_K5Y5U3,ec:5.2.1.8
UniRef90_N1ZAG7,ec:6.3.4.18
UniRef90_N1ZC03,ec:5.2.1.8
UniRef90_V2Q1M0,ec:2.4.2.29
UniRef90_V2QBY1,ec:3.6.5.n1
UniRef90_V2QE36,ec:6.1.1.4
UniRef90_V2QE67,ec:2.3.1.234
UniRef90_N1Z3S0,ec:3.1.1.29
UniRef90_N1ZAV4,ec:3.6.4.12
UniRef90_N1ZAZ2,ec:6.1.1.1
UniRef90_V2PYV1,ec:6.1.1.16
UniRef90_V2PZJ5,ec:6.1.1.15
UniRef90_K5ZN18,ec:4.1.2.25
UniRef90_N1Z5G9,ec:5.2.1.8
UniRef90_N1Z948,ec:2.1.1.199
UniRef90_N1ZCH7,ec:2.1.1.182
UniRef90_N1ZI09,ec:3.1.26.11
UniRef90_N1ZI42,ec:3.4.24.78
UniRef90_N1ZIB2,ec:2.3.1.n2
UniRef90_N1ZJQ8,ec:3.1.1.61
UniRef90_N1ZJU1,ec:3.5.4.33
UniRef90_N1ZLH6,ec:2.8.4.3
UniRef90_V2QH22,ec:5.2.1.8
UniRef90_V2RRF9,ec:6.1.1.7
UniRef90_N1ZEV6,ec:2.7.1.144
UniRef90_N1ZLN1,ec:3.1.11.6
UniRef90_N1ZND5,ec:5.2.1.8
UniRef90_R6QTT3,ec:4.2.1.44
UniRef90_V2QC92,ec:5.99.1.3
UniRef90_V2QGX6,ec:3.4.21.53
UniRef90_V2RJ37,ec:6.1.1.9
UniRef90_N1Z9D3,ec:2.3.1.234
UniRef90_N1ZAR6,ec:4.2.99.18
UniRef90_N1ZLW9,ec:3.6.4.12
UniRef90_V2QGW5,ec:1.1.1.169
UniRef90_V2RHK2,ec:2.7.13.3
UniRef90_N1Z1V4,ec:3.4.21.89
UniRef90_N1Z771,ec:4.2.1.51
UniRef90_N1ZAM4,ec:3.4.21.88
UniRef90_N1ZCW4,ec:3.6.4.12
UniRef90_N1ZF14,ec:5.99.1.2
UniRef90_N1ZM97,ec:2.3.1.51
UniRef90_R6PCH1,ec:6.1.1.22
UniRef90_V2PZ17,ec:3.6.4.12
UniRef90_V2Q963,ec:2.1.1.228
UniRef90_V2QAY3,ec:3.1.21.2
UniRef90_A6LFF6,ec:3.1.11.6
UniRef90_K5ZTR1,ec:3.4.21.89
UniRef90_K6A2B5,ec:3.4.21.89
UniRef90_N1Z1S2,ec:1.17.1.8
UniRef90_N1Z3T0,ec:2.3.1.29
UniRef90_N1ZB52,ec:6.1.1.2
UniRef90_N1ZED5,ec:6.3.3.2
UniRef90_N1ZHS8,ec:3.6.4.12
UniRef90_N1ZI69,ec:2.1.1.228
UniRef90_N1ZJ54,ec:3.1.26.5
UniRef90_V2QEC4,ec:3.6.3.31
UniRef90_V2QED2,ec:6.1.1.11
UniRef90_V2QET5,ec:4.1.99.18
UniRef90_N1ZEW5,ec:2.1.1.207
UniRef90_N1ZI85,ec:3.5.1.88
UniRef90_N1ZKR5,ec:5.4.99.12
UniRef90_V2QHD7,ec:1.17.1.2
UniRef90_N1ZAW4,ec:3.1.26.4
UniRef90_N1ZD52,ec:4.2.3.3
UniRef90_N1ZH03,ec:2.7.7.2
UniRef90_N1ZJX8,ec:6.1.1.22
UniRef90_N1ZK17,ec:2.1.1.198
UniRef90_V2PZ36,ec:6.1.1.20
UniRef90_V2Q4A4,ec:3.6.4.12
UniRef90_V2RJZ1,ec:2.1.1.74
UniRef90_V2RMH7,ec:2.8.4.4
UniRef90_Q6TM15,ec:1.6.5.3
UniRef90_N1ZDA6,ec:6.1.1.19
UniRef90_N1ZUN1,ec:3.6.4.13
UniRef90_R6VRD5,ec:5.99.1.3
UniRef90_V2QAC6,ec:2.7.3.9
UniRef90_V2QAG2,ec:3.1.13.1
UniRef90_V2QDG9,ec:5.2.1.8
UniRef90_V2QDI6,ec:2.3.1.n2
UniRef90_V2QFX7,ec:1.17.1.8
UniRef90_V2QI89,ec:6.1.1.5
UniRef90_V2RHW5,ec:2.1.1.199
UniRef90_P03925,ec:1.6.5.3
UniRef90_N1ZB49,ec:2.1.1.193
UniRef90_N1ZLT4,ec:2.1.1.33
UniRef90_N1ZSH0,ec:3.6.4.12
UniRef90_V2Q919,ec:3.4.11.18
UniRef90_V2Q9L5,ec:2.1.1.193
UniRef90_V2QDU7,ec:6.1.1.14
UniRef90_V2QFM0,ec:5.99.1.2
UniRef90_A6LDQ1,ec:2.1.1.177
UniRef90_N1Z9K5,ec:2.1.1.192
UniRef90_N1ZI75,ec:6.3.5.11
UniRef90_N1ZRI8,ec:6.1.1.6
UniRef90_N1ZTE6,ec:2.3.1.46
UniRef90_N1ZU01,ec:3.6.1.19
UniRef90_R6WG45,ec:3.4.21.92
UniRef90_V2PXA2,ec:2.1.1.177
UniRef90_V2Q0I0,ec:2.1.1.77
UniRef90_V2Q4D4,ec:4.3.3.7
UniRef90_V2QD81,ec:3.4.21.89
UniRef90_V2QE98,ec:2.8.4.3
UniRef90_V2QFT7,ec:3.6.4.12
UniRef90_V2QIL7,ec:5.2.1.8
UniRef90_V2QKK7,ec:1.3.1.9
UniRef90_V2RKV1,ec:3.1.1.61
UniRef90_G5D066,ec:1.6.5.3
UniRef90_N1Z5E5,ec:4.3.3.7
UniRef90_N1Z776,ec:3.4.21.89
UniRef90_N1ZB13,ec:3.5.1.88
UniRef90_N1ZEZ9,ec:3.1.21.7
UniRef90_N1ZFX7,ec:5.99.1.2
UniRef90_N1ZJ33,ec:3.6.4.12
UniRef90_N1ZJR9,ec:6.3.3.2
UniRef90_N1ZQU8,ec:3.1.1.96
UniRef90_R7DCH8,ec:2.7.1.90
UniRef90_V2Q0N5,ec:3.6.4.12
UniRef90_V2Q928,ec:6.1.1.3
UniRef90_V2Q985,ec:6.1.1.1
UniRef90_V2QAH3,ec:6.1.1.20
UniRef90_V2QE10,ec:6.5.1.2
UniRef90_V2QEI4,ec:3.4.21.88
UniRef90_V2QI70,ec:6.1.1.19
UniRef90_V2RK92,ec:1.21.98.1
UniRef90_V2RP76,ec:2.7.13.3
UniRef90_V2RQ59,ec:3.1.22.4
UniRef90_C9LB57,ec:6.1.1.2
UniRef90_N1ZHQ9,ec:3.2.1.26
UniRef90_N1ZNS1,ec:3.6.1.19
UniRef90_N1ZPD4,ec:3.4.11.18
UniRef90_V2PX57,ec:5.2.1.8
UniRef90_V2Q9T9,ec:4.2.1.151
UniRef90_V2QC23,ec:3.4.21.92
UniRef90_V2QES8,ec:3.1.1.29
UniRef90_V2RIP0,ec:2.1.1.182
UniRef90_V2RL74,ec:2.1.1.72
UniRef90_V2RLC0,ec:5.4.99.12
UniRef90_C0C414,ec:3.6.3.12
UniRef90_N1Z2D2,ec:2.1.1.177
UniRef90_N1ZD94,ec:2.1.1.63
UniRef90_N1ZEE3,ec:6.1.1.16
UniRef90_N1ZFB1,ec:5.2.1.8
UniRef90_N1ZFP8,ec:5.4.99.18
UniRef90_N1ZLE0,ec:2.1.1.182
UniRef90_N1ZMA8,ec:3.4.23.36
UniRef90_N1ZPW2,ec:2.7.3.9
UniRef90_N1ZQK9,ec:2.7.1.144
UniRef90_N1ZR65,ec:5.1.3.21
UniRef90_N1ZSI0,ec:3.6.3.31
UniRef90_N1ZUK0,ec:2.1.1.297
UniRef90_N1ZUQ3,ec:6.1.1.1
UniRef90_N1ZXK1,ec:3.6.4.12
UniRef90_N1ZYV7,ec:2.7.7.87
UniRef90_N2A1G9,ec:2.7.4.27
UniRef90_R6R0T2,ec:6.1.1.18
UniRef90_R7GY78,ec:6.1.1.14
UniRef90_R7JNF8,ec:5.4.99.18
UniRef90_V2PZA4,ec:6.1.1.14
UniRef90_V2Q0K8,ec:5.2.1.8
UniRef90_V2QA98,ec:6.1.1.21
UniRef90_V2QCW5,ec:2.1.1.192
UniRef90_V2QCY9,ec:3.5.1.88
UniRef90_V2QIJ0,ec:4.2.99.18
UniRef90_V2QIM2,ec:2.6.1.11
UniRef90_V2RIE1,ec:6.3.3.2
UniRef90_A9UIZ8,ec:1.6.5.3
UniRef90_N1ZAC4,ec:3.4.21.89
UniRef90_N1ZDP0,ec:5.4.99.25
UniRef90_N1ZE19,ec:1.8.4.11
UniRef90_N1ZKW2,ec:3.6.4.12
UniRef90_N1ZM82,ec:3.4.23.36
UniRef90_N1ZMC7,ec:5.2.1.8
UniRef90_N1ZMY5,ec:2.1.1.74
UniRef90_N1ZN20,ec:6.1.1.14
UniRef90_N1ZNP4,ec:2.1.1.297
UniRef90_N1ZPI9,ec:6.1.1.13
UniRef90_N1ZPZ0,ec:3.6.4.12
UniRef90_N1ZRE7,ec:3.6.4.12
UniRef90_N1ZS12,ec:6.1.1.20
UniRef90_N1ZTH6,ec:1.97.1.4
UniRef90_N1ZV44,ec:3.6.4.12
UniRef90_N1ZVE6,ec:6.1.1.11
UniRef90_N1ZVR0,ec:3.1.13.1
UniRef90_N1ZW65,ec:5.99.1.2
UniRef90_N1ZW98,ec:6.1.1.3
UniRef90_N1ZWA2,ec:3.2.2.23
UniRef90_N1ZZF2,ec:1.8.4.11
UniRef90_N1ZZZ2,ec:6.3.4.18
UniRef90_N2A3D1,ec:6.1.1.13
UniRef90_Q1WTA8,ec:3.4.21.92
UniRef90_R6NAF4,ec:3.6.3.31
UniRef90_R6NNV6,ec:6.1.1.20
UniRef90_V2PWX3,ec:3.1.11.6
UniRef90_V2PXT4,ec:6.3.4.19
UniRef90_V2Q962,ec:6.1.1.6
UniRef90_V2Q9D0,ec:3.1.11.6
UniRef90_V2QA87,ec:3.1.1.96
UniRef90_V2QAT4,ec:2.1.1.63
UniRef90_V2QDI2,ec:3.1.26.3
UniRef90_V2QFS8,ec:3.1.26.5
UniRef90_V2QH17,ec:2.4.99.17
UniRef90_V2QH21,ec:3.4.23.36
UniRef90_V2QKJ4,ec:3.5.1.88
