UniRef90_R7JA67,ec:2.3.1.179
UniRef90_A6LFT6,ec:6.1.1.16
UniRef90_A7ZP75,ec:2.4.2.43
UniRef90_A8AQ55,ec:5.4.99.25
UniRef90_B5Y0Y6,ec:2.4.2.29
UniRef90_K5YG13,ec:5.2.1.8
UniRef90_K6A705,ec:2.7.7.2
UniRef90_K6AP66,ec:5.2.1.8
UniRef90_P00914,ec:4.1.99.3
UniRef90_P03631,ec:6.5.1.1
UniRef90_P09029,ec:6.3.4.18
UniRef90_P09148,ec:2.7.7.12
UniRef90_P0A949,ec:2.3.1.128
UniRef90_P0AEC7,ec:2.7.13.3
UniRef90_P27833,ec:2.6.1.59
UniRef90_P27896,ec:2.7.13.3
UniRef90_P28304,ec:1.6.5.5
UniRef90_P32676,ec:2.7.1.69
UniRef90_P37773,ec:6.3.2.45
UniRef90_P39099,ec:3.4.21.107
UniRef90_P40720,ec:5.3.2.2
UniRef90_P42593,ec:1.3.1.34
UniRef90_P75794,ec:1.97.1.4
UniRef90_P77567,ec:2.3.1.118
UniRef90_Q57SB5,ec:3.4.21.92
UniRef90_Q8FAT5,ec:6.1.1.6
UniRef90_Q8X9B6,ec:6.4.1.2
UniRef90_R6WKC0,ec:1.3.1.9
UniRef90_R6X1Y5,ec:4.2.99.18
UniRef90_R6X635,ec:1.6.5.8
UniRef90_A6LG11,ec:3.6.4.12
UniRef90_A6LIH3,ec:3.1.22.4
UniRef90_A7ZJ00,ec:2.7.7.61
UniRef90_A7ZJ95,ec:4.2.99.18
UniRef90_A7ZNJ1,ec:2.4.2.17
UniRef90_A7ZQ47,ec:2.1.1.228
UniRef90_A8AFY6,ec:3.1.1.29
UniRef90_A8AN85,ec:3.4.21.88
UniRef90_A8AP21,ec:2.1.1.186
UniRef90_A8AQI1,ec:3.5.1.88
UniRef90_B5F1J4,ec:2.7.11.5
UniRef90_B5QTU8,ec:3.1.26.3
UniRef90_B5Y0K6,ec:6.1.1.16
UniRef90_C3SEN7,ec:1.1.1.57
UniRef90_C3SMQ2,ec:2.1.1.207
UniRef90_D6D3N6,ec:6.1.1.22
UniRef90_K5YU76,ec:3.4.21.89
UniRef90_K5ZGJ4,ec:6.1.1.22
UniRef90_K5ZHQ6,ec:1.6.5.8
UniRef90_K5ZL12,ec:3.4.11.4
UniRef90_K5ZPX5,ec:3.1.26.3
UniRef90_K5ZTE2,ec:2.4.99.17
UniRef90_K6A2B5,ec:3.4.21.89
UniRef90_K6A9B9,ec:2.8.4.3
UniRef90_K6ALW4,ec:3.5.4.31
UniRef90_P08400,ec:2.7.13.3
UniRef90_P08401,ec:2.7.13.3
UniRef90_P08839,ec:2.7.3.9
UniRef90_P0A6C2,ec:3.1.21.2
UniRef90_P0A9T2,ec:1.1.1.95
UniRef90_P0AA45,ec:5.4.99.19
UniRef90_P0AB84,ec:4.2.99.18
UniRef90_P0AB86,ec:2.7.1.180
UniRef90_P0AD15,ec:2.7.13.3
UniRef90_P0ADY0,ec:2.1.1.171
UniRef90_P0AE84,ec:2.7.13.3
UniRef90_P0AEJ4,ec:2.7.13.3
UniRef90_P0AFA3,ec:2.7.13.3
UniRef90_P0AFL5,ec:5.2.1.8
UniRef90_P0AGG6,ec:1.8.1.8
UniRef90_P10902,ec:1.4.3.16
UniRef90_P11349,ec:1.7.99.4
UniRef90_P16687,ec:2.7.8.37
UniRef90_P16692,ec:3.1.4.55
UniRef90_P23883,ec:1.2.1.5
UniRef90_P25736,ec:3.1.21.1
UniRef90_P27848,ec:3.1.3.74
UniRef90_P30138,ec:2.7.7.73
UniRef90_P32140,ec:5.3.1.31
UniRef90_P32176,ec:1.2.1.2
UniRef90_P32718,ec:2.7.1.55
UniRef90_P37680,ec:5.1.3.4
UniRef90_P41052,ec:4.2.2.n1
UniRef90_P42604,ec:4.2.1.7
UniRef90_P52045,ec:4.1.1.41
UniRef90_P52101,ec:2.7.13.3
UniRef90_P58127,ec:6.5.1.4
UniRef90_P62593,ec:3.5.2.6
UniRef90_P68398,ec:3.5.4.33
UniRef90_P76261,ec:3.1.4.52
UniRef90_P77265,ec:3.6.3.44
UniRef90_P77390,ec:6.2.1.22
UniRef90_P77510,ec:2.7.13.3
UniRef90_Q323P2,ec:2.1.1.189
UniRef90_Q57TL5,ec:6.1.1.5
UniRef90_Q7UBD3,ec:2.1.1.176
UniRef90_Q821A5,ec:2.1.1.174
UniRef90_Q83LF6,ec:5.4.99.20
UniRef90_Q8FHC7,ec:4.2.1.8
UniRef90_Q8X4V7,ec:3.6.3.29
UniRef90_Q8XA35,ec:4.2.1.149
UniRef90_Q8XBT6,ec:1.1.1.346
UniRef90_Q8Z1V8,ec:2.7.11.5
UniRef90_R5DJ85,ec:5.2.1.8
UniRef90_R6Y9M8,ec:3.4.21.92
UniRef90_S0AKI7,ec:5.99.1.3
UniRef90_W1GRM1,ec:2.7.1.69
