GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|374087949|ref|NZ_JH599912.1|:1-1008|1054213|g__Acetobacteraceae_noname.s__Acetobacteraceae_bacterium_AT_5844|UniRef90_G9ZU40|UniRef50_G1XWW4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,1008,1,0.0.0.0,0.9920634920634921
gi|351000292|ref|NZ_AFBG01000021.1|:c149581-149231|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_UPI0002375C38|UniRef50_A1WCW8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. RAC01,351,2,0.0.0.0,5.698005698005699
gi|351000294|ref|NZ_AFBG01000023.1|:76248-80075|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_UPI0002377C4A|UniRef50_A1VRC5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,3828,5,0.0.0.0,1.3061650992685476
gi|351000293|ref|NZ_AFBG01000022.1|:c291521-288984|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_UPI000465B171,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,2538,1,0.0.0.0,0.39401103230890466
gi|395008593|ref|NZ_AKJX01000188.1|:13988-15004|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_A1TRT6|UniRef50_Q18GT4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Delftia;s_Delftia sp. Cs1-4,1017,1,1.1.1.86,0.9832841691248771
gi|121592436|ref|NC_008782.1|:2018714-2019466|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W783|UniRef50_B1XZ18,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,753,1,0.0.0.0,1.3280212483399734
gi|121592436|ref|NC_008782.1|:c415682-414342|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W335|UniRef50_O86422,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1341,1,1.1.1.22,0.7457121551081283
gi|121592436|ref|NC_008782.1|:c2218894-2217044|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,1851,1,1.8.1.4,0.5402485143165856
gi|121592436|ref|NC_008782.1|:3583117-3584103|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WB90|UniRef50_B2SK77,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,987,1,0.0.0.0,1.0131712259371835
gi|121592436|ref|NC_008782.1|:3431240-3432235|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WAU5|UniRef50_A1WAU5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,996,4,0.0.0.0,4.016064257028113
gi|121592436|ref|NC_008782.1|:c3078834-3077854|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A9BTR5|UniRef50_I7B856,root;k_Bacteria;p_Proteobacteria,981,9,0.0.0.0,9.174311926605505
gi|121592436|ref|NC_008782.1|:c939978-938974|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W4F6|UniRef50_A1TT79,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1005,1,0.0.0.0,0.9950248756218907
gi|407936729|ref|NC_018708.1|:c1146394-1145918|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I729|UniRef50_K4H2J5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,477,2,0.0.0.0,4.1928721174004195
gi|407936729|ref|NC_018708.1|:c2490949-2490407|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I156|UniRef50_V5UGQ6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,543,1,0.0.0.0,1.8416206261510129
gi|407936729|ref|NC_018708.1|:c4600924-4600469|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I9H7|UniRef50_C5CQ35,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,456,22,0.0.0.0,48.24561403508772
gi|407936729|ref|NC_018708.1|:5071639-5073090|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I566|UniRef50_B5SGP5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia pickettii,1452,2,2.7.13.3,1.3774104683195594
gi|407936729|ref|NC_018708.1|:323390-325027|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I589|UniRef50_K0I589,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1638,5,0.0.0.0,3.0525030525030528
gi|407936729|ref|NC_018708.1|:1575341-1576291|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HQ55|UniRef50_U5N5V3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,951,10,2.3.1.39,10.515247108307046
gi|407936729|ref|NC_018708.1|:1575341-1576291|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HQ55|UniRef50_U5N5V3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,951,1,2.3.1.39,1.0515247108307046
gi|407936729|ref|NC_018708.1|:c5097429-5096260|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HYX1|UniRef50_Q039P7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,1170,1,2.8.1.13,0.8547008547008548
gi|365091561|ref|NZ_AGTS01000075.1|:c79692-78205|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_K0I5D6|UniRef50_Q1R011,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,1488,8,4.1.1.98,5.376344086021505
gi|365085299|ref|NZ_AGTS01000002.1|:c31874-30933|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_H0BRP8|UniRef50_Q8XWW3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Citrobacter;s_Citrobacter rodentium,942,2,2.5.1.61,2.1231422505307855
gi|365092649|ref|NZ_AGTS01000083.1|:154852-155805|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_Q120B4|UniRef50_F4G3W1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Hydrogenophaga;s_Hydrogenophaga sp. RAC07,954,20,0.0.0.0,20.964360587002098
gi|365097546|ref|NZ_AGTS01000151.1|:48268-49164|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_UPI000237666F|UniRef50_F5XW52,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,897,1,0.0.0.0,1.1148272017837235
gi|365091561|ref|NZ_AGTS01000075.1|:c193021-191903|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_D0J7K8|UniRef50_E5ASY5,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. RAC01,1119,1,0.0.0.0,0.8936550491510277
gi|421678147|ref|NZ_AMFY01000011.1|:c2530-575|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_S3YMD7|UniRef50_A4VG24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1956,1,0.0.0.0,0.5112474437627812
gi|452734303|ref|NZ_AMHH01000216.1|:18826-19524|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_V2TM32|UniRef50_B5EMK3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,699,1,0.0.0.0,1.430615164520744
gi|491006586|ref|NZ_KB849545.1|:413405-414577|202952|g__Acinetobacter.s__Acinetobacter_gerneri|UniRef90_Q6FF69|UniRef50_Q5E8X7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1173,1,2.3.1.16,0.8525149190110827
gi|555498526|ref|NZ_KI530704.1|:c1059240-1058542|134534|g__Acinetobacter.s__Acinetobacter_gyllenbergii|UniRef90_V2TM32|UniRef50_B5EMK3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,699,1,0.0.0.0,1.430615164520744
gi|483367986|ref|NZ_AMJC01000166.1|:c7498-6800|29430|g__Acinetobacter.s__Acinetobacter_haemolyticus|UniRef90_V2TM32|UniRef50_B5EMK3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,699,2,0.0.0.0,2.861230329041488
gi|483373015|ref|NZ_AMJE01000079.1|:c19524-18511|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_E8PGQ4|UniRef50_B0U641,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter baumannii,1014,18,2.8.1.8,17.75147928994083
gi|490829800|ref|NZ_KB849230.1|:c366242-365676|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_D0SFL5|UniRef50_B8EJL7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,567,1,0.0.0.0,1.7636684303350971
gi|262369811|ref|NZ_GG704966.1|:346255-347427|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_Q6FF69|UniRef50_Q5E8X7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1173,1,2.3.1.16,0.8525149190110827
gi|483380270|ref|NZ_AMJF01000135.1|:c42875-41931|40215|g__Acinetobacter.s__Acinetobacter_junii|UniRef90_G2JEK4|UniRef50_Q7MHK1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter nosocomialis,945,11,6.3.2.3,11.640211640211641
gi|483377374|ref|NZ_AMJF01000065.1|:c48437-47028|40215|g__Acinetobacter.s__Acinetobacter_junii|UniRef90_U3T1U9|UniRef50_A5WCY2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1410,1,0.0.0.0,0.7092198581560284
gi|483977349|ref|NZ_AIEL01000131.1|:515-1081|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_S4AAI4|UniRef50_A5H885,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,567,7,0.0.0.0,12.34567901234568
gi|377684864|ref|NZ_CM001194.1|:1316429-1316629|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9BEE2|UniRef50_V2URF9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,201,6,0.0.0.0,29.850746268656714
gi|377684864|ref|NZ_CM001194.1|:c2477190-2475304|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_D0SBS1|UniRef50_A0A023RZV0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1887,1,0.0.0.0,0.5299417064122947
gi|377684864|ref|NZ_CM001194.1|:226430-228289|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_unknown|UniRef50_A0A009HBV1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1860,2,0.0.0.0,1.075268817204301
gi|490870730|ref|NZ_KB849267.1|:c135794-134013|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9QLR0|UniRef50_Q6FEG4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Chelatococcaceae;g_Chelatococcus;s_Chelatococcus sp. CO-6,1782,1,0.0.0.0,0.5611672278338945
gi|377684864|ref|NZ_CM001194.1|:c1291667-1290654|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_E8PGQ4|UniRef50_B0U641,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter baumannii,1014,16,2.8.1.8,15.779092702169626
gi|262380784|ref|NZ_GG705136.1|:c48576-48010|40216|g__Acinetobacter.s__Acinetobacter_radioresistens|UniRef90_S4AAI4|UniRef50_A5H885,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,567,6,0.0.0.0,10.582010582010582
gi|262378056|ref|NZ_GG705131.1|:1057707-1057898|40216|g__Acinetobacter.s__Acinetobacter_radioresistens|UniRef90_D0SHK2|UniRef50_C9LVX4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured rumen bacterium,192,1,0.0.0.0,5.208333333333333
gi|483397143|ref|NZ_AMJJ01000031.1|:c2400-445|40216|g__Acinetobacter.s__Acinetobacter_radioresistens|UniRef90_S3YMD7|UniRef50_A4VG24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1956,1,0.0.0.0,0.5112474437627812
gi|490950982|ref|NZ_KB849450.1|:c3463-2897|108981|g__Acinetobacter.s__Acinetobacter_schindleri|UniRef90_S4AAI4|UniRef50_A5H885,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,567,6,0.0.0.0,10.582010582010582
gi|483420754|ref|NZ_AMJL01000123.1|:1976-3931|1221302|g__Acinetobacter.s__Acinetobacter_sp_528|UniRef90_S3YMD7|UniRef50_A4VG24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1956,2,0.0.0.0,1.0224948875255624
gi|237642089|ref|NZ_GG665964.1|:34545-35243|525244|g__Acinetobacter.s__Acinetobacter_sp_ATCC_27244|UniRef90_V2TM32|UniRef50_B5EMK3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,699,2,0.0.0.0,2.861230329041488
gi|491362284|ref|NZ_KB850093.1|:c40910-40344|1144661|g__Acinetobacter.s__Acinetobacter_sp_CIP_101934|UniRef90_S4AAI4|UniRef50_A5H885,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,567,4,0.0.0.0,7.0546737213403885
gi|490916081|ref|NZ_KB849372.1|:1684245-1684943|1144663|g__Acinetobacter.s__Acinetobacter_sp_CIP_102082|UniRef90_V2TM32|UniRef50_B5EMK3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,699,1,0.0.0.0,1.430615164520744
gi|491472655|ref|NZ_KB850238.1|:c1344489-1342534|1144666|g__Acinetobacter.s__Acinetobacter_sp_CIP_102143|UniRef90_S3YMD7|UniRef50_A4VG24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1956,1,0.0.0.0,0.5112474437627812
gi|505759205|gb|AQFL01000027.1|:c107331-105376|1217699|g__Acinetobacter.s__Acinetobacter_sp_CIP_110321|UniRef90_S3YMD7|UniRef50_A4VG24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1956,1,0.0.0.0,0.5112474437627812
gi|389720603|ref|NZ_AJXD01000063.1|:6750-7316|1173062|g__Acinetobacter.s__Acinetobacter_sp_HA|UniRef90_S4AAI4|UniRef50_A5H885,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,567,7,0.0.0.0,12.34567901234568
gi|487418305|ref|NZ_AOTJ01000022.1|:606-2561|1209355|g__Acinetobacter.s__Acinetobacter_sp_MDS7A|UniRef90_S3YMD7|UniRef50_A4VG24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1956,1,0.0.0.0,0.5112474437627812
gi|359428098|ref|NZ_BAEB01000010.1|:4848-5546|1071390|g__Acinetobacter.s__Acinetobacter_sp_NBRC_100985|UniRef90_V2TM32|UniRef50_B5EMK3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,699,4,0.0.0.0,5.722460658082976
gi|490796607|ref|NZ_KB849184.1|:3929-4495|1217711|g__Acinetobacter.s__Acinetobacter_sp_NIPH_236|UniRef90_unknown|UniRef50_A5H885,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,567,10,0.0.0.0,17.63668430335097
gi|490795760|ref|NZ_KB849179.1|:c2718655-2718149|1217713|g__Acinetobacter.s__Acinetobacter_sp_NIPH_809|UniRef90_B7H1K0|UniRef50_Q6FF92,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter sp. ADP1,507,1,0.0.0.0,1.9723865877712032
gi|490919264|ref|NZ_KB849399.1|:40595-40978|1217710|g__Acinetobacter.s__Acinetobacter_sp_NIPH_899|UniRef90_G9HZ24|UniRef50_A0A023S3J0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,384,1,0.0.0.0,2.6041666666666665
gi|483314266|ref|NZ_AMIT01000067.1|:c2333-378|1221289|g__Acinetobacter.s__Acinetobacter_sp_TG27347|UniRef90_S3YMD7|UniRef50_A4VG24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1956,1,0.0.0.0,0.5112474437627812
gi|402295086|ref|NZ_AIEA01000017.1|:c41964-40555|108980|g__Acinetobacter.s__Acinetobacter_ursingii|UniRef90_D8JFD1|UniRef50_Q88MV7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Erwiniaceae;g_Pantoea;s_Pantoea ananatis,1410,12,0.0.0.0,8.51063829787234
gi|402295086|ref|NZ_AIEA01000017.1|:c41964-40555|108980|g__Acinetobacter.s__Acinetobacter_ursingii|UniRef90_D8JFD1|UniRef50_Q88MV7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter sp. NCu2D-2,1410,1,0.0.0.0,0.7092198581560284
gi|491147988|ref|NZ_KB849724.1|:c359060-358494|108980|g__Acinetobacter.s__Acinetobacter_ursingii|UniRef90_S4AAI4|UniRef50_A5H885,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,567,6,0.0.0.0,10.582010582010582
gi|491146961|ref|NZ_KB849722.1|:c1892397-1890442|108980|g__Acinetobacter.s__Acinetobacter_ursingii|UniRef90_S3YMD7|UniRef50_A4VG24,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,1956,1,0.0.0.0,0.5112474437627812
gi|484316802|ref|NZ_AKIQ01000015.1|:c817-1|52133|g__Acinetobacter.s__Acinetobacter_venetianus|UniRef90_P0C5W5|UniRef50_P0C5W5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Escherichia;s_Escherichia coli,817,3,0.0.0.0,3.6719706242350063
gi|485048872|ref|NZ_ALIG01000010.1|:94663-95229|52133|g__Acinetobacter.s__Acinetobacter_venetianus|UniRef90_S4AAI4|UniRef50_A5H885,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,567,5,0.0.0.0,8.818342151675486
gi|422012861|ref|NZ_AKFS01000299.1|:c13019-11565|52768|g__Actinomyces.s__Actinomyces_georgiae|UniRef90_J0MUU6|UniRef50_J0MUU6,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Microbacteriaceae;g_Microcella;s_Microcella alkaliphila,1455,1,0.0.0.0,0.6872852233676976
gi|484314136|ref|NZ_JH711481.1|:770312-773422|461393|g__Actinomyces.s__Actinomyces_massiliensis|UniRef90_J1GTY3|UniRef50_J1GTY3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas putida,3111,1,0.0.0.0,0.3214400514304082
gi|324996859|ref|NZ_BABV01000544.1|:c2485-1400|544580|g__Actinomyces.s__Actinomyces_oris|UniRef90_F2V0Y5|UniRef50_P53984,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces oris,1086,2,0.0.0.0,1.8416206261510129
gi|324996859|ref|NZ_BABV01000544.1|:c2485-1400|544580|g__Actinomyces.s__Actinomyces_oris|UniRef90_F2V0Y5|UniRef50_P53984,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces naeslundii,1086,2,0.0.0.0,1.8416206261510129
gi|329953071|ref|NZ_GL882572.1|:18464-19639|712117|g__Actinomyces.s__Actinomyces_sp_oral_taxon_170|UniRef90_F3PCA2|UniRef50_G0HC96,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Pseudopropionibacterium;s_Pseudopropionibacterium propionicum,1176,1,5.3.3.2,0.8503401360544218
