root,kingdom,phylum,class,order,family,genus,species,Reads
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Asticcacaulis,s_Asticcacaulis excentricus,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Asticcacaulis,s_Asticcacaulis excentricus,3
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Asticcacaulis,s_Asticcacaulis excentricus,2
root,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Oxalobacteraceae,g_Janthinobacterium,s_Janthinobacterium agaricidamnosum,1
root,k_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Bacillaceae,g_Bacillus,s_Bacillus coagulans,5
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Anaerotignum,s_Anaerotignum propionicum,13
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Bifidobacteriales,f_Bifidobacteriaceae,g_Bifidobacterium,s_Bifidobacterium animalis,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Porphyromonadaceae,g_Porphyromonas,s_Porphyromonas gingivalis,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Tannerella,s_Tannerella forsythia,38
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Tannerella,s_Tannerella forsythia,31
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides fragilis,4
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Tyzzerella,s_[Clostridium] piliforme,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,3
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,11
root,k_Bacteria,p_Firmicutes,c_Bacilli,o_Bacillales,f_Bacillaceae,g_Bacillus,s_Bacillus nealsonii,7
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Prevotellaceae,g_Prevotella,s_Prevotella enoeca,210
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,13
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides fragilis,2
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,2
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,8
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Tannerella,s_Tannerella forsythia,2
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides vulgatus,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Tannerellaceae,g_Parabacteroides,s_Parabacteroides distasonis,8
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Porphyromonadaceae,g_Porphyromonas,s_Porphyromonas gingivalis,85
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides thetaiotaomicron,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides dorei,1
root,k_Bacteria,p_Acidobacteria,c_Acidobacteriia,o_Acidobacteriales,f_Acidobacteriaceae,g_Terriglobus,s_Terriglobus saanensis,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides vulgatus,2
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides vulgatus,2
root,k_Bacteria,p_Acidobacteria,c_Acidobacteriia,o_Acidobacteriales,f_Acidobacteriaceae,g_Terriglobus,s_Terriglobus saanensis,2
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides vulgatus,1
root,k_Bacteria,p_Bacteroidetes,c_Bacteroidia,o_Bacteroidales,f_Bacteroidaceae,g_Bacteroides,s_Bacteroides vulgatus,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,44
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,11
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,17
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,5
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,8
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,5
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,9
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,9
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,6
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,3
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,7
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,10
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,3
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,4
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,7
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,3
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,36
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,11
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,18
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,3
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,23
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,3
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,3
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,31
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,11
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,6
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,4
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,34
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,10
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,4
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,4
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,4
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,4
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,25
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,98
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,23
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Anaerotignum,s_Anaerotignum propionicum,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,50
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,27
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,35
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,41
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Anaerotignum,s_Anaerotignum propionicum,13
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,86
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Anaerotignum,s_Anaerotignum propionicum,3404
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,102
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1169
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Anaerotignum,s_Anaerotignum propionicum,22
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Alcaligenaceae,g_Bordetella,s_Bordetella petrii,4
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Dermabacteraceae,g_Brachybacterium,s_Brachybacterium faecium,1
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Dermabacteraceae,g_Brachybacterium,s_Brachybacterium faecium,4
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Corynebacteriales,f_Gordoniaceae,g_Gordonia,s_Gordonia phthalatica,3
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Dermabacteraceae,g_Brachybacterium,s_Brachybacterium faecium,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium diazoefficiens,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium diazoefficiens,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium ottawaense,2
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium sp.,2
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium japonicum,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Caulobacter,s_Caulobacter segnis,2
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium oligotrophicum,2
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Afipia,s_Afipia sp. GAS231,2
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium icense,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium japonicum,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium sp. S23321,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium sp. S23321,2
root,k_Bacteria,p_Proteobacteria,c_Betaproteobacteria,o_Burkholderiales,f_Comamonadaceae,g_Variovorax,s_Variovorax paradoxus,4
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Pseudonocardiales,f_Pseudonocardiaceae,g_Saccharothrix,s_Saccharothrix espanaensis,10
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium sp. CCGE-LA001,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Rhizobiales,f_Bradyrhizobiaceae,g_Bradyrhizobium,s_Bradyrhizobium japonicum,9
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Ruminococcaceae,g_Ruminococcus,s_Ruminococcus champanellensis,10
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Micrococcaceae,g_Kocuria,s_Kocuria palustris,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Brevundimonas,s_Brevundimonas sp. GW460-12-10-14-LB2,6
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Brevundimonas,s_Brevundimonas subvibrioides,24
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Caulobacter,s_Caulobacter segnis,7
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Caulobacter,s_Caulobacter segnis,1
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Caulobacter,s_Caulobacter henricii,5
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Brevundimonas,s_Brevundimonas naejangsanensis,3
root,k_Bacteria,p_Proteobacteria,c_Alphaproteobacteria,o_Caulobacterales,f_Caulobacteraceae,g_Caulobacter,s_Caulobacter henricii,2
root,k_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Pseudomonadales,f_Pseudomonadaceae,g_Pseudomonas,s_Pseudomonas sp. LAB-08,4
root,k_Bacteria,p_Bacteroidetes,c_Flavobacteriia,o_Flavobacteriales,f_Flavobacteriaceae,g_Chryseobacterium,s_Chryseobacterium sp. IHB B 17019,2
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Brevibacteriaceae,g_Brevibacterium,s_Brevibacterium linens,1
root,k_Bacteria,p_Actinobacteria,c_Actinobacteria,o_Micrococcales,f_Microbacteriaceae,g_Leifsonia,s_Leifsonia sp. 21MFCrub1.1,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,4
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Clostridiaceae,g_Clostridium,s_Clostridium botulinum,2
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Tyzzerella,s_[Clostridium] piliforme,5
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Blautia,s_Blautia sp. YL58,1
root,k_Bacteria,p_Proteobacteria,c_Gammaproteobacteria,o_Vibrionales,f_Vibrionaceae,g_Vibrio,s_Vibrio vulnificus,1
root,k_Bacteria,p_Firmicutes,c_Clostridia,o_Clostridiales,f_Lachnospiraceae,g_Anaerotignum,s_Anaerotignum propionicum,1
