taxa_x,uniref90,length,taxa_y,RPK
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z2B0,1314.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZWW9,603.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,21.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YM38,603.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z0S9,1155.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_Q7MXB9,222.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A6T6,222.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZZ51,1329.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LA83,1758.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6X2N4,222.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Y2D7,1764.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6WRT3,786.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6WQ56,435.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,100.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEI4,435.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AX27,357.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_Q5L8D1,219.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6X4M3,219.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DL45,531.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,17.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z025,480.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z7K6,480.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_S0GJR7,283.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3701.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YVS6,855.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZRS8,483.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A285,828.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DMB9,456.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YVY8,660.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A1T4,1677.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DG80,318.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZZN4,291.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUN5,474.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DEI7,300.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,10.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LHM7,846.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEJ4,477.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,68.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DRK5,312.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZGJ0,474.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,104.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z779,294.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6Y9M8,669.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YLW8,636.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZEE2,264.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZGU6,327.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZZ67,639.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6WZC4,639.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZLQ3,246.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AAY4,246.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DHZ7,246.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,20.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEH2,447.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DS60,1230.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LE84,699.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,35.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_C3Q890,1047.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6WS16,273.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZKZ4,321.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,5.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUW6,273.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6WUS3,276.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZVQ3,327.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DMA4,693.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_Q5L8B3,270.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZV13,1068.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Y2H5,366.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LE82,378.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Y0V8,957.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEH6,552.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,9.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z3K2,177.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A691,561.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_Q59199,1002.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,35.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A8R2,396.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DR75,1203.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZLE3,741.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEH7,396.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AGE6,738.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YVL2,381.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z1Z5,768.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZYB1,408.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DBD4,171.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6X5K9,738.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,74.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEG5,993.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A2Q9,1437.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A0B0,561.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,72.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5XY63,402.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z071,1164.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DFP5,594.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEI6,411.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z7H8,948.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZIB0,183.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,32.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YZD0,696.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AMN8,696.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R9H741,696.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AVK6,693.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,14.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A6V5,744.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,23.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZAV2,693.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,67.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YC54,744.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZU03,690.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YFX8,690.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A5E7,744.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,28.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2AW28,690.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZZQ3,744.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DP14,753.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,5.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AIP7,753.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZYJ6,681.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6XFN4,753.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,13.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YG13,717.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,31.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2ANN3,714.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZDM4,735.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DPL5,732.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,12.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUV5,732.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z198,738.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A913,738.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,36.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R7JA49,711.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2AMM2,735.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2AWJ6,717.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z543,723.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZTE3,726.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R9I5U8,729.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Y287,720.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,5.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YYP7,699.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6X4Q6,741.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2AVK1,696.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,15.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z1B0,699.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,6.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A2F0,705.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEI5,738.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6X7I2,702.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,50.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LID6,600.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DML6,600.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,7.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LDI8,597.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A8N9,600.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A7D9,591.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,11.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R5DE23,591.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Y694,606.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A917,615.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,19.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A6H0,615.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YXD3,603.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z1H4,603.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z137,603.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,6.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A096,606.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,5.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LEG6,606.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZWX9,606.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A3T3,579.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,22.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZE84,585.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2B4S4,582.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A807,576.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,5.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YLZ5,579.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZU07,588.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,56.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z7J6,591.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZQ37,651.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5YVU8,660.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,4.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LG93,657.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZRR7,660.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2APF1,645.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,24.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A732,642.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,6.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZGS8,648.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A6W9,672.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6AMC0,675.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_A6LDD5,666.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_S0GIT3,666.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_N2BGZ1,666.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,8.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZTG9,663.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZY58,666.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,2.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Y261,666.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K6A2J9,627.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5Z035,627.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,5.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZZU6,627.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_K5ZUB5,624.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,1.0
g__Parabacteroides.s__Parabacteroides_goldsteinii,UniRef90_R6WQT3,618.0,g__Parabacteroides.s__Parabacteroides_goldsteinii,3.0
