taxa,uniref90,uniref50,length
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_Q1WSA2,UniRef50_A4SCS1,543
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTY0,UniRef50_R4PZ01,546
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A2L4,UniRef50_N2A2L4,537
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZR93,UniRef50_N1ZR93,540
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZF64,UniRef50_Q3Y1W6,540
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWY4,UniRef50_Q834K3,543
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A2J4,UniRef50_N2A2J4,537
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWJ7,UniRef50_R4JWB4,546
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZNJ0,UniRef50_Q1G8W0,537
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZNQ1,UniRef50_A4XKS9,543
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZP45,UniRef50_Q1WV02,546
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_G2SQY6,UniRef50_A0T0Y7,537
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMI6,UniRef50_N1ZMI6,531
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJZ0,UniRef50_S5NEC7,519
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZY25,UniRef50_B2IP94,519
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A356,UniRef50_A0RHL5,516
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_G2SP13,UniRef50_Q04F01,519
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZYB1,UniRef50_N1ZYB1,519
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZU62,UniRef50_N1ZU62,519
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZZF2,UniRef50_A5VKT1,519
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPJ9,UniRef50_R6SPZ8,513
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZU13,UniRef50_N1ZU13,513
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A005,UniRef50_Q042B4,513
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUR3,UniRef50_Q99YH2,516
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRW6,UniRef50_R6TJH9,516
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRL7,UniRef50_S0NRH0,516
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPG4,UniRef50_U5ZGX6,516
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMZ0,UniRef50_G2SNT4,528
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUJ8,UniRef50_A5VIQ7,528
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPW1,UniRef50_N1ZPW1,525
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_R0G078,UniRef50_H3RS37,522
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUP3,UniRef50_N1ZUP3,525
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJS8,UniRef50_N1ZJS8,525
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUP6,UniRef50_N1ZUP6,525
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRU8,UniRef50_O32091,549
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZFA8,UniRef50_G2SQQ9,582
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJR6,UniRef50_N1ZJR6,582
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTD9,UniRef50_N1ZU30,579
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZU30,UniRef50_N1ZU30,582
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A2D4,UniRef50_V7HVV7,582
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUJ7,UniRef50_Q837A8,582
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZKB7,UniRef50_N1ZKB7,582
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUA9,UniRef50_N1ZUA9,582
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZVM2,UniRef50_B2GBQ4,576
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRJ0,UniRef50_D2NS64,576
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZFB1,UniRef50_K8E4N7,573
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWS3,UniRef50_E4SWZ4,576
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTS6,UniRef50_N1ZTS6,579
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPM9,UniRef50_Q5FIV4,579
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPE6,UniRef50_Q88Z77,576
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZV89,UniRef50_R6TIH8,579
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A3H2,UniRef50_Q88VE3,594
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_E8Q9G2,UniRef50_G0ICP6,594
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZFT8,UniRef50_A0A024DGJ3,591
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXR7,UniRef50_S5N5Y1,597
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLR4,UniRef50_B0V6S4,600
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUX9,UniRef50_Q38VX5,594
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWX2,UniRef50_N1ZWX2,597
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZHZ7,UniRef50_G2SM02,585
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZT23,UniRef50_A5VL61,588
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZNB4,UniRef50_N1ZN58,584
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXM7,UniRef50_D8IL49,585
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRL8,UniRef50_N1ZRL8,591
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_Q1WTA8,UniRef50_Q11I48,591
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJM3,UniRef50_N1ZJM3,588
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLN0,UniRef50_P46322,588
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRF3,UniRef50_U4QNE5,558
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZN46,UniRef50_N1ZN46,558
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_UPI00046A12B9,UniRef50_Q2RLX7,555
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZS43,UniRef50_S5N7U8,558
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_R6SRI7,UniRef50_P49778,558
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZM12,UniRef50_G2SQN4,561
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZGA3,UniRef50_M5ACV5,558
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZR25,UniRef50_N1ZR25,558
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZML4,UniRef50_Q88ZZ1,552
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZKQ1,UniRef50_W1TLP6,555
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZFS2,UniRef50_Q2G0P2,552
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPJ6,UniRef50_G2SMX2,552
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMT9,UniRef50_V5XR69,555
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZIV9,UniRef50_N1ZIV9,555
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZV15,UniRef50_F4FTW7,555
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSM5,UniRef50_Q839Y9,555
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSA8,UniRef50_Q2JV16,567
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZHZ4,UniRef50_G2SLY6,567
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRJ6,UniRef50_D8ILA1,567
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZS22,UniRef50_R9X4Q2,567
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZHR7,UniRef50_N1ZHR7,573
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_W1I799,UniRef50_N1ZRW0,573
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZHW1,UniRef50_N1ZHW1,567
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWA8,UniRef50_N1ZWA8,567
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZKU9,UniRef50_G2SPR6,561
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMJ2,UniRef50_A5VJC8,564
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZP47,UniRef50_F7QW28,561
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRP3,UniRef50_N1ZRP3,561
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLN3,UniRef50_P26830,564
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJE9,UniRef50_K0N2S4,564
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSB6,UniRef50_R6JR34,564
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQM4,UniRef50_N1ZQM4,564
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWP8,UniRef50_G2SNF5,459
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZVP7,UniRef50_J9YJF2,459
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSC0,UniRef50_N1ZSC0,459
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQC3,UniRef50_N1ZQC3,459
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZVE8,UniRef50_N1ZVE8,465
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZIW5,UniRef50_Q38WU8,462
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPM0,UniRef50_N1ZPM0,462
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPL3,UniRef50_N1ZPL3,459
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQ18,UniRef50_D0R253,456
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_unknown,UniRef50_B2GD02,456
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZX91,UniRef50_N1ZX91,453
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUA4,UniRef50_N1ZUA4,456
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZGQ5,UniRef50_Q9X525,456
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZK19,UniRef50_N1ZK19,456
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZU74,UniRef50_G2SQ54,465
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZG91,UniRef50_N1ZG91,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZHV7,UniRef50_Q88XZ6,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRZ6,UniRef50_N1ZRZ6,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZU34,UniRef50_N1ZU34,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLU7,UniRef50_D8IMY4,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZVF1,UniRef50_A7X3B0,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQC9,UniRef50_N1ZQC9,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXV3,UniRef50_N1ZXV3,468
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZVH9,UniRef50_F4FRI3,468
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTM7,UniRef50_G2SQZ4,465
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMZ7,UniRef50_N1ZU92,465
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A0L6,UniRef50_J9VYG6,468
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLB8,UniRef50_A5VI36,468
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXP2,UniRef50_N1ZXP2,468
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A023,UniRef50_B7HEC5,468
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWN1,UniRef50_P37503,453
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPP7,UniRef50_Q1WSK7,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQH3,UniRef50_M5AAP3,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQB6,UniRef50_N1ZQB6,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLV2,UniRef50_N1ZLV2,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZN29,UniRef50_M5ADG4,447
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A398,UniRef50_N2A398,447
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZV47,UniRef50_N1ZV47,447
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZZC4,UniRef50_A9KID5,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_R0FZZ1,UniRef50_F4A863,441
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTP2,UniRef50_A5VK79,441
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZK11,UniRef50_A9KKS6,441
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSW9,UniRef50_G2SQL5,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSM2,UniRef50_P96628,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_G2SR82,UniRef50_Q8CRI9,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJG5,UniRef50_N1ZJG5,444
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJL4,UniRef50_Q1WSK4,447
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTQ1,UniRef50_V5XRZ5,453
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLL6,UniRef50_O08450,453
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMH6,UniRef50_Q74M23,450
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLL1,UniRef50_F7R205,453
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZZ57,UniRef50_N1ZZ57,453
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZFX2,UniRef50_I6T7P3,453
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZIF9,UniRef50_O05515,453
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQ14,UniRef50_N1ZQ14,450
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZR29,UniRef50_F5ZI54,447
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQI1,UniRef50_R6SMI7,447
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXH3,UniRef50_R6TQ78,447
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A2K7,UniRef50_G2SNN8,450
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZM24,UniRef50_N1ZM24,450
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMT6,UniRef50_Q9CI03,450
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_M2EN99,UniRef50_E8QA02,450
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZW78,UniRef50_A8YUW1,501
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPI0,UniRef50_A5VHH7,498
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A2P1,UniRef50_R6SAR4,498
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXS2,UniRef50_N1ZXS2,501
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_Q1WSA7,UniRef50_A6TWG5,501
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSK5,UniRef50_M1LTM5,501
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZNS4,UniRef50_N1ZNS4,501
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJR1,UniRef50_N1ZJR1,498
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRH0,UniRef50_N1ZRH0,495
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXR6,UniRef50_N1ZXR6,492
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZIQ7,UniRef50_N1ZIQ7,492
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZX62,UniRef50_C7TAI0,495
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPC0,UniRef50_N1ZPC0,498
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZM80,UniRef50_N1ZM80,498
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMW4,UniRef50_N1ZMW4,495
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZS34,UniRef50_N1ZS34,501
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPQ5,UniRef50_D8ILR4,510
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZX64,UniRef50_F2MT10,510
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZNP9,UniRef50_J0L198,510
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJF2,UniRef50_Q1WRH5,510
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZF59,UniRef50_N1ZF59,513
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPX0,UniRef50_N1ZPX0,513
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZY70,UniRef50_N1ZY70,510
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZT01,UniRef50_F4BKY0,510
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZJI8,UniRef50_N1ZJI8,504
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZVF0,UniRef50_N1ZVF0,504
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_R0G258,UniRef50_M5ACX1,501
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZP85,UniRef50_Q1WST4,504
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZL43,UniRef50_N1ZL43,510
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSR0,UniRef50_Q38UZ9,507
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZK23,UniRef50_D6GTN8,504
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZRY9,UniRef50_N1ZRY9,492
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUV5,UniRef50_R4PWA8,477
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZR96,UniRef50_N1ZR96,477
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZG56,UniRef50_U2LHX9,477
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZHU7,UniRef50_N1ZHU7,480
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTF8,UniRef50_Q03UB1,480
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZIF1,UniRef50_G2SN76,480
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A2W1,UniRef50_Q817Z6,474
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZNZ0,UniRef50_Q74JV6,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZMI3,UniRef50_Q1G9P5,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_G2SQW0,UniRef50_C1CXH1,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZGY0,UniRef50_R6SLV8,471
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZF96,UniRef50_G2SQY7,474
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZGJ2,UniRef50_D8IJF2,474
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_unknown,UniRef50_P0C0C8,474
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZX36,UniRef50_K9ESW8,480
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPV6,UniRef50_Q1WS55,489
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZNR3,UniRef50_H8HA53,486
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZN36,UniRef50_D8ILN5,486
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXG8,UniRef50_N1ZXG8,489
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZU20,UniRef50_P32393,489
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZL11,UniRef50_Q1WT62,489
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZVM4,UniRef50_O06456,489
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZKM0,UniRef50_N1ZRH0,486
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQN8,UniRef50_N1ZQN8,483
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZLU3,UniRef50_N1ZLU3,483
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZT34,UniRef50_N1ZT34,480
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZPA8,UniRef50_N1ZPA8,483
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWY5,UniRef50_N1ZWY5,483
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZXJ3,UniRef50_P54574,483
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZYW1,UniRef50_U5RW00,705
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZTJ3,UniRef50_C1CXS7,705
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZF91,UniRef50_N1ZF91,705
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSP9,UniRef50_G2SMX0,708
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZID8,UniRef50_N1ZID8,708
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZQ13,UniRef50_N1ZQ13,708
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZNK2,UniRef50_N1ZNK2,708
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZP73,UniRef50_R0ENX3,702
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZUY1,UniRef50_P42200,699
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZSN1,UniRef50_M5ABP9,699
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZW87,UniRef50_A5VL83,699
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A1F1,UniRef50_R4Q105,699
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZIH3,UniRef50_N1ZIH3,702
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZL27,UniRef50_N1ZL27,702
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZWB2,UniRef50_Q1WUN9,702
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N2A1E0,UniRef50_A3CQT5,711
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZL36,UniRef50_M5ADS7,714
g__Lactobacillus.s__Lactobacillus_murinus,UniRef90_N1ZX05,UniRef50_N1ZX05,714
