GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|411116154|ref|NZ_JH556657.1|:196093-197025|35830|g__Acetivibrio.s__Acetivibrio_cellulolyticus|UniRef90_K4L592|UniRef50_H6LFX7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,933,1,0.0.0.0,1.0718113612004287
gi|262371545|ref|NZ_GG704984.1|:3562-3807|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_D0SHK2|UniRef50_C9LVX4,root;k_Bacteria,246,1,0.0.0.0,4.065040650406504
gi|491126074|ref|NZ_KB849708.1|:25757-27133|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9CSZ6|UniRef50_A0A023S033,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1377,1,0.0.0.0,0.7262164124909223
gi|491124812|ref|NZ_KB849705.1|:c810300-809572|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9CV88|UniRef50_G2JG48,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,729,1,0.0.0.0,1.3717421124828533
gi|505759707|gb|AQFL01000026.1|:c40979-40620|1217699|g__Acinetobacter.s__Acinetobacter_sp_CIP_110321|UniRef90_K9C7Q8|UniRef50_A0A011JHI3,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Lactococcus;s_Lactococcus garvieae,360,1,0.0.0.0,2.7777777777777777
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root,270,1,0.0.0.0,3.7037037037037033
gi|343521550|ref|NZ_AFUR01000001.1|:c593158-591734|712119|g__Actinomyces.s__Actinomyces_sp_oral_taxon_175|UniRef90_E7N7R5|UniRef50_J1HND7,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces oris,1425,1,0.0.0.0,0.7017543859649122
gi|405980662|ref|NZ_JH815211.1|:c480-202|131111|g__Actinomyces.s__Actinomyces_turicensis|UniRef90_K0YNP1|UniRef50_K0YNP1,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Propionibacterium;s_Propionibacterium sp. oral taxon 193,279,2,0.0.0.0,7.168458781362006
gi|117617447|ref|NC_008570.1|:1984799-1986379|644|g__Aeromonas.s__Aeromonas_hydrophila|UniRef90_A0KJA5|UniRef50_E1SU44,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas hydrophila,1581,1,0.0.0.0,0.6325110689437066
gi|330827700|ref|NC_015424.1|:c1962294-1962130|654|g__Aeromonas.s__Aeromonas_veronii|UniRef90_F4D8F4|UniRef50_A4W0F0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas trivialis,165,1,0.0.0.0,6.0606060606060606
gi|448879099|ref|NZ_KB375283.1|:c1431432-1430980|56946|g__Afipia.s__Afipia_broomeae|UniRef90_K2G3A6|UniRef50_K2G3A6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Devosia;s_Devosia sp. H5989,453,2,0.0.0.0,4.415011037527593
gi|448879100|ref|NZ_KB375284.1|:994287-996407|56946|g__Afipia.s__Afipia_broomeae|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micromonosporales;f_Micromonosporaceae;g_Micromonospora;s_Micromonospora auratinigra,2121,1,3.6.3.12,0.47147571900047147
gi|448879100|ref|NZ_KB375284.1|:1998-2918|56946|g__Afipia.s__Afipia_broomeae|UniRef90_G7D611|UniRef50_Q89BX6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. CCGE-LA001,921,1,0.0.0.0,1.0857763300760044
gi|448879103|ref|NZ_KB375270.1|:2839933-2840874|1035|g__Afipia.s__Afipia_felis|UniRef90_B6JCH3|UniRef50_Q8UII5,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. ORS 278,942,9,6.3.2.3,9.554140127388536
gi|486412009|ref|NZ_ARQL01000009.1|:38450-39328|1167635|g__Agrobacterium.s__Agrobacterium_sp_224MFTsu3_1|UniRef90_U4Q471|UniRef50_U4Q471,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium;s_Agrobacterium fabrum,879,2,0.0.0.0,2.2753128555176336
gi|261200344|ref|XM_002626527.1||5039|g__Ajellomyces.s__Ajellomyces_dermatitidis|UniRef90_unknown|UniRef50_T5BUV6,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Streptomyces hygroscopicus,3063,1,0.0.0.0,0.326477309826967
gi|484006746|ref|NZ_KB894552.1|:c54985-53822|328813|g__Alistipes.s__Alistipes_onderdonkii|UniRef90_R9H067|UniRef50_A6L6L6,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Ornithobacterium;s_Ornithobacterium rhinotracheale,1164,1,0.0.0.0,0.859106529209622
gi|224021130|ref|NZ_DS499580.1|:c149788-149330|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,459,1,0.0.0.0,2.178649237472767
gi|224021130|ref|NZ_DS499580.1|:c120920-120462|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WM9|UniRef50_R6DNZ4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,459,3,0.0.0.0,6.5359477124183005
gi|224021130|ref|NZ_DS499580.1|:c144710-144117|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_R5ND35,root;k_Bacteria,594,2,0.0.0.0,3.367003367003367
gi|224021130|ref|NZ_DS499580.1|:c144710-144117|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_R5ND35,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,594,1,0.0.0.0,1.6835016835016836
gi|224021130|ref|NZ_DS499580.1|:c144710-144117|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_R5ND35,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,594,1,0.0.0.0,1.6835016835016836
gi|224021130|ref|NZ_DS499580.1|:c157332-156718|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_D4VTI2|UniRef50_R6A853,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,615,4,0.0.0.0,6.504065040650406
gi|224021130|ref|NZ_DS499580.1|:c128897-126384|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_A6L0N6,root,2514,2,0.0.0.0,0.7955449482895784
gi|224021130|ref|NZ_DS499580.1|:c128897-126384|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_A6L0N6,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,2514,1,0.0.0.0,0.3977724741447892
gi|224021130|ref|NZ_DS499580.1|:c156620-155514|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WI5|UniRef50_Q64WI5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,1107,5,0.0.0.0,4.5167118337850045
gi|224021130|ref|NZ_DS499580.1|:c156620-155514|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WI5|UniRef50_Q64WI5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,1107,2,0.0.0.0,1.806684733514002
gi|479185170|ref|NC_021030.1|:3590285-3590629|328814|g__Alistipes.s__Alistipes_shahii|UniRef90_D4IQI9|UniRef50_U2IPG3,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes shahii,345,1,0.0.0.0,2.8985507246376816
gi|479185170|ref|NC_021030.1|:3590285-3590629|328814|g__Alistipes.s__Alistipes_shahii|UniRef90_D4IQI9|UniRef50_U2IPG3,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,345,1,0.0.0.0,2.8985507246376816
gi|479185170|ref|NC_021030.1|:c3610985-3608898|328814|g__Alistipes.s__Alistipes_shahii|UniRef90_unknown|UniRef50_unknown,root,2088,1,5.99.1.2,0.4789272030651341
gi|479185170|ref|NC_021030.1|:c3615870-3614635|328814|g__Alistipes.s__Alistipes_shahii|UniRef90_Q650C5|UniRef50_A6L6L6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,1236,1,0.0.0.0,0.8090614886731392
gi|258612386|ref|NZ_GG700643.1|:c425520-425323|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_C9LII2|UniRef50_C9LII2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,198,1,0.0.0.0,5.05050505050505
gi|258612386|ref|NZ_GG700643.1|:c425520-425323|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_C9LII2|UniRef50_C9LII2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes shahii,198,1,0.0.0.0,5.05050505050505
gi|258612386|ref|NZ_GG700643.1|:c425520-425323|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_C9LII2|UniRef50_C9LII2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,198,3,0.0.0.0,15.15151515151515
gi|258612386|ref|NZ_GG700643.1|:c435068-434901|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_C9LIJ4|UniRef50_B7B9V1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,168,3,0.0.0.0,17.857142857142858
gi|207998034|ref|NZ_ABXA01000013.1|:c4261-4058|33029|g__Anaerococcus.s__Anaerococcus_hydrogenalis|UniRef90_B6W7H9|UniRef50_B6W7H9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_;g_Epulopiscium;s_uncultured Epulopiscium sp.,204,1,0.0.0.0,4.901960784313726
gi|224021139|ref|NZ_DS499726.1|:4788-4928|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI64|UniRef50_B0MI64,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,141,1,0.0.0.0,7.092198581560284
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria,393,5,0.0.0.0,12.72264631043257
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root,393,5,0.0.0.0,12.72264631043257
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,393,4725,0.0.0.0,12022.900763358779
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root,375,35,0.0.0.0,93.33333333333333
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,375,45,0.0.0.0,120.0
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,403,44,0.0.0.0,109.18114143920594
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,403,4,0.0.0.0,9.925558312655086
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,403,1,0.0.0.0,2.4813895781637716
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,403,1,0.0.0.0,2.4813895781637716
gi|224021153|ref|NZ_DS499740.1|:385558-387942|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_unknown|UniRef50_R6RQR4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,2385,1,0.0.0.0,0.41928721174004197
gi|224021148|ref|NZ_DS499735.1|:25975-26988|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_unknown|UniRef50_D4N105,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1014,1,0.0.0.0,0.9861932938856016
gi|319430487|ref|NZ_GL629689.1|:c428388-427798|665937|g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA|UniRef90_R6QZ53|UniRef50_P94437,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,591,1,0.0.0.0,1.6920473773265652
gi|319430489|ref|NZ_GL629691.1|:182770-183843|665937|g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA|UniRef90_D4MVW2|UniRef50_B8JAU2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1074,1,0.0.0.0,0.9310986964618249
gi|224021160|ref|NZ_DS544169.1|:2022-2339|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_UPI00015E6A9A|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,318,1054,0.0.0.0,3314.4654088050315
gi|224021160|ref|NZ_DS544169.1|:2022-2339|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_UPI00015E6A9A|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,318,2,0.0.0.0,6.289308176100628
gi|224021162|ref|NZ_DS544171.1|:146380-147486|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_B0PC14|UniRef50_D7GTX3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1107,1,0.0.0.0,0.903342366757001
gi|551351068|ref|NZ_ATVD01000007.1|:10776-12182|498055|g__Arenimonas.s__Arenimonas_oryziterrae|UniRef90_D2UG72|UniRef50_Q2RZV3,root;k_Bacteria;p_Proteobacteria,1407,1,3.6.3.14,0.7107320540156361
gi|317148803|ref|XM_001822872.2||5062|g__Aspergillus.s__Aspergillus_oryzae|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Cyanobacteria;c_;o_Nostocales;f_Aphanizomenonaceae;g_Nodularia;s_Nodularia spumigena,1475,5,0.0.0.0,3.389830508474576
gi|315499382|ref|NC_014817.1|:c934489-932912|78587|g__Asticcacaulis.s__Asticcacaulis_excentricus|UniRef90_E8RTN1|UniRef50_E8RTN1,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Asticcacaulis;s_Asticcacaulis excentricus,1578,1,0.0.0.0,0.6337135614702154
gi|315497051|ref|NC_014816.1|:631699-632718|78587|g__Asticcacaulis.s__Asticcacaulis_excentricus|UniRef90_E8RR90|UniRef50_B4RGQ9,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Asticcacaulis;s_Asticcacaulis excentricus,1020,2,0.0.0.0,1.9607843137254901
gi|470168442|ref|NC_020516.1|:1184026-1185918|748247|g__Azoarcus.s__Azoarcus_sp_KH32C|UniRef90_C4ZJI7|UniRef50_P77495,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Rhodocyclales;f_Zoogloeaceae;g_Azoarcus;s_Azoarcus sp. CIB,1893,3,0.0.0.0,1.5847860538827259
gi|158421624|ref|NC_009937.1|:4023790-4024794|7|g__Azorhizobium.s__Azorhizobium_caulinodans|UniRef90_A7IJJ1|UniRef50_D3NUN5,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium;s_Agrobacterium fabrum,1005,2,0.0.0.0,1.9900497512437814
gi|423680240|ref|NZ_JH636050.1|:c200123-199659|1402|g__Bacillus.s__Bacillus_licheniformis|UniRef90_I0UMX8|UniRef50_I0UMX8,root,465,1,0.0.0.0,2.150537634408602
gi|423680240|ref|NZ_JH636050.1|:c200123-199659|1402|g__Bacillus.s__Bacillus_licheniformis|UniRef90_I0UMX8|UniRef50_I0UMX8,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales,465,1,0.0.0.0,2.150537634408602
gi|483722481|ref|NZ_KB889752.1|:3539850-3540188|1132442|g__Bacillus.s__Bacillus_sp_37MA|UniRef90_L0CZD0|UniRef50_L0CZD0,root;k_Bacteria,339,1,0.0.0.0,2.949852507374631
gi|126652877|ref|NZ_AAXV01000026.1|:48919-49266|388400|g__Bacillus.s__Bacillus_sp_B14905|UniRef90_A3IDC9|UniRef50_A3IDC9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,348,27,0.0.0.0,77.58620689655173
gi|134301164|ref|NZ_AAVM02000007.1|:254982-255134|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZJT5|UniRef50_A5ZJT5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,153,23,0.0.0.0,150.32679738562092
gi|423216731|ref|NZ_JH724079.1|:1129459-1129881|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_E1WRZ1|UniRef50_E1WW40,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,423,1,0.0.0.0,2.3640661938534278
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root,231,1,0.0.0.0,4.329004329004329
gi|134302804|ref|NZ_AAVM02000012.1|:11602-11859|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLG0|UniRef50_A5ZLG0,root,258,1,0.0.0.0,3.875968992248062
gi|423216731|ref|NZ_JH724079.1|:c1117756-1117436|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_D4VJF7|UniRef50_Q64WN0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,321,1,0.0.0.0,3.115264797507788
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root,462,170,0.0.0.0,367.96536796536793
