GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|422320815|ref|NZ_GL636045.1|:c24483-23272|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_R4XMS4|UniRef50_B2SD76,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,1212,1,0.0.0.0,0.8250825082508251
gi|121592436|ref|NC_008782.1|:c3641971-3640649|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1WBD6|UniRef50_A0KPF6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1323,1,0.0.0.0,0.7558578987150416
gi|407936729|ref|NC_018708.1|:3426061-3426759|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0IBX0|UniRef50_B9MF92,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,699,1,0.0.0.0,1.430615164520744
gi|407936729|ref|NC_018708.1|:c2752027-2750702|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HZF1|UniRef50_A9BWI7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1326,1,3.1.11.6,0.7541478129713424
gi|407936729|ref|NC_018708.1|:c4880120-4877427|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_unknown|UniRef50_A9C1G8,root;k_Archaea;p_Euryarchaeota;c_Halobacteria;o_Halobacteriales;f_Halobacteriaceae;g_Halalkalicoccus;s_Halalkalicoccus jeotgali,2694,1,6.1.1.4,0.37119524870081666
gi|407936729|ref|NC_018708.1|:3608051-3609022|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_UPI000464791F|UniRef50_UPI000464791F,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,972,2,0.0.0.0,2.05761316872428
gi|407936729|ref|NC_018708.1|:c989621-988473|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HXV7|UniRef50_B2SZ51,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1149,1,3.4.21.107,0.8703220191470844
gi|365089518|ref|NZ_AGTS01000052.1|:19360-20643|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_K0HWD5|UniRef50_Q126M1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria,1284,1,4.2.1.20,0.778816199376947
gi|489201740|ref|NZ_APAW01000141.1|:c8384-8103|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_M8EPJ5|UniRef50_M8EPJ5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria,282,1,0.0.0.0,3.546099290780142
gi|489201740|ref|NZ_APAW01000141.1|:c8384-8103|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_M8EPJ5|UniRef50_M8EPJ5,root;k_Bacteria;p_Proteobacteria,282,1,0.0.0.0,3.546099290780142
gi|333070326|ref|NZ_GL891817.1|:306-440|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_U3T4U4|UniRef50_U3T4U4,root;k_Bacteria,135,2,0.0.0.0,14.814814814814813
gi|483980201|ref|NZ_KB892260.1|:450507-450635|202951|g__Acinetobacter.s__Acinetobacter_bouvetii|UniRef90_N9CU79|UniRef50_N8Q762,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,129,1,0.0.0.0,7.751937984496124
gi|490861250|ref|NZ_KB849283.1|:c457116-456673|106649|g__Acinetobacter.s__Acinetobacter_guillouiae|UniRef90_N8THZ1|UniRef50_N8THZ1,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter baumannii,444,1,0.0.0.0,2.2522522522522523
gi|483373015|ref|NZ_AMJE01000079.1|:59210-59338|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9CU79|UniRef50_N8Q762,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,129,4,0.0.0.0,31.007751937984494
gi|485067699|ref|NZ_AMJD01000111.1|:c18608-18024|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9CXS0|UniRef50_N8YQB5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,585,1,0.0.0.0,1.7094017094017095
gi|262368201|ref|NZ_GG704964.1|:c188714-187707|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9BK54|UniRef50_D8JHG9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1008,6,5.1.3.2,5.9523809523809526
gi|491052989|ref|NZ_KB849609.1|:c1101551-1101423|40215|g__Acinetobacter.s__Acinetobacter_junii|UniRef90_unknown|UniRef50_N8Q762,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,129,2,0.0.0.0,15.503875968992247
gi|377684864|ref|NZ_CM001194.1|:1596402-1597409|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9BK54|UniRef50_D8JHG9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1008,3,5.1.3.2,2.9761904761904763
gi|483993506|ref|NZ_KB465408.1|:c404527-404000|106654|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis|UniRef90_N9D5M7|UniRef50_N9D5M7,root;k_Bacteria;p_Proteobacteria,528,1,0.0.0.0,1.8939393939393938
gi|490938616|ref|NZ_KB849435.1|:498239-500263|1144669|g__Acinetobacter.s__Acinetobacter_sp_CIP_102637|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Alicyclobacillaceae;g_Kyrpidia;s_Kyrpidia tusciae,2025,1,0.0.0.0,0.4938271604938272
gi|445422050|ref|NZ_AMFQ01000101.1|:c110044-108722|903945|g__Acinetobacter.s__Acinetobacter_sp_WC_743|UniRef90_L9M2Q0|UniRef50_L9M2Q0,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Catenulisporales;f_Catenulisporaceae;g_Catenulispora;s_Catenulispora acidiphila,1323,1,0.0.0.0,0.7558578987150416
gi|484004304|ref|NZ_KB894355.1|:8972-10423|202955|g__Acinetobacter.s__Acinetobacter_tjernbergiae|UniRef90_B7GW55|UniRef50_A6T6B5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Alteromonas,1452,1,2.8.4.3,0.6887052341597797
gi|545347918|ref|NZ_KE952096.1|:c39596-39441|544581|g__Actinomyces.s__Actinomyces_johnsonii|UniRef90_U1QSX0|UniRef50_U1QSX0,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,156,2,0.0.0.0,12.820512820512821
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria,270,2,0.0.0.0,7.4074074074074066
gi|512633656|ref|NZ_KE150450.1|:c32420-31233|1203556|g__Actinomyces.s__Actinomyces_sp_HPA0247|UniRef90_S3ADP5|UniRef50_D4TWF5,root,1188,1,0.0.0.0,0.8417508417508418
gi|405980662|ref|NZ_JH815211.1|:c480-202|131111|g__Actinomyces.s__Actinomyces_turicensis|UniRef90_K0YNP1|UniRef50_K0YNP1,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Propionibacterium;s_Propionibacterium sp. oral taxon 193,279,2,0.0.0.0,7.168458781362006
gi|483355525|ref|NZ_KB903318.1|:131130-132662|113565|g__Actinoplanes.s__Actinoplanes_globisporus|UniRef90_UPI000375AD15|UniRef50_Q6A6H1,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae;g_Nocardia;s_Nocardia farcinica,1533,1,1.6.5.11,0.6523157208088716
gi|423195385|ref|NZ_JH815591.1|:2853044-2854305|644|g__Aeromonas.s__Aeromonas_hydrophila|UniRef90_K1JLM2|UniRef50_T0QMR3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii,1262,1,0.0.0.0,0.7923930269413629
gi|421495488|ref|NZ_ALJZ02000023.1|:1979-5131|651|g__Aeromonas.s__Aeromonas_media|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia solanacearum,3153,1,2.7.13.3,0.3171582619727244
gi|448879098|ref|NZ_KB375282.1|:c2394979-2392586|56946|g__Afipia.s__Afipia_broomeae|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria,2394,1,0.0.0.0,0.4177109440267335
gi|448879099|ref|NZ_KB375283.1|:c438788-437010|56946|g__Afipia.s__Afipia_broomeae|UniRef90_unknown|UniRef50_W0X935,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium oligotrophicum,1779,2,0.0.0.0,1.1242270938729624
gi|448879098|ref|NZ_KB375282.1|:75027-76208|56946|g__Afipia.s__Afipia_broomeae|UniRef90_E6VLJ4|UniRef50_E6VLJ4,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Rhodopseudomonas;s_Rhodopseudomonas palustris,1182,1,0.0.0.0,0.8460236886632826
gi|448879102|ref|NZ_KB375281.1|:1611079-1611699|1034|g__Afipia.s__Afipia_clevelandensis|UniRef90_F7QP90|UniRef50_Q89IR5,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium ottawaense,621,1,0.0.0.0,1.6103059581320451
gi|448879102|ref|NZ_KB375281.1|:c2320676-2317953|1034|g__Afipia.s__Afipia_clevelandensis|UniRef90_unknown|UniRef50_Q07IM6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,2724,1,2.7.13.3,0.36710719530102787
gi|330822653|ref|NC_015422.1|:565377-566936|179636|g__Alicycliphilus.s__Alicycliphilus_denitrificans|UniRef90_E8TX77|UniRef50_Q0K0I0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,1560,2,0.0.0.0,1.282051282051282
gi|330822653|ref|NC_015422.1|:c2882296-2879963|179636|g__Alicycliphilus.s__Alicycliphilus_denitrificans|UniRef90_unknown|UniRef50_C6WWU6,root;k_Bacteria,2334,1,0.0.0.0,0.4284490145672665
gi|319760738|ref|NC_014910.1|:1409085-1410731|179636|g__Alicycliphilus.s__Alicycliphilus_denitrificans|UniRef90_B9MCY7|UniRef50_Q8VZF1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,1647,1,0.0.0.0,0.607164541590771
gi|485047688|ref|NZ_ALEE01000428.1|:21190-21573|1200791|g__Alicycliphilus.s__Alicycliphilus_sp_CRZ1|UniRef90_A1W449|UniRef50_A1TL11,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,384,1,0.0.0.0,2.6041666666666665
gi|484006649|ref|NZ_KB894542.1|:c139412-138168|328813|g__Alistipes.s__Alistipes_onderdonkii|UniRef90_R6Z338|UniRef50_R7JPV8,root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Hymenobacteraceae;g_Hymenobacter;s_Hymenobacter sp. PAMC 26628,1245,1,0.0.0.0,0.8032128514056224
gi|224021130|ref|NZ_DS499580.1|:c152995-152573|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_K5ZHZ5|UniRef50_F0R8I8,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,423,1,0.0.0.0,2.3640661938534278
gi|224021130|ref|NZ_DS499580.1|:119443-119925|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WN1|UniRef50_E1WRX1,root,483,1,0.0.0.0,2.070393374741201
gi|224021130|ref|NZ_DS499580.1|:c149788-149330|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,459,1,0.0.0.0,2.178649237472767
gi|224021130|ref|NZ_DS499580.1|:c120920-120462|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WM9|UniRef50_R6DNZ4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,459,2,0.0.0.0,4.357298474945534
gi|224021130|ref|NZ_DS499580.1|:c120920-120462|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WM9|UniRef50_R6DNZ4,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,459,2,0.0.0.0,4.357298474945534
gi|224021130|ref|NZ_DS499580.1|:c120920-120462|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WM9|UniRef50_R6DNZ4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,459,2,0.0.0.0,4.357298474945534
gi|224021130|ref|NZ_DS499580.1|:c144710-144117|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_unknown|UniRef50_R5ND35,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,594,1,0.0.0.0,1.6835016835016836
gi|224021130|ref|NZ_DS499580.1|:c126371-125745|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WM1|UniRef50_F4KNM3,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,627,17,0.0.0.0,27.11323763955343
gi|224021130|ref|NZ_DS499580.1|:c126371-125745|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WM1|UniRef50_F4KNM3,root,627,3,0.0.0.0,4.784688995215311
gi|224021130|ref|NZ_DS499580.1|:c147098-145053|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_E1WS00|UniRef50_A6L370,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,2046,1,0.0.0.0,0.4887585532746824
gi|224021130|ref|NZ_DS499580.1|:c156620-155514|28117|g__Alistipes.s__Alistipes_putredinis|UniRef90_Q64WI5|UniRef50_Q64WI5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,1107,1,0.0.0.0,0.903342366757001
gi|479185170|ref|NC_021030.1|:3592964-3593221|328814|g__Alistipes.s__Alistipes_shahii|UniRef90_F0QZ61|UniRef50_I3YIY1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,258,1,0.0.0.0,3.875968992248062
gi|479185170|ref|NC_021030.1|:c3612614-3611046|328814|g__Alistipes.s__Alistipes_shahii|UniRef90_Q650D2|UniRef50_I3YIX4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes shahii,1569,1,0.0.0.0,0.6373486297004461
gi|258612386|ref|NZ_GG700643.1|:c425520-425323|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_C9LII2|UniRef50_C9LII2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,198,1,0.0.0.0,5.05050505050505
gi|258612386|ref|NZ_GG700643.1|:405520-406935|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_unknown|UniRef50_A6L6L6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_Alistipes shahii,1416,1,0.0.0.0,0.7062146892655368
gi|258612386|ref|NZ_GG700643.1|:413281-419121|76122|g__Alloprevotella.s__Alloprevotella_tannerae|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,5841,1,0.0.0.0,0.1712035610340695
gi|300781937|ref|NC_014318.1|:1948740-1950014|33910|g__Amycolatopsis.s__Amycolatopsis_mediterranei|UniRef90_D8HPJ7|UniRef50_Q73WG1,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,1275,1,2.1.2.1,0.7843137254901962
gi|224021138|ref|NZ_DS499725.1|:c3194-2895|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK1|UniRef50_B0MGK1,root,300,3,0.0.0.0,10.0
gi|224021139|ref|NZ_DS499726.1|:4788-4928|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI64|UniRef50_B0MI64,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,141,1,0.0.0.0,7.092198581560284
gi|224021136|ref|NZ_DS499723.1|:414-563|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_unknown|UniRef50_A8STH6,root,150,4,0.0.0.0,26.666666666666668
gi|224021136|ref|NZ_DS499723.1|:414-563|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_unknown|UniRef50_A8STH6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,150,1,0.0.0.0,6.666666666666667
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root,393,3,0.0.0.0,7.633587786259541
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria,393,3,0.0.0.0,7.633587786259541
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,393,2,0.0.0.0,5.089058524173028
