GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|423332908|ref|NZ_JH976496.1|:1-433|823|g__Parabacteroides.s__Parabacteroides_distasonis|UniRef90_K5ZEM5|UniRef50_K5ZEM5,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,433,42804,0.0.0.0,98854.50346420324
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,unclassified,165,279,0.0.0.0,1690.9090909090908
gi|405322164|ref|NZ_JH815205.1|:720943-721653|487174|g__Barnesiella.s__Barnesiella_intestinihominis|UniRef90_K0WTB3|UniRef50_K0WTB3,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,711,1185,0.0.0.0,1666.6666666666667
gi|508605261|ref|NC_019425.2|:c265514-265170|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EE78|UniRef50_K8EE78,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus murinus,345,574,0.0.0.0,1663.7681159420292
gi|224514740|ref|NZ_DS480694.1|:c452636-452373|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_A8RZB5|UniRef50_M1Y8K3,unclassified,264,433,0.0.0.0,1640.151515151515
gi|223667726|ref|NZ_DS264546.1|:413308-413574|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,267,424,0.0.0.0,1588.0149812734082
gi|262384936|ref|NZ_GG705172.1|:c417-76|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_D0TKA0|UniRef50_D0TKA0,unclassified,342,470,0.0.0.0,1374.2690058479532
gi|265758149|ref|NZ_GG705247.1|:4095-4304|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_D1KAJ3|UniRef50_D1KAJ3,unclassified,210,280,0.0.0.0,1333.3333333333335
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root,459,567,0.0.0.0,1235.2941176470588
gi|224515034|ref|NZ_DS547007.1|:c660-343|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_UPI000156186B|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,318,362,0.0.0.0,1138.3647798742138
gi|153883178|ref|NZ_ABDQ01000010.1|:c97412-97131|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1BC32|UniRef50_B1BC32,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,282,315,0.0.0.0,1117.021276595745
gi|522837947|ref|NZ_KE159513.1|:177266-177574|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZUF0|UniRef50_J9FKH3,unclassified,309,324,0.0.0.0,1048.5436893203885
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,unclassified,459,385,0.0.0.0,838.7799564270152
gi|211596870|ref|NZ_DS264324.1|:12966-13259|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYK6|UniRef50_A5ZYK6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,294,239,0.0.0.0,812.9251700680272
gi|331640218|ref|NZ_GL890575.1|:c187883-187789|658088|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA|UniRef90_F3AQ13|UniRef50_F3AQ13,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,95,77,0.0.0.0,810.5263157894736
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria,459,354,0.0.0.0,771.2418300653594
gi|396475797|ref|XM_003839825.1||5022|g__Leptosphaeria.s__Leptosphaeria_maculans|UniRef90_E4ZYE9|UniRef50_E4ZYE9,unclassified,168,113,0.0.0.0,672.6190476190476
gi|211596838|ref|NZ_DS264292.1|:35-379|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV6|UniRef50_G7ZHM8,root;k_Bacteria,345,227,0.0.0.0,657.9710144927536
gi|522837959|ref|NZ_KE159525.1|:107427-107663|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6AYS9|UniRef50_E1WNG8,unclassified,237,155,0.0.0.0,654.0084388185654
gi|319430508|ref|NZ_GL622411.1|:102804-102910|658089|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA|UniRef90_E5VL83|UniRef50_B1QRX5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,107,69,0.0.0.0,644.8598130841121
gi|224514971|ref|NZ_DS499684.1|:c1568-1380|29347|g__Clostridium.s__Clostridium_scindens|UniRef90_A7B8Q0|UniRef50_B0A7G6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,189,121,0.0.0.0,640.2116402116402
gi|211596885|ref|NZ_DS264339.1|:4513-4842|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM3|UniRef50_L0CZD0,root;k_Bacteria,330,206,0.0.0.0,624.2424242424242
gi|432341703|ref|NZ_ANIU01000589.1|:1-702|44752|g__Rhodococcus.s__Rhodococcus_wratislaviensis|UniRef90_L2TG82|UniRef50_L2TG82,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia solanacearum,702,436,0.0.0.0,621.0826210826211
gi|498503065|ref|NZ_KB822571.1|:c3858493-3857906|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZU07|UniRef50_Q8A633,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides ovatus,588,348,0.0.0.0,591.8367346938776
gi|211596853|ref|NZ_DS264307.1|:c100039-99440|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM1|UniRef50_A5KL06,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,600,347,0.0.0.0,578.3333333333334
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root,462,263,0.0.0.0,569.2640692640692
gi|153883178|ref|NZ_ABDQ01000010.1|:c97412-97131|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1BC32|UniRef50_B1BC32,unclassified,282,157,0.0.0.0,556.7375886524824
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,234,125,0.0.0.0,534.1880341880342
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,249,132,0.0.0.0,530.1204819277109
gi|498503065|ref|NZ_KB822571.1|:c1130434-1130135|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5DEI7|UniRef50_R5V945,unclassified,300,152,0.0.0.0,506.6666666666667
gi|406839846|ref|NZ_AJFM01000090.1|:271-522|75612|g__Pseudomonas.s__Pseudomonas_mandelii|UniRef90_UPI00029B13CF|UniRef50_UPI00029B13CF,unclassified,252,127,0.0.0.0,503.968253968254
gi|281419426|ref|NZ_ABVG02000007.1|:c269-66|1515|g__Clostridium.s__Clostridium_thermocellum|UniRef90_D1NR44|UniRef50_B0TIG3,unclassified,204,101,0.0.0.0,495.0980392156863
gi|223667726|ref|NZ_DS264546.1|:413308-413574|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_UPI000156FA79|UniRef50_G7SQ06,unclassified,267,132,0.0.0.0,494.3820224719101
gi|146386240|ref|NZ_AAYG02000024.1|:19088-19276|33038|g__Blautia.s__Ruminococcus_gnavus|UniRef90_A7B8Q0|UniRef50_B0A7G6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,189,91,0.0.0.0,481.48148148148147
gi|211596839|ref|NZ_DS264293.1|:c2400-2254|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYU6|UniRef50_A5ZYU6,unclassified,147,69,0.0.0.0,469.38775510204084
gi|211596924|ref|NZ_DS264378.1|:c6613-6362|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,252,111,0.0.0.0,440.4761904761905
gi|483080197|ref|NZ_ALYN01000079.1|:137-295|715|g__Actinobacillus.s__Actinobacillus_pleuropneumoniae|UniRef90_B8A153|UniRef50_T1L6Q5,unclassified,159,68,0.0.0.0,427.67295597484275
gi|211596893|ref|NZ_DS264347.1|:77319-77549|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5Z2Z6|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,231,97,0.0.0.0,419.9134199134199
gi|490138457|ref|NZ_KB822569.1|:c120398-119259|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZAM5|UniRef50_D4N0Z4,unclassified,1140,471,0.0.0.0,413.15789473684214
gi|424856175|ref|NZ_JH377177.1|:c275-1|37919|g__Rhodococcus.s__Rhodococcus_opacus|UniRef90_UPI00029CCAA7|UniRef50_H1A173,unclassified,275,113,0.0.0.0,410.9090909090909
gi|211596893|ref|NZ_DS264347.1|:81254-81484|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR94|UniRef50_D6SFJ7,unclassified,231,91,0.0.0.0,393.93939393939394
gi|223667651|ref|NZ_DS264471.1|:c3968-3819|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP9|UniRef50_A5ZBN0,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,150,55,0.0.0.0,366.6666666666667
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root,234,84,0.0.0.0,358.97435897435895
gi|211596838|ref|NZ_DS264292.1|:c473-312|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV7|UniRef50_A5ZYV7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,162,58,0.0.0.0,358.02469135802465
gi|225001177|ref|NZ_DS990168.1|:c3468-3184|46228|g__Ruminococcus.s__Ruminococcus_lactaris|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,285,102,0.0.0.0,357.8947368421053
gi|398394658|ref|XM_003850740.1||1047171|g__Zymoseptoria.s__Zymoseptoria_tritici|UniRef90_F9XGC0|UniRef50_T1L6Q5,unclassified,186,65,0.0.0.0,349.4623655913978
gi|265758149|ref|NZ_GG705247.1|:c4009-3620|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_D1KAJ2|UniRef50_A5ZLI4,unclassified,390,133,0.0.0.0,341.025641025641
gi|223667651|ref|NZ_DS264471.1|:c3968-3819|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP9|UniRef50_A5ZBN0,root;k_Bacteria,150,51,0.0.0.0,340.0
gi|365126304|ref|NZ_JH414792.1|:70-315|665949|g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1|UniRef90_G9S8W7|UniRef50_I7I840,unclassified,246,83,0.0.0.0,337.3983739837398
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,234,76,0.0.0.0,324.78632478632477
gi|326205068|ref|NZ_GL872354.1|:1-177|552395|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA|UniRef90_E9RZN0|UniRef50_D9ULF3,unclassified,177,57,0.0.0.0,322.0338983050848
gi|146386240|ref|NZ_AAYG02000024.1|:c17782-17516|33038|g__Blautia.s__Ruminococcus_gnavus|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,267,85,0.0.0.0,318.3520599250936
gi|343508559|ref|NZ_AFWE01000003.1|:c2637-2443|45658|g__Vibrio.s__Vibrio_scophthalmi|UniRef90_T2BY96|UniRef50_G7SQ06,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Tyzzerella,195,61,0.0.0.0,312.8205128205128
gi|410101288|ref|NZ_JH976474.1|:c869786-869547|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_A6L9U9|UniRef50_B2RM15,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,240,75,0.0.0.0,312.5
gi|490136654|ref|NZ_KB822566.1|:183567-185279|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZJP8|UniRef50_N1ZDH6,unclassified,1713,534,0.0.0.0,311.7338003502627
gi|522837953|ref|NZ_KE159519.1|:1057091-1057828|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6X5K9|UniRef50_E4TQQ9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,738,227,0.0.0.0,307.5880758807588
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,unclassified,447,134,0.0.0.0,299.7762863534676
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,144,43,0.0.0.0,298.61111111111114
gi|223667651|ref|NZ_DS264471.1|:c3968-3819|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP9|UniRef50_A5ZBN0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Marinilabiliales;f_Marinilabiliaceae;g_Anaerophaga;s_uncultured Anaerophaga sp.,150,43,0.0.0.0,286.6666666666667
gi|490136654|ref|NZ_KB822566.1|:120178-121293|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZJF3|UniRef50_R7IMM2,unclassified,1116,314,2.7.7.27,281.3620071684588
gi|133742103|ref|NZ_AAYJ01000086.1|:570-776|777|g__Coxiella.s__Coxiella_burnetii|UniRef90_unknown|UniRef50_unknown,unclassified,207,58,0.0.0.0,280.19323671497585
gi|153883142|ref|NZ_ABDP01000045.1|:c252-1|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1QRR6|UniRef50_M1Y8K3,unclassified,252,70,0.0.0.0,277.77777777777777
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria,234,64,0.0.0.0,273.5042735042735
gi|262384936|ref|NZ_GG705172.1|:15-245|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_W1I8G9|UniRef50_W1I8G9,root,231,63,0.0.0.0,272.7272727272727
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,unclassified,396,107,0.0.0.0,270.2020202020202
gi|490138457|ref|NZ_KB822569.1|:c119204-118410|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1Z1T6|UniRef50_P97089,unclassified,795,213,0.0.0.0,267.92452830188677
gi|398395184|ref|XM_003851003.1||1047171|g__Zymoseptoria.s__Zymoseptoria_tritici|UniRef90_F9XGI9|UniRef50_E1Z6Z7,unclassified,240,64,0.0.0.0,266.6666666666667
gi|422868958|ref|NZ_GL884071.1|:108-377|1351|g__Enterococcus.s__Enterococcus_faecalis|UniRef90_F3R5J3|UniRef50_M1Y8K3,unclassified,270,72,0.0.0.0,266.66666666666663
gi|367047614|ref|XM_003654139.1||35720|g__Thielavia.s__Thielavia_terrestris|UniRef90_G2R7E2|UniRef50_G2QP29,unclassified,483,126,0.0.0.0,260.8695652173913
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,234,59,0.0.0.0,252.13675213675214
gi|211596853|ref|NZ_DS264307.1|:100518-100670|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZTV8|UniRef50_A5ZTV8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,153,38,0.0.0.0,248.36601307189542
gi|224104202|ref|NZ_DS499552.1|:c3948-3739|261299|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii|UniRef90_B0A7F1|UniRef50_A7BNW4,root,210,51,0.0.0.0,242.85714285714286
gi|498503065|ref|NZ_KB822571.1|:c538682-538017|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2BGZ1|UniRef50_N2BGZ1,unclassified,666,160,0.0.0.0,240.24024024024024
gi|224515034|ref|NZ_DS547007.1|:27-311|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_B0NX14|UniRef50_B0NX14,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,285,68,0.0.0.0,238.5964912280702
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,root,165,39,0.0.0.0,236.36363636363635
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,unclassified,462,109,0.0.0.0,235.93073593073592
gi|211596885|ref|NZ_DS264339.1|:4513-4842|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM3|UniRef50_L0CZD0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,330,77,0.0.0.0,233.33333333333331
gi|211596839|ref|NZ_DS264293.1|:c1850-1728|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A8ST13|UniRef50_C7T763,unclassified,123,27,0.0.0.0,219.51219512195124
gi|265758149|ref|NZ_GG705247.1|:4095-4304|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_D1KAJ3|UniRef50_D1KAJ3,root,210,46,0.0.0.0,219.04761904761907
gi|224515023|ref|NZ_DS546999.1|:c165529-165263|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_B0NWR4|UniRef50_B0NX14,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,267,57,0.0.0.0,213.48314606741573
gi|490138457|ref|NZ_KB822569.1|:c114161-112890|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1Z1T4|UniRef50_G3KIM4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,1272,268,0.0.0.0,210.69182389937106
gi|319430652|ref|NZ_GL622369.1|:370-687|113287|g__Pseudoramibacter.s__Pseudoramibacter_alactolyticus|UniRef90_UPI0001F166E5|UniRef50_F5XS62,root;k_Bacteria;p_Chlamydiae;c_Chlamydiia;o_Chlamydiales;f_Chlamydiaceae;g_Chlamydia;s_Chlamydia sp. 2742-308,318,65,0.0.0.0,204.40251572327043
gi|498503065|ref|NZ_KB822571.1|:c3858493-3857906|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZU07|UniRef50_Q8A633,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,588,120,0.0.0.0,204.08163265306123
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella enoeca,459,91,0.0.0.0,198.25708061002177
gi|490134789|ref|NZ_KB822565.1|:c747204-745552|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZRS8|UniRef50_U2CY95,unclassified,1653,326,0.0.0.0,197.21718088324258
gi|224580298|ref|NZ_DS996445.1|:61866-62144|387661|g__Parabacteroides.s__Parabacteroides_johnsonii|UniRef90_A7AAS6|UniRef50_A7AAS6,unclassified,279,55,0.0.0.0,197.13261648745518
gi|545427722|ref|NZ_KI259218.1|:c293642-293463|837|g__Porphyromonas.s__Porphyromonas_gingivalis|UniRef90_U2JGB4|UniRef50_U2JGB4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides vulgatus,180,35,0.0.0.0,194.44444444444446
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,459,89,0.0.0.0,193.89978213507624
gi|522837954|ref|NZ_KE159520.1|:1145757-1148939|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2B405|UniRef50_N2B405,unclassified,3183,599,0.0.0.0,188.18724473766886
gi|498503065|ref|NZ_KB822571.1|:4946845-4948413|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2ASE1|UniRef50_N2ASE1,unclassified,1569,295,0.0.0.0,188.0178457616316
gi|490134789|ref|NZ_KB822565.1|:c627672-626923|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZM68|UniRef50_C7N794,unclassified,750,138,0.0.0.0,184.0
gi|490134789|ref|NZ_KB822565.1|:c626921-626370|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZDM7|UniRef50_C9XIP0,unclassified,552,100,0.0.0.0,181.15942028985506
