GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|359796355|ref|NZ_AGUF01000026.1|:22619-23782|1147684|g__Achromobacter.s__Achromobacter_arsenitoxydans|UniRef90_R4XPD9|UniRef50_Q5P917,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Methylobacterium,1164,1,0.0.0.0,0.859106529209622
gi|222109225|ref|NC_011992.1|:c1762525-1760684|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1W7P0|UniRef50_Q57180,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,1842,2,0.0.0.0,1.0857763300760044
gi|222109225|ref|NC_011992.1|:1736278-1737315|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1W7T1|UniRef50_Q12A19,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,1038,1,0.0.0.0,0.9633911368015414
gi|351000287|ref|NZ_AFBG01000016.1|:c64446-63235|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_C9YAX2|UniRef50_B8HCK2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Curvibacter;s_Curvibacter putative symbiont of Hydra magnipapillata,1212,9,4.2.1.8,7.425742574257426
gi|351000290|ref|NZ_AFBG01000019.1|:c843406-839603|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pandoraea;s_Pandoraea pnomenusa,3804,1,1.7.99.4,0.26288117770767616
gi|351000293|ref|NZ_AFBG01000022.1|:c291521-288984|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_unknown|UniRef50_UPI000465B171,root;k_Bacteria,2538,1,0.0.0.0,0.39401103230890466
gi|351000285|ref|NZ_AFBG01000014.1|:516-3029|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_K0HWY1|UniRef50_A1TLA7,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pandoraea;s_Pandoraea pulmonicola,2514,5,0.0.0.0,1.9888623707239461
gi|351000290|ref|NZ_AFBG01000019.1|:c250159-248417|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_J0KG75|UniRef50_Q8PGP9,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1743,1,6.1.1.15,0.5737234652897303
gi|351000290|ref|NZ_AFBG01000019.1|:339841-340929|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_UPI0002378636|UniRef50_A9BXG1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1089,5,0.0.0.0,4.591368227731865
gi|395006330|ref|NZ_AKJX01000114.1|:7321-7866|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_J0KMS8|UniRef50_B4E656,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycolicibacterium;s_Mycolicibacterium rutilum,546,1,0.0.0.0,1.8315018315018314
gi|395006118|ref|NZ_AKJX01000110.1|:41386-45300|1144317|g__Acidovorax.s__Acidovorax_sp_CF316|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria,3915,4,0.0.0.0,1.0217113665389528
gi|121592436|ref|NC_008782.1|:c43796-42717|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W222|UniRef50_D0KXU6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,1080,1,0.0.0.0,0.9259259259259258
gi|121592436|ref|NC_008782.1|:1928110-1929465|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W708|UniRef50_A1W708,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1356,2,0.0.0.0,1.4749262536873156
gi|121592436|ref|NC_008782.1|:c4163378-4161510|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_B9MH59|UniRef50_Q2SWD1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,1869,13,0.0.0.0,6.955591225254147
gi|121592436|ref|NC_008782.1|:c3873540-3871696|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium 183_26_G23,1845,21,4.1.99.17,11.382113821138212
gi|121592436|ref|NC_008782.1|:c2272013-2270922|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W7U2|UniRef50_W7A8S6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,1092,2,0.0.0.0,1.8315018315018314
gi|121592436|ref|NC_008782.1|:c2261130-2260054|232721|g__Acidovorax.s__Acidovorax_sp_JS42|UniRef90_A1W7T1|UniRef50_Q12A19,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,1077,5,0.0.0.0,4.642525533890437
gi|407936729|ref|NC_018708.1|:c3321973-3321413|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I2T2|UniRef50_G8QN50,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,561,2,0.0.0.0,3.5650623885918
gi|407936729|ref|NC_018708.1|:4319266-4319859|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0HXE4|UniRef50_Q21T45,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,594,4,0.0.0.0,6.734006734006734
gi|407936729|ref|NC_018708.1|:4600964-4602223|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I5Q7|UniRef50_A3NQD4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1260,8,2.7.7.72,6.349206349206349
gi|407936729|ref|NC_018708.1|:c1804045-1801667|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax;s_Variovorax sp. PAMC 28711,2379,1,0.0.0.0,0.4203446826397646
gi|407936729|ref|NC_018708.1|:c2628818-2626650|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_unknown|UniRef50_W7WFV4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,2169,5,5.4.99.2,2.305209774089442
gi|407936729|ref|NC_018708.1|:c4740757-4739888|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0IFD8|UniRef50_A1VJ00,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,870,8,0.0.0.0,9.195402298850574
gi|407936729|ref|NC_018708.1|:1938004-1939047|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I2Q5|UniRef50_G4RAC3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1044,1,0.0.0.0,0.9578544061302682
gi|407936729|ref|NC_018708.1|:1011569-1012639|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_J0U946|UniRef50_A5VYC6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1071,1,0.0.0.0,0.9337068160597572
gi|407936729|ref|NC_018708.1|:3591047-3592093|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I3A6|UniRef50_A6SWA9,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1047,3,0.0.0.0,2.865329512893983
gi|505485086|ref|NZ_BANP01000116.1|:c1106-27|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_A1W222|UniRef50_D0KXU6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,1080,3,0.0.0.0,2.7777777777777777
gi|365088152|ref|NZ_AGTS01000036.1|:16042-17256|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_K0IE02|UniRef50_P0C7L3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,1215,1,0.0.0.0,0.8230452674897119
gi|365091896|ref|NZ_AGTS01000077.1|:102230-104401|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_unknown|UniRef50_W7WFV4,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,2172,8,5.4.99.2,3.6832412523020257
gi|365093270|ref|NZ_AGTS01000100.1|:39289-41619|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax;s_Variovorax sp. PAMC 28711,2331,2,0.0.0.0,0.858000858000858
gi|365097976|ref|NZ_AGTS01000160.1|:c19323-13381|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria,5943,1,0.0.0.0,0.16826518593303047
gi|365096902|ref|NZ_AGTS01000145.1|:c108504-105772|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_unknown|UniRef50_B4EDT8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Limnohabitans;s_Limnohabitans sp. 103DPR2,2733,2,1.2.4.1,0.7317965605561654
gi|365096661|ref|NZ_AGTS01000143.1|:9068-10165|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_K0HX59|UniRef50_Q2Y7L8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1098,3,4.2.3.5,2.73224043715847
gi|490830826|ref|NZ_KB849234.1|:c276857-276600|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_A0A031LVH8|UniRef50_B0VEB2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,258,5,0.0.0.0,19.37984496124031
gi|491124812|ref|NZ_KB849705.1|:c1486769-1484520|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_unknown|UniRef50_A0A014TDV3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,2250,1,2.5.1.19,0.4444444444444444
gi|491119330|ref|NZ_KB849702.1|:c46781-45654|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N8QJ27|UniRef50_Q6FG11,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1128,1,2.7.1.170,0.8865248226950355
gi|377684864|ref|NZ_CM001194.1|:455113-455370|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_A0A031LVH8|UniRef50_B0VEB2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,258,7,0.0.0.0,27.131782945736433
gi|377684864|ref|NZ_CM001194.1|:1417283-1419385|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_unknown|UniRef50_C3DTJ7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,2103,1,0.0.0.0,0.475511174512601
gi|377684864|ref|NZ_CM001194.1|:c2728439-2727636|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9CXL6|UniRef50_Q1QCB8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,804,13,0.0.0.0,16.16915422885572
gi|491288102|ref|NZ_KB849995.1|:11059-11958|1217707|g__Acinetobacter.s__Acinetobacter_sp_ANC_3929|UniRef90_B0VVG2|UniRef50_B0VVG2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter baumannii,900,1,0.0.0.0,1.1111111111111112
gi|490787956|ref|NZ_KB849168.1|:222414-224483|1435036|g__Acinetobacter.s__Acinetobacter_sp_ANC_3994|UniRef90_unknown|UniRef50_Q6F7L8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter sp. TGL-Y2,2070,1,6.1.1.14,0.48309178743961356
gi|237642099|ref|NZ_GG665974.1|:6423-7358|525244|g__Acinetobacter.s__Acinetobacter_sp_ATCC_27244|UniRef90_A0A010LK68|UniRef50_B2I3S2,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,936,1,0.0.0.0,1.0683760683760684
gi|555536611|ref|NZ_AYEV01000014.1|:5591-7069|202955|g__Acinetobacter.s__Acinetobacter_tjernbergiae|UniRef90_A0A023RRV0|UniRef50_D5VAW9,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1479,2,0.0.0.0,1.352265043948614
gi|484004295|ref|NZ_KB894354.1|:24491-26569|202955|g__Acinetobacter.s__Acinetobacter_tjernbergiae|UniRef90_unknown|UniRef50_A5WG27,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter,2079,1,2.7.4.1,0.481000481000481
gi|400293198|ref|NZ_ALJK01000144.1|:c8208-6967|1655|g__Actinomyces.s__Actinomyces_naeslundii|UniRef90_J3JJJ5|UniRef50_F2UX76,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces sp. oral taxon 414,1242,3,2.7.13.3,2.4154589371980677
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root,270,1,0.0.0.0,3.7037037037037033
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria,270,2,0.0.0.0,7.4074074074074066
gi|545348068|ref|NZ_KE952107.1|:c16016-13452|712118|g__Actinomyces.s__Actinomyces_sp_oral_taxon_172|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,2565,1,0.0.0.0,0.38986354775828463
gi|343523365|ref|NZ_AFUR01000006.1|:113925-115292|712119|g__Actinomyces.s__Actinomyces_sp_oral_taxon_175|UniRef90_F9PMM0|UniRef50_B8CN82,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,1368,1,0.0.0.0,0.7309941520467835
gi|483353853|ref|NZ_KB903306.1|:c109744-108467|113565|g__Actinoplanes.s__Actinoplanes_globisporus|UniRef90_UPI0003678ACF|UniRef50_P9WFS0,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria,1278,2,0.0.0.0,1.5649452269170578
gi|421495488|ref|NZ_ALJZ02000023.1|:1979-5131|651|g__Aeromonas.s__Aeromonas_media|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia solanacearum,3153,2,2.7.13.3,0.6343165239454488
gi|544708438|ref|NZ_ARYZ01000011.1|:c61537-60479|645|g__Aeromonas.s__Aeromonas_salmonicida|UniRef90_A4SKF0|UniRef50_A4SKF0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas salmonicida,1059,2,0.0.0.0,1.8885741265344667
gi|330827700|ref|NC_015424.1|:1915704-1917371|654|g__Aeromonas.s__Aeromonas_veronii|UniRef90_unknown|UniRef50_A0A023S6G0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii,1668,1,0.0.0.0,0.5995203836930456
gi|484037024|ref|NZ_CAJQ01000022.1|:c98019-96391|151414|g__Afipia.s__Afipia_birgiae|UniRef90_F7QJR9|UniRef50_A7HR89,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium diazoefficiens,1629,2,0.0.0.0,1.2277470841006752
gi|448879099|ref|NZ_KB375283.1|:811266-814235|56946|g__Afipia.s__Afipia_broomeae|UniRef90_unknown|UniRef50_A0A024K810,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,2970,2,0.0.0.0,0.6734006734006733
gi|448879099|ref|NZ_KB375283.1|:c1461148-1460030|56946|g__Afipia.s__Afipia_broomeae|UniRef90_K8P7K9|UniRef50_K2IZ85,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Devosia;s_Devosia sp. H5989,1119,1,0.0.0.0,0.8936550491510277
gi|448879099|ref|NZ_KB375283.1|:c1445887-1444727|56946|g__Afipia.s__Afipia_broomeae|UniRef90_K8P4J0|UniRef50_E6VPU5,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Devosia;s_Devosia sp. H5989,1161,1,0.0.0.0,0.8613264427217915
gi|448879102|ref|NZ_KB375281.1|:961898-962674|1034|g__Afipia.s__Afipia_clevelandensis|UniRef90_F7QMU7|UniRef50_Q89LF5,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium sp. BTAi1,777,11,0.0.0.0,14.157014157014157
gi|448879102|ref|NZ_KB375281.1|:961898-962674|1034|g__Afipia.s__Afipia_clevelandensis|UniRef90_F7QMU7|UniRef50_Q89LF5,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium,777,2,0.0.0.0,2.574002574002574
gi|448879102|ref|NZ_KB375281.1|:c1084856-1083444|1034|g__Afipia.s__Afipia_clevelandensis|UniRef90_F7QN47|UniRef50_Q137D2,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales,1413,5,0.0.0.0,3.538570417551309
gi|448879102|ref|NZ_KB375281.1|:3899845-3901920|1034|g__Afipia.s__Afipia_clevelandensis|UniRef90_unknown|UniRef50_B6IP71,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Brucellaceae;g_Ochrobactrum;s_Ochrobactrum anthropi,2076,3,0.0.0.0,1.4450867052023122
gi|299134517|ref|NZ_ADVZ01000004.1|:180211-181140|666684|g__Afipia.s__Afipia_sp_1NLS2|UniRef90_Q1QIK1|UniRef50_B1Y7P3,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Rhodopseudomonas;s_Rhodopseudomonas palustris,930,1,6.1.1.14,1.075268817204301
gi|408377850|ref|NZ_ALJF01000008.1|:11617-13026|147266|g__Agrobacterium.s__Agrobacterium_albertimagni|UniRef90_K2PEX4|UniRef50_B8H096,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium;s_Agrobacterium sp. RAC06,1410,5,6.3.2.9,3.546099290780142
gi|159184118|ref|NC_003062.2|:c1931334-1927198|1176649|g__Agrobacterium.s__Agrobacterium_fabrum|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae,4137,23,2.7.7.6,5.559584239787286
gi|159184118|ref|NC_003062.2|:c1931334-1927198|1176649|g__Agrobacterium.s__Agrobacterium_fabrum|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium,4137,3,2.7.7.6,0.7251631617113852
gi|335038092|ref|NZ_AECL01000082.1|:5163-9299|82789|g__Agrobacterium.s__Agrobacterium_sp_ATCC_31749|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae,4137,18,2.7.7.6,4.350978970268311
gi|335038092|ref|NZ_AECL01000082.1|:5163-9299|82789|g__Agrobacterium.s__Agrobacterium_sp_ATCC_31749|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium,4137,8,2.7.7.6,1.9337684312303605
gi|222084201|ref|NC_011985.1|:c482907-482224|358|g__Agrobacterium.s__Agrobacterium_tumefaciens|UniRef90_B9J7S0|UniRef50_B8IBZ8,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales,684,1,0.0.0.0,1.461988304093567
gi|417859254|ref|NZ_AFSD01000002.1|:973162-973941|358|g__Agrobacterium.s__Agrobacterium_tumefaciens|UniRef90_Q7CZH7|UniRef50_B9JVK6,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium,780,1,0.0.0.0,1.282051282051282
gi|222080781|ref|NC_011983.1|:1433526-1434818|358|g__Agrobacterium.s__Agrobacterium_tumefaciens|UniRef90_B9JIX6|UniRef50_Q92S14,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Rhizobium;s_Rhizobium tropici,1293,1,0.0.0.0,0.7733952049497294
gi|222084201|ref|NC_011985.1|:41505-43115|358|g__Agrobacterium.s__Agrobacterium_tumefaciens|UniRef90_B9JG59|UniRef50_P43085,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Brucellaceae;g_Brucella,1611,1,4.1.1.49,0.6207324643078833
