GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|262409781|ref|NZ_GG705192.1|:689-976|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A5ZLI2|UniRef50_A5ZLI2,unclassified,288,19034,0.0.0.0,66090.27777777778
gi|522837962|ref|NZ_KE159568.1|:1491619-1492092|1235790|g__Eubacterium.s__Eubacterium_sp_14_2|UniRef90_UPI0003B2F08F|UniRef50_R9J2S6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,474,2418,0.0.0.0,5101.265822784811
gi|262384936|ref|NZ_GG705172.1|:15-245|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_W1I8G9|UniRef50_W1I8G9,root,231,914,0.0.0.0,3956.7099567099567
gi|211596838|ref|NZ_DS264292.1|:35-379|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV6|UniRef50_G7ZHM8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,345,1254,0.0.0.0,3634.7826086956525
gi|211596839|ref|NZ_DS264293.1|:c2400-2254|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYU6|UniRef50_A5ZYU6,unclassified,147,481,0.0.0.0,3272.108843537415
gi|409167254|ref|NZ_AJKI01000039.1|:1-194|989|g__Marinilabilia.s__Marinilabilia_salmonicolor|UniRef90_UPI00029B0A81|UniRef50_UPI00029B0A81,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,194,535,0.0.0.0,2757.7319587628867
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Selenomonas;s_Selenomonas ruminantium,147,364,0.0.0.0,2476.190476190476
gi|294934493|ref|XM_002781067.1||31276|g__Perkinsus.s__Perkinsus_marinus|UniRef90_C5KRI5|UniRef50_K1Q8Y0,unclassified,207,414,0.0.0.0,2000.0
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,144,284,0.0.0.0,1972.2222222222224
gi|498503065|ref|NZ_KB822571.1|:c4136914-4136804|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R5D872|UniRef50_R5D872,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,111,176,0.0.0.0,1585.5855855855855
gi|262384219|ref|NZ_GG705152.1|:c7129-6842|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_A6L8X7|UniRef50_A6L8X7,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,288,449,0.0.0.0,1559.0277777777778
gi|422868958|ref|NZ_GL884071.1|:108-377|1351|g__Enterococcus.s__Enterococcus_faecalis|UniRef90_F3R5J3|UniRef50_M1Y8K3,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,270,399,0.0.0.0,1477.7777777777776
gi|294877147|ref|XM_002767865.1||31276|g__Perkinsus.s__Perkinsus_marinus|UniRef90_C5LRL4|UniRef50_L1IHC2,unclassified,288,421,0.0.0.0,1461.8055555555557
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,unclassified,147,209,0.0.0.0,1421.7687074829932
gi|508605261|ref|NC_019425.2|:3352812-3353144|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EDY4|UniRef50_F2M801,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus,333,427,0.0.0.0,1282.2822822822823
gi|211596808|ref|NZ_DS264262.1|:3292-3495|39496|g__Eubacterium.s__Eubacterium_ventriosum|UniRef90_A5Z326|UniRef50_A5Z326,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,204,249,0.0.0.0,1220.5882352941178
gi|498503065|ref|NZ_KB822571.1|:1233486-1233794|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZZY7|UniRef50_Q8A9N6,unclassified,309,339,0.0.0.0,1097.0873786407767
gi|367034625|ref|XM_003666547.1||78579|g__Myceliophthora.s__Myceliophthora_thermophila|UniRef90_G2QP29|UniRef50_G2QP29,unclassified,432,460,0.0.0.0,1064.8148148148148
gi|367047614|ref|XM_003654139.1||35720|g__Thielavia.s__Thielavia_terrestris|UniRef90_G2R7E2|UniRef50_G2QP29,unclassified,483,498,0.0.0.0,1031.055900621118
gi|211596893|ref|NZ_DS264347.1|:81254-81484|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR94|UniRef50_D6SFJ7,unclassified,231,231,0.0.0.0,1000.0
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,unclassified,165,157,0.0.0.0,951.5151515151515
gi|490136654|ref|NZ_KB822566.1|:243549-243785|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZDX1|UniRef50_N1ZDX1,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Leuconostocaceae;g_Weissella,237,205,0.0.0.0,864.9789029535865
gi|422868958|ref|NZ_GL884071.1|:108-377|1351|g__Enterococcus.s__Enterococcus_faecalis|UniRef90_F3R5J3|UniRef50_M1Y8K3,unclassified,270,219,0.0.0.0,811.1111111111111
gi|410101287|ref|NZ_JH976473.1|:420606-421040|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WQ56|UniRef50_F4KNP0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,435,349,0.0.0.0,802.2988505747127
gi|211596885|ref|NZ_DS264339.1|:4513-4842|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM3|UniRef50_L0CZD0,root;k_Bacteria,330,245,0.0.0.0,742.4242424242424
gi|211596838|ref|NZ_DS264292.1|:35-379|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV6|UniRef50_G7ZHM8,root;k_Bacteria,345,255,0.0.0.0,739.1304347826087
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,147,107,0.0.0.0,727.8911564625851
gi|498503065|ref|NZ_KB822571.1|:84182-84589|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZYB1|UniRef50_R5DG57,unclassified,408,295,0.0.0.0,723.0392156862746
gi|153883178|ref|NZ_ABDQ01000010.1|:c97412-97131|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1BC32|UniRef50_B1BC32,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,282,184,0.0.0.0,652.4822695035461
gi|223955954|ref|NZ_DS990260.1|:442945-443118|457421|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA|UniRef90_C5EJF5|UniRef50_C5EJF5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,174,109,0.0.0.0,626.4367816091955
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria,147,90,0.0.0.0,612.2448979591837
gi|211596839|ref|NZ_DS264293.1|:c1850-1728|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A8ST13|UniRef50_C7T763,unclassified,123,75,0.0.0.0,609.7560975609756
gi|153883142|ref|NZ_ABDP01000045.1|:c252-1|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1QRR6|UniRef50_M1Y8K3,unclassified,252,153,0.0.0.0,607.1428571428571
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,unclassified,144,87,0.0.0.0,604.1666666666667
gi|410101285|ref|NZ_JH976471.1|:587301-587531|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YXU8|UniRef50_R6JIJ7,unclassified,231,139,0.0.0.0,601.7316017316017
gi|224514971|ref|NZ_DS499684.1|:c1568-1380|29347|g__Clostridium.s__Clostridium_scindens|UniRef90_A7B8Q0|UniRef50_B0A7G6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,189,112,0.0.0.0,592.5925925925926
gi|68011382|ref|XM_666024.1||5821|g__Plasmodium.s__Plasmodium_berghei|UniRef90_Q4YFS1|UniRef50_Q4YFS1,unclassified,83,49,0.0.0.0,590.3614457831325
gi|490136654|ref|NZ_KB822566.1|:760340-760842|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZGS6|UniRef50_N1ZGS6,unclassified,503,278,0.0.0.0,552.6838966202783
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,root;k_Bacteria,144,78,0.0.0.0,541.6666666666667
gi|211596853|ref|NZ_DS264307.1|:c100039-99440|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM1|UniRef50_A5KL06,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,600,320,0.0.0.0,533.3333333333334
gi|224104202|ref|NZ_DS499552.1|:c3948-3739|261299|g__Peptostreptococcaceae_noname.s__Clostridium_bartlettii|UniRef90_B0A7F1|UniRef50_A7BNW4,root,210,110,0.0.0.0,523.8095238095239
gi|211596838|ref|NZ_DS264292.1|:798-950|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV3|UniRef50_B0NER2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,153,80,0.0.0.0,522.875816993464
gi|519790642|gb|ATNB01000076.1|:171-217|83554|g__Chlamydia.s__Chlamydia_psittaci|UniRef90_L8HMG2|UniRef50_L8HMG2,unclassified,47,22,0.0.0.0,468.0851063829787
gi|522837953|ref|NZ_KE159519.1|:c560885-560709|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_N2AUT8|UniRef50_N2AUT8,unclassified,177,82,0.0.0.0,463.2768361581921
gi|498503065|ref|NZ_KB822571.1|:c539537-538704|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_N2BCN4|UniRef50_K5ZNF1,unclassified,834,384,0.0.0.0,460.43165467625903
gi|146386240|ref|NZ_AAYG02000024.1|:19088-19276|33038|g__Blautia.s__Ruminococcus_gnavus|UniRef90_A7B8Q0|UniRef50_B0A7G6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,189,85,0.0.0.0,449.7354497354497
gi|223667651|ref|NZ_DS264471.1|:c3968-3819|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP9|UniRef50_A5ZBN0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Marinilabiliales;f_Marinilabiliaceae;g_Anaerophaga;s_uncultured Anaerophaga sp.,150,67,0.0.0.0,446.6666666666667
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,249,107,0.0.0.0,429.718875502008
gi|211596924|ref|NZ_DS264378.1|:c6613-6362|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,252,101,0.0.0.0,400.7936507936508
gi|223955959|ref|NZ_DS990265.1|:8954-9223|457421|g__Clostridiales_noname.s__Clostridiales_bacterium_1_7_47FAA|UniRef90_C5EW81|UniRef50_C5EW81,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,270,108,0.0.0.0,400.0
gi|211596893|ref|NZ_DS264347.1|:77319-77549|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5Z2Z6|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,231,91,0.0.0.0,393.93939393939394
gi|260665538|ref|NZ_GG704690.1|:c1858-1730|109790|g__Lactobacillus.s__Lactobacillus_jensenii|UniRef90_D0DQQ2|UniRef50_D0DQQ2,unclassified,129,49,0.0.0.0,379.84496124031006
gi|522837956|ref|NZ_KE159522.1|:281254-282042|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZBK6|UniRef50_K5ZBK6,unclassified,789,297,0.0.0.0,376.42585551330797
gi|421452814|ref|NZ_ALIF01000006.1|:436729-437001|1304|g__Streptococcus.s__Streptococcus_salivarius|UniRef90_A4VYJ1|UniRef50_A4VYJ1,unclassified,273,101,0.0.0.0,369.9633699633699
gi|197920155|ref|NZ_AARX02000019.1|:c1267-1061|1639|g__Listeria.s__Listeria_monocytogenes|UniRef90_D4PZQ0|UniRef50_C7T763,unclassified,207,76,0.0.0.0,367.1497584541063
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Paludibacteraceae;g_Paludibacter;s_Paludibacter propionicigenes,147,52,0.0.0.0,353.74149659863946
gi|265758149|ref|NZ_GG705247.1|:4095-4304|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_D1KAJ3|UniRef50_D1KAJ3,unclassified,210,73,0.0.0.0,347.61904761904765
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,root,144,49,0.0.0.0,340.2777777777778
gi|146386240|ref|NZ_AAYG02000024.1|:c17782-17516|33038|g__Blautia.s__Ruminococcus_gnavus|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,267,88,0.0.0.0,329.5880149812734
gi|498503065|ref|NZ_KB822571.1|:4659611-4659811|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5Y2E2|UniRef50_R7J562,unclassified,201,65,0.0.0.0,323.3830845771144
gi|146386241|ref|NZ_AAYG02000025.1|:881-1111|33038|g__Blautia.s__Ruminococcus_gnavus|UniRef90_A7B5X1|UniRef50_C7T763,unclassified,231,72,0.0.0.0,311.68831168831167
gi|211596837|ref|NZ_DS264291.1|:c2270-2076|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYU0|UniRef50_B3D9T0,unclassified,195,60,0.0.0.0,307.6923076923077
gi|424726514|ref|NZ_JH805058.1|:c495-304|1351|g__Enterococcus.s__Enterococcus_faecalis|UniRef90_V5XSX7|UniRef50_V5XSX7,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus,192,59,0.0.0.0,307.2916666666667
gi|224581104|ref|NZ_GG657754.1|:c6316704-6316510|998084|g__Streptomyces.s__Streptomyces_himastatinicus|UniRef90_D9WK81|UniRef50_C1HUN9,unclassified,195,59,0.0.0.0,302.56410256410254
gi|522837958|ref|NZ_KE159524.1|:c87743-87555|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R6WSU5|UniRef50_R6IQK3,unclassified,189,56,0.0.0.0,296.2962962962963
gi|211596853|ref|NZ_DS264307.1|:c100039-99440|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM1|UniRef50_A5KL06,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,600,167,0.0.0.0,278.33333333333337
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,234,65,0.0.0.0,277.77777777777777
gi|225001177|ref|NZ_DS990168.1|:c3468-3184|46228|g__Ruminococcus.s__Ruminococcus_lactaris|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,285,78,0.0.0.0,273.68421052631584
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,root,165,45,0.0.0.0,272.7272727272727
gi|410101291|ref|NZ_JH976477.1|:2938-3126|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YXP7|UniRef50_K5YXP7,unclassified,189,49,0.0.0.0,259.25925925925924
gi|396475788|ref|XM_003839823.1||5022|g__Leptosphaeria.s__Leptosphaeria_maculans|UniRef90_E4ZYE7|UniRef50_E4ZYE7,unclassified,222,56,0.0.0.0,252.25225225225225
gi|260665538|ref|NZ_GG704690.1|:c1858-1730|109790|g__Lactobacillus.s__Lactobacillus_jensenii|UniRef90_D0DQQ2|UniRef50_D0DQQ2,root;k_Bacteria,129,32,0.0.0.0,248.06201550387595
gi|490138457|ref|NZ_KB822569.1|:c119204-118410|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1Z1T6|UniRef50_P97089,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,795,195,0.0.0.0,245.2830188679245
gi|490150767|ref|NZ_KB822405.1|:c365564-365346|1622|g__Lactobacillus.s__Lactobacillus_murinus|UniRef90_N1ZJW4|UniRef50_N1ZJW4,unclassified,219,52,0.0.0.0,237.44292237442923
gi|522837953|ref|NZ_KE159519.1|:776419-776715|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5YMS5|UniRef50_R5DKF4,unclassified,297,67,0.0.0.0,225.5892255892256
gi|211596839|ref|NZ_DS264293.1|:c2400-2254|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYU6|UniRef50_A5ZYU6,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,147,33,0.0.0.0,224.48979591836735
gi|498503065|ref|NZ_KB822571.1|:c4376667-4376185|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZF52|UniRef50_A6L881,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,483,108,1.16.3.2,223.6024844720497
gi|522837947|ref|NZ_KE159513.1|:c2226204-2225959|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_R5DHZ7|UniRef50_E6ST97,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,246,54,0.0.0.0,219.51219512195124
gi|410101291|ref|NZ_JH976477.1|:234450-234620|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZUT6|UniRef50_P14073,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides helcogenes,171,36,0.0.0.0,210.52631578947367
gi|490134789|ref|NZ_KB822565.1|:c747526-747329|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZMT4|UniRef50_H5XV78,unclassified,198,41,0.0.0.0,207.07070707070707
gi|490134789|ref|NZ_KB822565.1|:c747204-745552|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZRS8|UniRef50_U2CY95,unclassified,1653,339,0.0.0.0,205.08166969147004
gi|224515034|ref|NZ_DS547007.1|:27-311|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_B0NX14|UniRef50_B0NX14,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,285,58,0.0.0.0,203.50877192982458
gi|490136654|ref|NZ_KB822566.1|:800201-800866|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1Z6T7|UniRef50_N1Z6T7,unclassified,666,134,0.0.0.0,201.2012012012012
gi|153883178|ref|NZ_ABDQ01000010.1|:c97412-97131|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1BC32|UniRef50_B1BC32,unclassified,282,56,0.0.0.0,198.58156028368796
gi|498503065|ref|NZ_KB822571.1|:c3859746-3859009|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_R6X5K9|UniRef50_E4TQQ9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,738,144,0.0.0.0,195.1219512195122
gi|498503065|ref|NZ_KB822571.1|:c3862599-3861910|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZU03|UniRef50_D6D8P2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella sp. oral taxon HOT-286,690,134,0.0.0.0,194.20289855072465
gi|283767251|ref|NZ_GG730325.1|:121-312|411486|g__Clostridium.s__Clostridium_sp_M62_1|UniRef90_A5KRI2|UniRef50_S5CLP4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,192,37,0.0.0.0,192.70833333333334
gi|520954241|ref|NZ_KE360558.1|:597-731|83554|g__Chlamydia.s__Chlamydia_psittaci|UniRef90_Q29R63|UniRef50_Q29R63,unclassified,135,26,0.0.0.0,192.59259259259258
gi|224515056|ref|NZ_DS547029.1|:c240-100|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_B0P4F9|UniRef50_B0P4F9,unclassified,141,27,0.0.0.0,191.48936170212767
gi|483984517|ref|NZ_KB892637.1|:c24006-23650|33035|g__Blautia.s__Blautia_producta|UniRef90_UPI000382EC9A|UniRef50_R5LXI6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,357,68,0.0.0.0,190.47619047619048
gi|68065048|ref|XM_669416.1||5821|g__Plasmodium.s__Plasmodium_berghei|UniRef90_Q4YK75|UniRef50_M3XUV9,unclassified,243,45,0.0.0.0,185.1851851851852
gi|410105718|ref|NZ_JH976500.1|:541538-541690|658661|g__Parabacteroides.s__Parabacteroides_sp_D25|UniRef90_R5DP08|UniRef50_F4C4U2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,153,28,0.0.0.0,183.00653594771242
gi|223667804|ref|NZ_DS480315.1|:1547-1759|411489|g__Clostridium.s__Clostridium_sp_L2_50|UniRef90_A7VEU0|UniRef50_C7T763,unclassified,213,38,0.0.0.0,178.4037558685446
