GeneID,Taxonomy,Length,Reads,EC#
gi|422320815|ref|NZ_GL636045.1|:c59016-58090|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_E3HPD5|UniRef50_A7K0S1,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfovibrionales;f_Desulfovibrionaceae;g_Desulfovibrio;s_Desulfovibrio vulgaris,927,1,0.0.0.0
gi|153002879|ref|NC_009675.1|:3437417-3440749|404589|g__Anaeromyxobacter.s__Anaeromyxobacter_sp_Fw109_5|UniRef90_A7HEL6|UniRef50_Q2IDV8,root;k_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Thermales;f_Thermaceae;g_Meiothermus;s_Meiothermus silvanus,3333,1,2.3.3.9
gi|224021139|ref|NZ_DS499726.1|:5536-5781|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MC26|UniRef50_A6BKX9,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,246,1,0.0.0.0
gi|224021139|ref|NZ_DS499726.1|:5536-5781|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MC26|UniRef50_A6BKX9,root;k_Bacteria,246,1,0.0.0.0
gi|224021134|ref|NZ_DS499721.1|:2838-3002|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_E5VVT2|UniRef50_E5VVT2,root;k_Bacteria,165,1,0.0.0.0
gi|224021139|ref|NZ_DS499726.1|:4788-4928|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI64|UniRef50_B0MI64,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,141,1,0.0.0.0
gi|224021139|ref|NZ_DS499726.1|:4788-4928|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI64|UniRef50_B0MI64,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Cellulosilyticum;s_Cellulosilyticum lentocellum,141,1,0.0.0.0
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,393,3,0.0.0.0
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria,393,4,0.0.0.0
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root,375,48,0.0.0.0
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,375,32,0.0.0.0
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria,375,3,0.0.0.0
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,375,1,0.0.0.0
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,403,1,0.0.0.0
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,403,1,0.0.0.0
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root,403,1,0.0.0.0
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,403,1,0.0.0.0
gi|224021146|ref|NZ_DS499733.1|:253875-254885|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_R5UY17|UniRef50_R7KL80,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Ruminococcus;s_Ruminococcus bicirculans,1011,1,0.0.0.0
gi|319430487|ref|NZ_GL629689.1|:c427785-426865|665937|g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA|UniRef90_D4LJ55|UniRef50_C9XWY4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,921,2,0.0.0.0
gi|224021159|ref|NZ_DS544168.1|:c1324-812|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_B0P655|UniRef50_B0TIE7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,513,1,0.0.0.0
gi|514231951|ref|NZ_KE159676.1|:c278743-278237|1235835|g__Anaerotruncus.s__Anaerotruncus_sp_G3_2012|UniRef90_C9XSM4|UniRef50_C9XSM4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,507,1,0.0.0.0
gi|484020827|ref|NZ_KB895541.1|:652322-654076|1157944|g__Arthrobacter.s__Arthrobacter_sp_131MFCol6_1|UniRef90_unknown|UniRef50_W8HIR7,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae;g_Rhodococcus,1755,1,0.0.0.0
gi|315497051|ref|NC_014816.1|:1373845-1376082|78587|g__Asticcacaulis.s__Asticcacaulis_excentricus|UniRef90_E8RNR8|UniRef50_E8RNR8,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Asticcacaulis;s_Asticcacaulis excentricus,2238,1,0.0.0.0
gi|374290655|ref|NC_016622.1|:c639216-637777|193|g__Azospirillum.s__Azospirillum_lipoferum|UniRef90_D3NSM9|UniRef50_P19066,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Confluentimicrobium;s_Confluentimicrobium sp. EMB200-NS6,1440,1,1.18.6.1
gi|410460048|ref|NZ_AJLR01000113.1|:c31502-31311|1454|g__Bacillus.s__Bacillus_azotoformans|UniRef90_K6C0Y9|UniRef50_K6C0Y9,root;k_Bacteria;p_Proteobacteria,192,1,0.0.0.0
gi|423680240|ref|NZ_JH636050.1|:c200123-199659|1402|g__Bacillus.s__Bacillus_licheniformis|UniRef90_I0UMX8|UniRef50_I0UMX8,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Bacillus;s_Bacillus smithii,465,1,0.0.0.0
gi|423680240|ref|NZ_JH636050.1|:c200123-199659|1402|g__Bacillus.s__Bacillus_licheniformis|UniRef90_I0UMX8|UniRef50_I0UMX8,root;k_Bacteria,465,1,0.0.0.0
gi|423680240|ref|NZ_JH636050.1|:c3277061-3276723|1402|g__Bacillus.s__Bacillus_licheniformis|UniRef90_L0CZD0|UniRef50_L0CZD0,root;k_Bacteria,339,2,0.0.0.0
gi|483722481|ref|NZ_KB889752.1|:3539850-3540188|1132442|g__Bacillus.s__Bacillus_sp_37MA|UniRef90_L0CZD0|UniRef50_L0CZD0,root;k_Bacteria,339,1,0.0.0.0
gi|483722481|ref|NZ_KB889752.1|:3539492-3539731|1132442|g__Bacillus.s__Bacillus_sp_37MA|UniRef90_UPI0003671735|UniRef50_UPI0003671735,root;k_Bacteria,240,1,0.0.0.0
gi|319649213|ref|NZ_GL635726.1|:2017156-2017473|665958|g__Bacillus.s__Bacillus_sp_BT1B_CT2|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes,318,1,0.0.0.0
gi|484109409|ref|NZ_ANOK01000007.1|:154-318|1191699|g__Bacillus.s__Bacillus_sp_ZYK|UniRef90_UPI000380054C|UniRef50_K0XPN6,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Bacillaceae;g_Fictibacillus;s_Fictibacillus arsenicus,165,1,0.0.0.0
gi|485455479|ref|NZ_JH600093.1|:170-508|1423|g__Bacillus.s__Bacillus_subtilis|UniRef90_L0CZD0|UniRef50_L0CZD0,root;k_Bacteria,339,2,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Paludibacteraceae;g_Paludibacter;s_Paludibacter propionicigenes,147,52,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Firmicutes;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Selenomonas;s_Selenomonas ruminantium,147,364,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,147,107,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria,147,90,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptococcaceae;g_Desulfitobacterium;s_Desulfitobacterium metallireducens,147,2,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales,147,1,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root,147,2,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae,147,2,0.0.0.0
gi|134301165|ref|NZ_AAVM02000008.1|:c188531-188073|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_unknown|UniRef50_V8CH43,root;k_Bacteria,459,1,0.0.0.0
gi|134301164|ref|NZ_AAVM02000007.1|:254982-255134|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZJT5|UniRef50_A5ZJT5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,153,1,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root,231,8,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,231,2,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,231,2,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,234,65,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,234,33,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root,234,37,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria,234,15,0.0.0.0
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,234,8,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria,462,10153,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root,462,11,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Spirochaetales;f_;g_;s_uncultured spirochete,462,1,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,462,7,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Marinilabiliales;f_Prolixibacteraceae;g_Sunxiuqinia;s_uncultured Sunxiuqinia sp.,462,1,0.0.0.0
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,462,5,0.0.0.0
gi|423220136|ref|NZ_JH724080.1|:274883-276706|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,1824,3,0.0.0.0
gi|223954455|ref|NZ_DS981451.1|:c981-523|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_V8CH43,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas;s_Porphyromonas gingivalis,459,1,0.0.0.0
gi|223954455|ref|NZ_DS981451.1|:c981-523|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_V8CH43,root,459,1,0.0.0.0
gi|223954461|ref|NZ_DS981457.1|:68435-68557|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_A0A016EQF0|UniRef50_A0A016EQF0,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,123,1,0.0.0.0
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria,396,3,0.0.0.0
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Tyzzerella,396,2,0.0.0.0
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root,396,1,0.0.0.0
gi|423247421|ref|NZ_JH724140.1|:65910-67565|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_D4VKI7|UniRef50_R6D207,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides vulgatus,1656,1,0.0.0.0
gi|423227774|ref|NZ_JH724110.1|:1045369-1046211|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_Q64WJ6|UniRef50_Q64WJ6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,843,1,0.0.0.0
gi|423245752|ref|NZ_JH724135.1|:527538-528578|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_I8VWJ9|UniRef50_I8VWJ9,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides vulgatus,1041,1,0.0.0.0
gi|345651599|ref|NZ_JH114320.1|:627859-629682|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,1824,1,0.0.0.0
gi|223956307|ref|NZ_DS995509.1|:c652454-652236|28111|g__Bacteroides.s__Bacteroides_eggerthii|UniRef90_B7AF39|UniRef50_B7AF39,root,219,1,0.0.0.0
gi|482850008|ref|NZ_AKBZ01000007.1|:c103-1|338188|g__Bacteroides.s__Bacteroides_finegoldii|UniRef90_A5ZLI2|UniRef50_A5ZLI2,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,103,1,0.0.0.0
gi|375356399|ref|NC_016776.1|:2456162-2457985|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,1824,95,0.0.0.0
gi|375356399|ref|NC_016776.1|:2456162-2457985|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,1824,12,0.0.0.0
gi|224485492|ref|NZ_EQ973227.1|:4289-4585|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_unknown|UniRef50_A5ZLI2,root,297,1,0.0.0.0
gi|423266847|ref|NZ_JH724217.1|:c644534-644418|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_I9AUB9|UniRef50_I9AUB9,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,117,3,0.0.0.0
gi|423266847|ref|NZ_JH724217.1|:c644534-644418|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_I9AUB9|UniRef50_I9AUB9,root,117,1,0.0.0.0
gi|53711291|ref|NC_006347.1|:1587405-1587641|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_Q64WN4|UniRef50_Q64WN4,root,237,1,0.0.0.0
gi|172085029|ref|NZ_ABJL02000001.1|:1-220|329854|g__Bacteroides.s__Bacteroides_intestinalis|UniRef90_B3C522|UniRef50_B3C522,root,220,1,0.0.0.0
gi|223667736|ref|NZ_DS264556.1|:140860-141006|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQE8|UniRef50_D4VKV2,root;k_Bacteria,147,2,0.0.0.0
gi|223667736|ref|NZ_DS264556.1|:140860-141006|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQE8|UniRef50_D4VKV2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae,147,1,0.0.0.0
gi|223667736|ref|NZ_DS264556.1|:140860-141006|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQE8|UniRef50_D4VKV2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_;g_Candidatus Azobacteroides;s_Candidatus Azobacteroides pseudotrichonymphae,147,1,0.0.0.0
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria,189,28,0.0.0.0
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,189,3,0.0.0.0
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root,189,2,0.0.0.0
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae,189,3,0.0.0.0
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_;g_Candidatus Azobacteroides;s_Candidatus Azobacteroides pseudotrichonymphae,189,1,0.0.0.0
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_;f_;g_;s_uncultured delta proteobacterium,189,1,0.0.0.0
gi|223667734|ref|NZ_DS264554.1|:178885-179031|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQH0|UniRef50_H6R3P7,root,147,18,0.0.0.0
gi|293370939|ref|NZ_ADMO01000064.1|:c76375-75269|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_Q64WI5|UniRef50_Q64WI5,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides caecimuris,1107,1,0.0.0.0
