GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|311103224|ref|NC_014640.1|:c683893-680963|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_unknown|UniRef50_R4WT31,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,2931,1,1.17.4.1,0.34118048447628796
gi|407936729|ref|NC_018708.1|:1198325-1199911|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_K0I0W8|UniRef50_A9BVB1,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1587,1,0.0.0.0,0.630119722747322
gi|407936729|ref|NC_018708.1|:c1495435-1493498|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_unknown|UniRef50_A0A022GQ47,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1938,4,0.0.0.0,2.063983488132095
gi|407936729|ref|NC_018708.1|:c1495435-1493498|358220|g__Acidovorax.s__Acidovorax_sp_KKS102|UniRef90_unknown|UniRef50_A0A022GQ47,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. KKS102,1938,1,0.0.0.0,0.5159958720330238
gi|365093270|ref|NZ_AGTS01000100.1|:c165985-165053|512030|g__Acidovorax.s__Acidovorax_sp_NO_1|UniRef90_H0C197|UniRef50_Q93615,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Bordetella;s_Bordetella bronchiseptica,933,1,0.0.0.0,1.0718113612004287
gi|333070326|ref|NZ_GL891817.1|:480-608|470|g__Acinetobacter.s__Acinetobacter_baumannii|UniRef90_F5IGB6|UniRef50_F9RN42,root;k_Bacteria,129,1,0.0.0.0,7.751937984496124
gi|483370894|ref|NZ_AMJE01000028.1|:c35163-33892|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9BGL4|UniRef50_R4XYL7,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1272,1,0.0.0.0,0.7861635220125786
gi|262368201|ref|NZ_GG704964.1|:c700111-698891|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9CNV1|UniRef50_L0DFT8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1221,2,0.0.0.0,1.6380016380016378
gi|491126580|ref|NZ_KB849709.1|:48325-49848|40214|g__Acinetobacter.s__Acinetobacter_johnsonii|UniRef90_N9BD33|UniRef50_P45174,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1524,1,0.0.0.0,0.6561679790026247
gi|377684864|ref|NZ_CM001194.1|:3143144-3143485|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N8RWB8|UniRef50_N8RWB8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,342,1,0.0.0.0,2.923976608187134
gi|377684864|ref|NZ_CM001194.1|:c2263245-2261806|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9CWT4|UniRef50_Q6FCL3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1440,1,0.0.0.0,0.6944444444444444
gi|377684864|ref|NZ_CM001194.1|:1095285-1096505|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9CNV1|UniRef50_L0DFT8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1221,1,0.0.0.0,0.8190008190008189
gi|377684864|ref|NZ_CM001194.1|:1270436-1271503|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9CUV2|UniRef50_B0VT23,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1068,1,1.1.1.290,0.9363295880149812
gi|491365686|ref|NZ_KB850094.1|:1877198-1877370|1144661|g__Acinetobacter.s__Acinetobacter_sp_CIP_101934|UniRef90_N9NB51|UniRef50_L9U5B2,root,173,1,0.0.0.0,5.780346820809249
gi|491324618|ref|NZ_KB850046.1|:523557-524708|1144671|g__Acinetobacter.s__Acinetobacter_sp_CIP_53_82|UniRef90_N9FY44|UniRef50_D5BUP0,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Acinetobacter;s_Acinetobacter johnsonii,1152,1,0.0.0.0,0.8680555555555556
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,270,3,0.0.0.0,11.11111111111111
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root;k_Bacteria,270,3,0.0.0.0,11.11111111111111
gi|223667765|ref|NZ_DS264585.1|:1771-2040|1660|g__Actinomyces.s__Actinomyces_odontolyticus|UniRef90_A7B8Q3|UniRef50_Q57L44,root,270,1,0.0.0.0,3.7037037037037033
gi|551720130|ref|NZ_KI391969.1|:189181-191256|1656|g__Actinomyces.s__Actinomyces_viscosus|UniRef90_F2UXZ2|UniRef50_F9ECG4,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces,2076,2,0.0.0.0,0.9633911368015414
gi|484029672|ref|NZ_HE978636.1|:c225791-225000|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_E2SG84|UniRef50_A1SNL2,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Micrococcaceae;g_Micrococcus;s_Micrococcus luteus,792,1,0.0.0.0,1.2626262626262625
gi|334363864|ref|NZ_CACP01000073.1|:c8570-5262|648|g__Aeromonas.s__Aeromonas_caviae|UniRef90_A0A023RI50|UniRef50_A0A023RI50,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas,3309,1,0.0.0.0,0.30220610456331215
gi|544710417|ref|NZ_ARYZ01000076.1|:c5889-2581|645|g__Aeromonas.s__Aeromonas_salmonicida|UniRef90_A0A023RI50|UniRef50_A0A023RI50,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas,3309,1,0.0.0.0,0.30220610456331215
gi|418357308|ref|NZ_AGVO01000007.1|:c2007-1177|645|g__Aeromonas.s__Aeromonas_salmonicida|UniRef90_A0A023E4M2|UniRef50_F4D8E5,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas hydrophila,831,2,0.0.0.0,2.406738868832732
gi|423203809|ref|NZ_JH823256.1|:c1289164-1288853|654|g__Aeromonas.s__Aeromonas_veronii|UniRef90_F4DEM1|UniRef50_A4SSP3,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas veronii,312,1,0.0.0.0,3.2051282051282053
gi|484037248|ref|NZ_CAJQ01000073.1|:c80433-78376|151414|g__Afipia.s__Afipia_birgiae|UniRef90_unknown|UniRef50_B0T8P0,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria,2058,1,0.0.0.0,0.4859086491739553
gi|448879098|ref|NZ_KB375282.1|:29273-31261|56946|g__Afipia.s__Afipia_broomeae|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Rhodopseudomonas;s_Rhodopseudomonas palustris,1989,2,0.0.0.0,1.0055304172951232
gi|448879100|ref|NZ_KB375284.1|:c1006007-1002903|56946|g__Afipia.s__Afipia_broomeae|UniRef90_unknown|UniRef50_E6VQ40,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae;g_Devosia;s_Devosia sp. H5989,3105,1,0.0.0.0,0.322061191626409
gi|448879104|ref|NZ_KB375271.1|:c32859-31642|1035|g__Afipia.s__Afipia_felis|UniRef90_K8NEN6|UniRef50_G9AE51,root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae,1218,5,0.0.0.0,4.105090311986864
gi|551269035|ref|NZ_ATXF01000005.1|:760211-762247|279572|g__Agromyces.s__Agromyces_italicus|UniRef90_UPI0003B493CC|UniRef50_D5URD6,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Micrococcaceae;g_Arthrobacter;s_Arthrobacter sp. LS16,2037,1,0.0.0.0,0.4909180166912126
gi|89898822|ref|NC_007908.1|:1721630-1722841|192843|g__Albidiferax.s__Albidiferax_ferrireducens|UniRef90_Q21Y30|UniRef50_C7C7I3,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae,1212,1,0.0.0.0,0.8250825082508251
gi|407804644|ref|NZ_AJGP01000029.1|:3843-7982|1306787|g__Alcanivorax.s__Alcanivorax_pacificus|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria,4140,1,2.7.7.6,0.24154589371980678
gi|319760738|ref|NC_014910.1|:1701910-1702722|179636|g__Alicycliphilus.s__Alicycliphilus_denitrificans|UniRef90_E8TUX9|UniRef50_Q7WI59,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Alicycliphilus;s_Alicycliphilus denitrificans,813,1,0.0.0.0,1.2300123001230012
gi|330822653|ref|NC_015422.1|:3904920-3906479|179636|g__Alicycliphilus.s__Alicycliphilus_denitrificans|UniRef90_A1W4W6|UniRef50_A0KKZ8,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Delftia,1560,3,0.0.0.0,1.923076923076923
gi|224021138|ref|NZ_DS499725.1|:c3194-2895|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK1|UniRef50_B0MGK1,root,300,4,0.0.0.0,13.333333333333334
gi|224021136|ref|NZ_DS499723.1|:414-563|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_unknown|UniRef50_A8STH6,root,150,4,0.0.0.0,26.666666666666668
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria,393,3,0.0.0.0,7.633587786259541
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_;p_;c_;o_;f_;g;_;s_uncultured organism,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,393,2,0.0.0.0,5.089058524173028
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp. SY8519,393,1,0.0.0.0,2.544529262086514
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root,375,74,0.0.0.0,197.33333333333334
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,375,45,0.0.0.0,120.0
gi|224021136|ref|NZ_DS499723.1|:31-405|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGJ9|UniRef50_C4FHJ6,root;k_Bacteria,375,2,0.0.0.0,5.333333333333333
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root,403,3,0.0.0.0,7.444168734491314
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,403,29,0.0.0.0,71.96029776674938
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae,403,1,0.0.0.0,2.4813895781637716
gi|319430487|ref|NZ_GL629689.1|:c90417-90163|665937|g__Anaerostipes.s__Anaerostipes_sp_3_2_56FAA|UniRef90_R6QX17|UniRef50_C0Q9W4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,255,1,0.0.0.0,3.9215686274509802
gi|224021160|ref|NZ_DS544169.1|:2022-2339|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_UPI00015E6A9A|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,318,3,0.0.0.0,9.433962264150944
gi|224021160|ref|NZ_DS544169.1|:2022-2339|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_UPI00015E6A9A|UniRef50_F5XS62,root;k_Bacteria,318,1,0.0.0.0,3.144654088050314
gi|224021159|ref|NZ_DS544168.1|:c1324-812|169435|g__Anaerotruncus.s__Anaerotruncus_colihominis|UniRef90_B0P655|UniRef50_B0TIE7,root;k_Bacteria,513,2,0.0.0.0,3.898635477582846
gi|220910783|ref|NC_011886.1|:c1801453-1800071|85085|g__Arthrobacter.s__Arthrobacter_chlorophenolicus|UniRef90_A1R5K4|UniRef50_A1R5K4,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Micrococcaceae;g_Pseudarthrobacter;s_Pseudarthrobacter phenanthrenivorans,1383,1,0.0.0.0,0.7230657989877078
gi|484021168|ref|NZ_KB895783.1|:618543-619343|1151118|g__Arthrobacter.s__Arthrobacter_sp_161MFSha2_1|UniRef90_unknown|UniRef50_A3PYA8,root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Cedecea;s_Cedecea neteri,801,1,2.1.1.45,1.2484394506866416
gi|484021168|ref|NZ_KB895783.1|:c195058-193742|1151118|g__Arthrobacter.s__Arthrobacter_sp_161MFSha2_1|UniRef90_A1R7X0|UniRef50_P08499,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micrococcales;f_Micrococcaceae,1317,1,1.1.1.3,0.7593014426727411
gi|452701434|ref|NZ_AGQP01000039.1|:59210-59525|1392|g__Bacillus.s__Bacillus_anthracis|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,316,9,0.0.0.0,28.481012658227847
gi|423680240|ref|NZ_JH636050.1|:c200123-199659|1402|g__Bacillus.s__Bacillus_licheniformis|UniRef90_I0UMX8|UniRef50_I0UMX8,root;k_Bacteria,465,3,0.0.0.0,6.451612903225806
gi|423680240|ref|NZ_JH636050.1|:c3277061-3276723|1402|g__Bacillus.s__Bacillus_licheniformis|UniRef90_L0CZD0|UniRef50_L0CZD0,root;k_Bacteria,339,1,0.0.0.0,2.949852507374631
gi|319655125|ref|NZ_GL635750.1|:1020462-1020774|665959|g__Bacillus.s__Bacillus_sp_2_A_57_CT2|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,313,10,0.0.0.0,31.94888178913738
gi|319655125|ref|NZ_GL635750.1|:1020462-1020774|665959|g__Bacillus.s__Bacillus_sp_2_A_57_CT2|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Chlamydiae;c_Chlamydiia;o_Chlamydiales;f_Chlamydiaceae;g_Chlamydia;s_Chlamydia sp. 2742-308,313,1,0.0.0.0,3.194888178913738
gi|319655125|ref|NZ_GL635750.1|:1020462-1020774|665959|g__Bacillus.s__Bacillus_sp_2_A_57_CT2|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Mycoplasma;s_Mycoplasma hyopneumoniae,313,1,0.0.0.0,3.194888178913738
gi|319655141|ref|NZ_GL635766.1|:c59665-59470|665959|g__Bacillus.s__Bacillus_sp_2_A_57_CT2|UniRef90_A0A024PJX1|UniRef50_R9J2S6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,196,1,0.0.0.0,5.1020408163265305
gi|483722481|ref|NZ_KB889752.1|:3539850-3540188|1132442|g__Bacillus.s__Bacillus_sp_37MA|UniRef90_L0CZD0|UniRef50_L0CZD0,root;k_Bacteria,339,1,0.0.0.0,2.949852507374631
gi|484230482|ref|NZ_JH921522.1|:c103696-103409|1150157|g__Bacillus.s__Bacillus_sp_FJAT_13831|UniRef90_A0A024PJX1|UniRef50_R9J2S6,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus ruminis,288,1,0.0.0.0,3.4722222222222223
gi|484230482|ref|NZ_JH921522.1|:c103696-103409|1150157|g__Bacillus.s__Bacillus_sp_FJAT_13831|UniRef90_A0A024PJX1|UniRef50_R9J2S6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,288,1,0.0.0.0,3.4722222222222223
gi|484030257|ref|NZ_HE978527.1|:147-464|1287657|g__Bacillus.s__Bacillus_sp_JC63|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,318,4,0.0.0.0,12.578616352201257
gi|134301165|ref|NZ_AAVM02000008.1|:c188531-188073|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_unknown|UniRef50_V8CH43,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,459,1,0.0.0.0,2.178649237472767
gi|134301165|ref|NZ_AAVM02000008.1|:c188531-188073|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_unknown|UniRef50_V8CH43,root,459,1,0.0.0.0,2.178649237472767
gi|134301165|ref|NZ_AAVM02000008.1|:c188531-188073|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_unknown|UniRef50_V8CH43,root;k_Bacteria,459,1,0.0.0.0,2.178649237472767
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root,231,4,0.0.0.0,17.316017316017316
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria,231,1,0.0.0.0,4.329004329004329
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root,234,2,0.0.0.0,8.547008547008547
