GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|505484991|ref|NZ_BANP01000021.1|:43192-44874|1268622|g__Acidovorax.s__Acidovorax_sp_MR_S7|UniRef90_B9MBD2|UniRef50_Q7W0K0,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Hydrogenophaga,1683,1,6.1.1.19,0.5941770647653001
gi|484030257|ref|NZ_HE978527.1|:147-464|1287657|g__Bacillus.s__Bacillus_sp_JC63|UniRef90_K8EDZ7|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,318,4,0.0.0.0,12.578616352201257
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Paludibacteraceae;g_Paludibacter;s_Paludibacter propionicigenes,147,19,0.0.0.0,129.2517006802721
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root,147,2,0.0.0.0,13.60544217687075
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria,147,2,0.0.0.0,13.60544217687075
gi|134301162|ref|NZ_AAVM02000005.1|:256035-256181|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZBN1|UniRef50_A5ZBN1,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Peptococcaceae;g_Desulfitobacterium;s_Desulfitobacterium metallireducens,147,1,0.0.0.0,6.802721088435375
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_;c_;o_;f_;g_;s_bacterium 28S114,231,1,0.0.0.0,4.329004329004329
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root,231,13,0.0.0.0,56.277056277056275
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_Bacteroidetes,231,1,0.0.0.0,4.329004329004329
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria,231,2,0.0.0.0,8.658008658008658
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,231,2,0.0.0.0,8.658008658008658
gi|134301162|ref|NZ_AAVM02000005.1|:c255981-255748|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZI73|UniRef50_A5ZI73,root,234,9,0.0.0.0,38.46153846153846
gi|134302804|ref|NZ_AAVM02000012.1|:c42230-41943|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI2|UniRef50_A5ZLI2,root,288,1,0.0.0.0,3.4722222222222223
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria,462,5,0.0.0.0,10.822510822510822
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root,462,21,0.0.0.0,45.45454545454545
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,462,10,0.0.0.0,21.645021645021643
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,462,2,0.0.0.0,4.329004329004329
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_uncultured Bacteroides sp.,462,1,0.0.0.0,2.1645021645021645
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured rumen bacterium,462,1,0.0.0.0,2.1645021645021645
gi|423220136|ref|NZ_JH724080.1|:274883-276706|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides,1824,1,0.0.0.0,0.5482456140350876
gi|423220136|ref|NZ_JH724080.1|:274883-276706|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,1824,1,0.0.0.0,0.5482456140350876
gi|223954455|ref|NZ_DS981451.1|:c981-523|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_V8CH43,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas;s_Porphyromonas gingivalis,459,2,0.0.0.0,4.357298474945534
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root,396,8,0.0.0.0,20.2020202020202
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria,396,8,0.0.0.0,20.2020202020202
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,396,4,0.0.0.0,10.1010101010101
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Spirochaetes;c_Spirochaetia;o_Brachyspirales;f_Brachyspiraceae;g_Brachyspira;s_Brachyspira hyodysenteriae,396,1,0.0.0.0,2.525252525252525
gi|423244793|ref|NZ_JH724134.1|:782287-782499|357276|g__Bacteroides.s__Bacteroides_dorei|UniRef90_I9FHV8|UniRef50_R6C381,root;k_Bacteria,213,1,0.0.0.0,4.694835680751174
gi|375356399|ref|NC_016776.1|:2456162-2457985|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides fragilis,1824,1,0.0.0.0,0.5482456140350876
gi|224485492|ref|NZ_EQ973227.1|:4834-4947|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_E4W3C5|UniRef50_E4W3C5,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured rumen bacterium,114,1,0.0.0.0,8.771929824561402
gi|423266847|ref|NZ_JH724217.1|:c644534-644418|817|g__Bacteroides.s__Bacteroides_fragilis|UniRef90_I9AUB9|UniRef50_I9AUB9,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,117,3,0.0.0.0,25.64102564102564
gi|223667736|ref|NZ_DS264556.1|:140860-141006|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQE8|UniRef50_D4VKV2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,147,2,0.0.0.0,13.60544217687075
gi|223667736|ref|NZ_DS264556.1|:140860-141006|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQE8|UniRef50_D4VKV2,root;k_Bacteria,147,6,0.0.0.0,40.816326530612244
gi|223667736|ref|NZ_DS264556.1|:140860-141006|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQE8|UniRef50_D4VKV2,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_;g_Candidatus Azobacteroides;s_Candidatus Azobacteroides pseudotrichonymphae,147,1,0.0.0.0,6.802721088435375
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria,189,30,0.0.0.0,158.73015873015873
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales,189,8,0.0.0.0,42.32804232804233
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium BD_contig03192,189,1,0.0.0.0,5.291005291005291
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root,189,2,0.0.0.0,10.582010582010582
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae,189,3,0.0.0.0,15.873015873015873
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Bacteroidetes;c_Cytophagia;o_Cytophagales;f_Hymenobacteraceae;g_Hymenobacter,189,1,0.0.0.0,5.291005291005291
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_;g_Candidatus Azobacteroides;s_Candidatus Azobacteroides pseudotrichonymphae,189,1,0.0.0.0,5.291005291005291
gi|223667760|ref|NZ_DS264580.1|:c47937-47749|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LYP6|UniRef50_A7LYP6,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_;f_;g_;s_uncultured delta proteobacterium,189,1,0.0.0.0,5.291005291005291
gi|223667734|ref|NZ_DS264554.1|:178885-179031|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQH0|UniRef50_H6R3P7,root,147,8,0.0.0.0,54.421768707483
gi|223667734|ref|NZ_DS264554.1|:178885-179031|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQH0|UniRef50_H6R3P7,root;k_Bacteria,147,9,0.0.0.0,61.22448979591837
gi|223667734|ref|NZ_DS264554.1|:178885-179031|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQH0|UniRef50_H6R3P7,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Flavobacteriaceae;g_Winogradskyella;s_Winogradskyella sp. PG-2,147,1,0.0.0.0,6.802721088435375
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root;k_Bacteria;p_Bacteroidetes;c_Flavobacteriia;o_Flavobacteriales;f_Cryomorphaceae;g_Owenweeksia;s_uncultured Owenweeksia sp.,447,1,0.0.0.0,2.237136465324385
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root;k_Bacteria,447,163,0.0.0.0,364.6532438478747
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root,447,10,0.0.0.0,22.371364653243848
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root;k_Bacteria;p_Bacteroidetes,447,1,0.0.0.0,2.237136465324385
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root;k_Bacteria;p_Proteobacteria;c_Deltaproteobacteria,447,1,0.0.0.0,2.237136465324385
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,447,2,0.0.0.0,4.47427293064877
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,447,1,0.0.0.0,2.237136465324385
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root;k_Bacteria;p_Bacteroidetes;c_Saprospiria;o_Saprospirales;f_Haliscomenobacteraceae;g_Haliscomenobacter;s_Haliscomenobacter hydrossis,447,1,0.0.0.0,2.237136465324385
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,root;k_Bacteria;p_Bacteroidetes;c_Chitinophagia;o_Chitinophagales;f_Chitinophagaceae;g_Niastella;s_Niastella koreensis,447,1,0.0.0.0,2.237136465324385
gi|265768566|ref|NZ_GG705218.1|:c1136-906|469587|g__Bacteroides.s__Bacteroides_sp_2_1_16|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,231,1,0.0.0.0,4.329004329004329
gi|265768566|ref|NZ_GG705218.1|:c1136-906|469587|g__Bacteroides.s__Bacteroides_sp_2_1_16|UniRef90_A7UXY7|UniRef50_D0TK99,root,231,3,0.0.0.0,12.987012987012987
gi|265768566|ref|NZ_GG705218.1|:c1136-906|469587|g__Bacteroides.s__Bacteroides_sp_2_1_16|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,231,1,0.0.0.0,4.329004329004329
gi|265768566|ref|NZ_GG705218.1|:c1136-906|469587|g__Bacteroides.s__Bacteroides_sp_2_1_16|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria,231,1,0.0.0.0,4.329004329004329
gi|265768566|ref|NZ_GG705218.1|:c1136-906|469587|g__Bacteroides.s__Bacteroides_sp_2_1_16|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides sp. 35AE31,231,1,0.0.0.0,4.329004329004329
gi|265768566|ref|NZ_GG705218.1|:c2532-2254|469587|g__Bacteroides.s__Bacteroides_sp_2_1_16|UniRef90_E4W3C3|UniRef50_D1JX84,root,279,3,0.0.0.0,10.75268817204301
gi|262409781|ref|NZ_GG705192.1|:25-255|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A7UXY7|UniRef50_D0TK99,root,231,8,0.0.0.0,34.63203463203463
gi|262409781|ref|NZ_GG705192.1|:25-255|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria,231,5,0.0.0.0,21.645021645021643
gi|262409781|ref|NZ_GG705192.1|:25-255|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,231,1,0.0.0.0,4.329004329004329
gi|262409781|ref|NZ_GG705192.1|:25-255|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes;s_uncultured Alistipes sp.,231,1,0.0.0.0,4.329004329004329
gi|262409781|ref|NZ_GG705192.1|:25-255|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,231,1,0.0.0.0,4.329004329004329
gi|262409781|ref|NZ_GG705192.1|:25-255|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A7UXY7|UniRef50_D0TK99,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Porphyromonadaceae;g_Porphyromonas;s_Porphyromonas gingivalis,231,1,0.0.0.0,4.329004329004329
gi|262409781|ref|NZ_GG705192.1|:689-976|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A5ZLI2|UniRef50_A5ZLI2,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,288,1,0.0.0.0,3.4722222222222223
gi|262409785|ref|NZ_GG705193.1|:363-821|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_unknown|UniRef50_V8CH43,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Ruminococcaceae;g_Mageeibacillus;s_Mageeibacillus indolicus,459,1,0.0.0.0,2.178649237472767
gi|262384219|ref|NZ_GG705152.1|:c7129-6842|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_A6L8X7|UniRef50_A6L8X7,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,288,324,0.0.0.0,1125.0
