Pathway,num_Ecs,tally,coverage,who
Pentose and glucuronate interconversions,67,3,4.47761194,both
Pentose and glucuronate interconversions,67,3,4.47761194,mpro
Pentose phosphate pathway,55,4,7.272727273,both
Pentose phosphate pathway,55,9,16.36363636,mpro
Peptidoglycan biosynthesis,19,1,5.263157895,both
Peptidoglycan biosynthesis,19,7,36.84210526,mpro
Phenazine biosynthesis,13,1,7.692307692,mpro
Phenylalanine metabolism,67,1,1.492537313,humann2
Phenylalanine metabolism,67,1,1.492537313,mpro
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,2,5.128205128,both
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,5,12.82051282,mpro
Phenylpropanoid biosynthesis,30,1,3.333333333,mpro
Phosphatidylinositol signaling system,29,2,6.896551724,mpro
Phosphonate and phosphinate metabolism,29,1,3.448275862,mpro
Phosphonate and phosphinate metabolism,29,1,3.448275862,both
Photosynthesis,3,1,33.33333333,both
Polyketide sugar unit biosynthesis,27,1,3.703703704,both
Porphyrin and chlorophyll metabolism,106,3,2.830188679,mpro
Porphyrin and chlorophyll metabolism,106,1,0.943396226,humann2
Propanoate metabolism,55,1,1.818181818,humann2
Propanoate metabolism,55,9,16.36363636,mpro
Purine metabolism,110,7,6.363636364,both
Purine metabolism,110,13,11.81818182,mpro
Pyrimidine metabolism,65,7,10.76923077,both
Pyrimidine metabolism,65,8,12.30769231,mpro
Pyruvate metabolism,67,12,17.91044776,mpro
Pyruvate metabolism,67,2,2.985074627,both
Pyruvate metabolism,67,1,1.492537313,humann2
Relaxin signaling pathway,1,1,100,mpro
Retinol metabolism,14,1,7.142857143,mpro
Riboflavin metabolism,28,1,3.571428571,humann2
Riboflavin metabolism,28,5,17.85714286,mpro
Selenocompound metabolism,18,3,16.66666667,mpro
Sphingolipid metabolism,27,3,11.11111111,mpro
Starch and sucrose metabolism,76,1,1.315789474,both
Starch and sucrose metabolism,76,8,10.52631579,mpro
Streptomycin biosynthesis,18,1,5.555555556,both
Streptomycin biosynthesis,18,3,16.66666667,mpro
Sulfur metabolism,50,1,2,humann2
Sulfur metabolism,50,3,6,mpro
Synthesis and degradation of ketone bodies,6,3,50,mpro
Taurine and hypotaurine metabolism,19,1,5.263157895,both
Taurine and hypotaurine metabolism,19,2,10.52631579,mpro
Terpenoid backbone biosynthesis,51,2,3.921568627,both
Terpenoid backbone biosynthesis,51,2,3.921568627,mpro
Thermogenesis,1,1,100,mpro
Thiamine metabolism,26,2,7.692307692,mpro
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,1,3.703703704,mpro
Tryptophan metabolism,60,3,5,mpro
Tyrosine metabolism,64,2,3.125,mpro
Ubiquinone and other terpenoid-quinone biosynthesis,40,1,2.5,mpro
Ubiquinone and other terpenoid-quinone biosynthesis,40,1,2.5,both
Ubiquinone and other terpenoid-quinone biosynthesis,40,1,2.5,humann2
"Valine, leucine and isoleucine biosynthesis",14,1,7.142857143,both
"Valine, leucine and isoleucine biosynthesis",14,4,28.57142857,mpro
"Valine, leucine and isoleucine degradation",36,1,2.777777778,humann2
"Valine, leucine and isoleucine degradation",36,5,13.88888889,mpro
Various types of N-glycan biosynthesis,23,1,4.347826087,mpro
Vitamin B6 metabolism,26,1,3.846153846,mpro
Vitamin B6 metabolism,26,2,7.692307692,both
Zeatin biosynthesis,10,1,10,both
alpha-Linolenic acid metabolism,12,1,8.333333333,mpro
beta-Alanine metabolism,37,1,2.702702703,both
mTOR signaling pathway,5,1,20,mpro
