GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|550260673|ref|NZ_KI440779.1|:146983-147156|1099853|g__Coprobacter.s__Coprobacter_fastidiosus|UniRef90_U5CR87|UniRef50_U5CR87,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides,174,7532,0.0.0.0,43287.356321839085
gi|357631984|ref|NZ_AFIE01000131.1|:1-367|1029823|g__Acinetobacter.s__Acinetobacter_sp_P8_3_8|UniRef90_UPI0002487685|UniRef50_UPI0002487685,unclassified,367,2038,0.0.0.0,5553.133514986376
gi|331640214|ref|NZ_GL890571.1|:c1035080-1035012|658088|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA|UniRef90_F3AKP7|UniRef50_F3AKP7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,69,293,0.0.0.0,4246.376811594203
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root,459,1777,0.0.0.0,3871.4596949891065
gi|522837947|ref|NZ_KE159513.1|:c283-1|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJR7|UniRef50_S0GJR7,unclassified,283,1038,0.0.0.0,3667.8445229681984
gi|211596839|ref|NZ_DS264293.1|:c2400-2254|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYU6|UniRef50_A5ZYU6,unclassified,147,521,0.0.0.0,3544.2176870748303
gi|354586036|ref|NZ_AGIP01000025.1|:1-225|228574|g__Paenibacillus.s__Paenibacillus_lactis|UniRef90_G4HPA0|UniRef50_G4HPA0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,225,790,0.0.0.0,3511.111111111111
gi|262384936|ref|NZ_GG705172.1|:15-245|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_W1I8G9|UniRef50_W1I8G9,root,231,680,0.0.0.0,2943.7229437229435
gi|522837947|ref|NZ_KE159513.1|:c283-1|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJR7|UniRef50_S0GJR7,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,283,776,0.0.0.0,2742.0494699646647
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,unclassified,459,1052,0.0.0.0,2291.9389978213508
gi|421452814|ref|NZ_ALIF01000006.1|:436729-437001|1304|g__Streptococcus.s__Streptococcus_salivarius|UniRef90_A4VYJ1|UniRef50_A4VYJ1,unclassified,273,613,0.0.0.0,2245.421245421245
gi|422868958|ref|NZ_GL884071.1|:108-377|1351|g__Enterococcus.s__Enterococcus_faecalis|UniRef90_F3R5J3|UniRef50_M1Y8K3,unclassified,270,520,0.0.0.0,1925.9259259259259
gi|223667726|ref|NZ_DS264546.1|:413308-413574|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,267,492,0.0.0.0,1842.696629213483
gi|211596870|ref|NZ_DS264324.1|:12966-13259|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYK6|UniRef50_A5ZYK6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,294,535,0.0.0.0,1819.7278911564626
gi|211596839|ref|NZ_DS264293.1|:c1850-1728|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A8ST13|UniRef50_C7T763,unclassified,123,209,0.0.0.0,1699.1869918699188
gi|331640218|ref|NZ_GL890575.1|:c187883-187789|658088|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_9_1_43BFAA|UniRef90_F3AQ13|UniRef50_F3AQ13,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,95,160,0.0.0.0,1684.2105263157894
gi|153883142|ref|NZ_ABDP01000045.1|:c252-1|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1QRR6|UniRef50_M1Y8K3,unclassified,252,419,0.0.0.0,1662.6984126984128
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,root,144,219,0.0.0.0,1520.8333333333335
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,root,165,243,0.0.0.0,1472.7272727272727
gi|522837959|ref|NZ_KE159525.1|:107427-107663|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K6AYS9|UniRef50_E1WNG8,unclassified,237,323,0.0.0.0,1362.8691983122364
gi|153883178|ref|NZ_ABDQ01000010.1|:c97412-97131|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1BC32|UniRef50_B1BC32,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,282,374,0.0.0.0,1326.2411347517732
gi|224515034|ref|NZ_DS547007.1|:c660-343|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_UPI000156186B|UniRef50_F5XS62,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,318,421,0.0.0.0,1323.8993710691823
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria,459,554,0.0.0.0,1206.971677559913
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,root;k_Bacteria,144,171,0.0.0.0,1187.5
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,unclassified,144,169,0.0.0.0,1173.6111111111113
gi|520917857|ref|NZ_KE360606.1|:976-1138|83554|g__Chlamydia.s__Chlamydia_psittaci|UniRef90_S7K4H7|UniRef50_S7K4H7,unclassified,163,177,0.0.0.0,1085.8895705521472
gi|508605261|ref|NC_019425.2|:3352812-3353144|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EDY4|UniRef50_F2M801,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus,333,357,0.0.0.0,1072.072072072072
gi|326205068|ref|NZ_GL872354.1|:1-177|552395|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_4_1_37FAA|UniRef90_E9RZN0|UniRef50_D9ULF3,unclassified,177,171,0.0.0.0,966.1016949152543
gi|224514971|ref|NZ_DS499684.1|:c1568-1380|29347|g__Clostridium.s__Clostridium_scindens|UniRef90_A7B8Q0|UniRef50_B0A7G6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,189,179,0.0.0.0,947.089947089947
gi|490136654|ref|NZ_KB822566.1|:243549-243785|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZDX1|UniRef50_N1ZDX1,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Leuconostocaceae;g_Weissella,237,221,0.0.0.0,932.4894514767933
gi|146386240|ref|NZ_AAYG02000024.1|:19088-19276|33038|g__Blautia.s__Ruminococcus_gnavus|UniRef90_A7B8Q0|UniRef50_B0A7G6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,189,164,0.0.0.0,867.7248677248677
gi|490134789|ref|NZ_KB822565.1|:c628727-627672|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZS05|UniRef50_F5YJJ6,unclassified,1056,861,0.0.0.0,815.340909090909
gi|211596885|ref|NZ_DS264339.1|:4513-4842|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM3|UniRef50_L0CZD0,root;k_Bacteria,330,266,0.0.0.0,806.060606060606
gi|153883178|ref|NZ_ABDQ01000010.1|:c97412-97131|1491|g__Clostridium.s__Clostridium_botulinum|UniRef90_B1BC32|UniRef50_B1BC32,unclassified,282,225,0.0.0.0,797.872340425532
gi|211596853|ref|NZ_DS264307.1|:c100039-99440|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM1|UniRef50_A5KL06,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,600,477,0.0.0.0,795.0
gi|450130879|ref|NZ_AHSU01000161.1|:c224-102|1309|g__Streptococcus.s__Streptococcus_mutans|UniRef90_U4C9R8|UniRef50_U4C9R8,unclassified,123,97,0.0.0.0,788.6178861788618
gi|459924786|ref|NZ_CAPZ01000017.1|:4007-4312|1311|g__Streptococcus.s__Streptococcus_agalactiae|UniRef90_M1Y8K3|UniRef50_M1Y8K3,unclassified,306,238,0.0.0.0,777.7777777777778
gi|265758149|ref|NZ_GG705247.1|:4095-4304|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_D1KAJ3|UniRef50_D1KAJ3,root,210,153,0.0.0.0,728.5714285714286
gi|365876910|ref|NZ_AHHG01000024.1|:c5242-5039|1117645|g__Elizabethkingia.s__Elizabethkingia_anophelis|UniRef90_A0A015JYN5|UniRef50_I1LXR6,unclassified,204,144,0.0.0.0,705.8823529411765
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,249,174,0.0.0.0,698.7951807228916
gi|211596838|ref|NZ_DS264292.1|:35-379|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV6|UniRef50_G7ZHM8,root;k_Bacteria,345,234,0.0.0.0,678.2608695652175
gi|262384916|ref|NZ_GG705162.1|:c1175-717|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella enoeca,459,286,0.0.0.0,623.0936819172113
gi|211596893|ref|NZ_DS264347.1|:81254-81484|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR94|UniRef50_D6SFJ7,unclassified,231,140,0.0.0.0,606.060606060606
gi|211596853|ref|NZ_DS264307.1|:100518-100670|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZTV8|UniRef50_A5ZTV8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,153,88,0.0.0.0,575.1633986928105
gi|223667651|ref|NZ_DS264471.1|:c3968-3819|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP9|UniRef50_A5ZBN0,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Marinilabiliales;f_Marinilabiliaceae;g_Anaerophaga;s_uncultured Anaerophaga sp.,150,86,0.0.0.0,573.3333333333334
gi|262409781|ref|NZ_GG705192.1|:25-255|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A7UXY7|UniRef50_D0TK99,unclassified,231,131,0.0.0.0,567.099567099567
gi|211596838|ref|NZ_DS264292.1|:35-379|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV6|UniRef50_G7ZHM8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,345,192,0.0.0.0,556.5217391304349
gi|335054139|ref|NZ_AFIL01000041.1|:c68750-68634|936048|g__Propionibacterium.s__Propionibacterium_sp_434_HC2|UniRef90_F5TV19|UniRef50_D1YA53,root;k_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Propionibacteriales;f_Propionibacteriaceae;g_Cutibacterium;s_Cutibacterium acnes,117,65,0.0.0.0,555.5555555555555
gi|319430508|ref|NZ_GL622411.1|:102804-102910|658089|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA|UniRef90_E5VL83|UniRef50_B1QRX5,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,107,58,0.0.0.0,542.0560747663551
gi|134302804|ref|NZ_AAVM02000012.1|:c42894-42664|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A7UXY7|UniRef50_D0TK99,unclassified,231,123,0.0.0.0,532.4675324675325
gi|223667726|ref|NZ_DS264546.1|:413308-413574|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_UPI000156FA79|UniRef50_G7SQ06,unclassified,267,141,0.0.0.0,528.0898876404494
gi|211596885|ref|NZ_DS264339.1|:4513-4842|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM3|UniRef50_L0CZD0,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales,330,172,0.0.0.0,521.2121212121211
gi|211596838|ref|NZ_DS264292.1|:c473-312|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYV7|UniRef50_A5ZYV7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,162,84,0.0.0.0,518.5185185185185
gi|522837947|ref|NZ_KE159513.1|:c283-1|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJR7|UniRef50_S0GJR7,root;k_Bacteria,283,139,0.0.0.0,491.1660777385159
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,165,79,0.0.0.0,478.78787878787875
gi|365126304|ref|NZ_JH414792.1|:70-315|665949|g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1|UniRef90_G9S8W7|UniRef50_I7I840,root;k_Bacteria,246,117,0.0.0.0,475.609756097561
gi|265768566|ref|NZ_GG705218.1|:c1136-906|469587|g__Bacteroides.s__Bacteroides_sp_2_1_16|UniRef90_A7UXY7|UniRef50_D0TK99,unclassified,231,106,0.0.0.0,458.87445887445887
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,unclassified,396,177,0.0.0.0,446.96969696969694
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,unclassified,462,201,0.0.0.0,435.06493506493507
gi|68070664|ref|XM_672152.1||5821|g__Plasmodium.s__Plasmodium_berghei|UniRef90_Q4YI07|UniRef50_Q4YJK6,unclassified,293,125,0.0.0.0,426.62116040955635
gi|223667797|ref|NZ_DS362247.1|:217127-217237|820|g__Bacteroides.s__Bacteroides_uniformis|UniRef90_A7V2J3|UniRef50_A7V2J3,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides vulgatus,111,46,0.0.0.0,414.4144144144144
gi|223955892|ref|NZ_DS990124.1|:c1022-576|310297|g__Bacteroides.s__Bacteroides_plebeius|UniRef90_B5CUP9|UniRef50_B0TIE7,unclassified,447,175,0.0.0.0,391.49888143176736
gi|365126304|ref|NZ_JH414792.1|:70-315|665949|g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1|UniRef90_G9S8W7|UniRef50_I7I840,unclassified,246,95,0.0.0.0,386.1788617886179
gi|224514849|ref|NZ_DS483523.1|:c251181-251038|33043|g__Coprococcus.s__Coprococcus_eutactus|UniRef90_A8ST08|UniRef50_A8ST08,root;k_Bacteria,144,55,0.0.0.0,381.94444444444446
gi|211596924|ref|NZ_DS264378.1|:c6613-6362|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,252,94,0.0.0.0,373.015873015873
gi|242353479|ref|NZ_GG688325.1|:c28662-28540|338188|g__Bacteroides.s__Bacteroides_finegoldii|UniRef90_A0A016EQF0|UniRef50_A0A016EQF0,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,123,44,0.0.0.0,357.7235772357724
gi|410101287|ref|NZ_JH976473.1|:419983-420570|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_K5ZU07|UniRef50_Q8A633,unclassified,588,207,0.0.0.0,352.04081632653066
gi|223954461|ref|NZ_DS981457.1|:68435-68557|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_A0A016EQF0|UniRef50_A0A016EQF0,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,123,43,0.0.0.0,349.5934959349594
gi|223667726|ref|NZ_DS264546.1|:413308-413574|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria,267,93,0.0.0.0,348.314606741573
gi|510929426|ref|NZ_ASWB01000004.1|:419211-419308|155617|g__Enterococcus.s__Enterococcus_moraviensis|UniRef90_S0M8L3|UniRef50_S0M8L3,unclassified,98,34,0.0.0.0,346.9387755102041
gi|211596808|ref|NZ_DS264262.1|:3292-3495|39496|g__Eubacterium.s__Eubacterium_ventriosum|UniRef90_A5Z326|UniRef50_A5Z326,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,204,69,0.0.0.0,338.2352941176471
gi|256842685|ref|NZ_GG698751.1|:c1063-605|563193|g__Parabacteroides.s__Parabacteroides_sp_D13|UniRef90_UPI000156FA79|UniRef50_G7SQ06,root;k_Bacteria,459,151,0.0.0.0,328.9760348583878
gi|224515056|ref|NZ_DS547029.1|:c240-100|411484|g__Clostridium.s__Clostridium_sp_SS2_1|UniRef90_B0P4F9|UniRef50_B0P4F9,unclassified,141,46,0.0.0.0,326.2411347517731
gi|490136654|ref|NZ_KB822566.1|:647278-647484|97138|g__Clostridium.s__Clostridium_sp_ASF356|UniRef90_N1ZLT5|UniRef50_N1ZLT5,unclassified,207,67,0.0.0.0,323.6714975845411
gi|223667804|ref|NZ_DS480315.1|:1547-1759|411489|g__Clostridium.s__Clostridium_sp_L2_50|UniRef90_A7VEU0|UniRef50_C7T763,unclassified,213,68,0.0.0.0,319.2488262910798
gi|223667734|ref|NZ_DS264554.1|:178885-179031|28116|g__Bacteroides.s__Bacteroides_ovatus|UniRef90_A7LQH0|UniRef50_H6R3P7,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella forsythia,147,46,0.0.0.0,312.9251700680272
gi|223667802|ref|NZ_DS480313.1|:915-1217|411489|g__Clostridium.s__Clostridium_sp_L2_50|UniRef90_A7VD49|UniRef50_Q57L44,unclassified,303,92,0.0.0.0,303.63036303630366
gi|520924179|ref|NZ_KE360921.1|:774-882|83554|g__Chlamydia.s__Chlamydia_psittaci|UniRef90_S7J4N6|UniRef50_S7J4N6,unclassified,109,33,0.0.0.0,302.7522935779817
gi|522837947|ref|NZ_KE159513.1|:c283-1|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJR7|UniRef50_S0GJR7,root;k_Bacteria;p_Tenericutes;c_Mollicutes;o_Mycoplasmatales;f_Mycoplasmataceae;g_Mycoplasma;s_Mycoplasma gallisepticum,283,85,0.0.0.0,300.3533568904594
gi|223667651|ref|NZ_DS264471.1|:c3968-3819|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP9|UniRef50_A5ZBN0,root;k_Bacteria,150,45,0.0.0.0,300.0
gi|432341703|ref|NZ_ANIU01000589.1|:1-702|44752|g__Rhodococcus.s__Rhodococcus_wratislaviensis|UniRef90_L2TG82|UniRef50_L2TG82,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia solanacearum,702,210,0.0.0.0,299.1452991452992
gi|357044342|ref|NZ_JH376765.1|:1-144|470565|g__Prevotella.s__Prevotella_histicola|UniRef90_G6AI72|UniRef50_G6AI72,root;k_;p_;c_;o_;f_;g_;s_uncultured organism,144,43,0.0.0.0,298.61111111111114
gi|223667574|ref|NZ_DS264394.1|:4801-5064|88431|g__Dorea.s__Dorea_longicatena|UniRef90_unknown|UniRef50_B0TIG5,unclassified,264,77,0.0.0.0,291.66666666666663
gi|225001177|ref|NZ_DS990168.1|:c3468-3184|46228|g__Ruminococcus.s__Ruminococcus_lactaris|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,285,83,0.0.0.0,291.22807017543863
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,root;k_Bacteria,165,48,0.0.0.0,290.9090909090909
gi|522837947|ref|NZ_KE159513.1|:c283-1|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJR7|UniRef50_S0GJR7,root,283,82,0.0.0.0,289.75265017667846
gi|224514852|ref|NZ_DS483526.1|:249441-249743|33043|g__Coprococcus.s__Coprococcus_eutactus|UniRef90_A7VD49|UniRef50_Q57L44,unclassified,303,87,0.0.0.0,287.1287128712871
gi|283767251|ref|NZ_GG730325.1|:121-312|411486|g__Clostridium.s__Clostridium_sp_M62_1|UniRef90_A5KRI2|UniRef50_S5CLP4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,192,54,0.0.0.0,281.25
gi|224223434|ref|NZ_DS480346.1|:c181350-180931|1535|g__Clostridium.s__Clostridium_leptum|UniRef90_A7VSA7|UniRef50_A7VSA7,unclassified,420,118,0.0.0.0,280.95238095238096
gi|146386240|ref|NZ_AAYG02000024.1|:c17782-17516|33038|g__Blautia.s__Ruminococcus_gnavus|UniRef90_B5CLP5|UniRef50_H6R3P8,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,267,75,0.0.0.0,280.8988764044944
gi|396475797|ref|XM_003839825.1||5022|g__Leptosphaeria.s__Leptosphaeria_maculans|UniRef90_E4ZYE9|UniRef50_E4ZYE9,unclassified,168,47,0.0.0.0,279.76190476190476
gi|224021139|ref|NZ_DS499726.1|:5121-5523|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MI66|UniRef50_B0MI66,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,403,112,0.0.0.0,277.9156327543424
gi|211596893|ref|NZ_DS264347.1|:77319-77549|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5Z2Z6|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,231,63,0.0.0.0,272.7272727272727
gi|211596853|ref|NZ_DS264307.1|:c100039-99440|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZQM1|UniRef50_A5KL06,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,600,163,0.0.0.0,271.6666666666667
gi|498503065|ref|NZ_KB822571.1|:84182-84589|1235803|g__Parabacteroides.s__Parabacteroides_sp_ASF519|UniRef90_K5ZYB1|UniRef50_R5DG57,unclassified,408,109,0.0.0.0,267.15686274509807
gi|409167254|ref|NZ_AJKI01000039.1|:1-194|989|g__Marinilabilia.s__Marinilabilia_salmonicolor|UniRef90_UPI00029B0A81|UniRef50_UPI00029B0A81,root;k_Bacteria,194,51,0.0.0.0,262.88659793814435
